worker_id,time_since_start_s,slide_id,backend,per_tile_us,batch_size
0,10.638883,normal_157,openslide,5292.20,1
0,11.270217,tumor_001,openslide,5770.84,1
0,11.899577,normal_150,openslide,4595.25,1
0,12.511481,normal_081,openslide,8143.92,1
0,13.132437,normal_007,openslide,3838.28,1
0,13.682002,tumor_071,openslide,7869.07,1
0,14.293684,normal_107,openslide,7557.42,1
0,14.884817,normal_076,openslide,7249.28,1
0,15.428170,test_043,openslide,4203.05,1
0,16.019246,test_018,openslide,2521.81,1
0,16.747878,test_097,openslide,4019.40,1
0,17.383701,normal_133,openslide,3381.30,1
0,18.098933,normal_115,openslide,2083.88,1
0,18.720515,normal_107,openslide,4401.81,1
0,19.325472,normal_090,openslide,5999.16,1
0,19.744999,tumor_073,openslide,6882.99,1
0,20.247779,normal_051,openslide,3160.32,1
0,20.818419,normal_159,openslide,2221.04,1
0,21.286501,test_007,openslide,5274.36,1
0,21.928416,normal_067,openslide,3473.75,1
0,22.505680,normal_067,openslide,7108.36,1
0,23.071465,tumor_091,openslide,2997.50,1
0,23.576835,normal_100,openslide,3563.43,1
0,24.118483,tumor_031,openslide,9875.27,1
0,24.705725,test_099,openslide,3158.35,1
0,25.385089,normal_137,openslide,8633.02,1
0,26.033211,tumor_031,openslide,6716.98,1
0,26.724838,test_038,openslide,5232.47,1
0,27.358738,normal_029,openslide,6383.94,1
0,27.998103,tumor_012,openslide,5771.41,1
0,28.566281,test_018,openslide,3934.73,1
0,29.225298,normal_075,openslide,5771.43,1
0,29.851894,normal_015,openslide,3582.89,1
0,30.398129,test_002,openslide,3780.20,1
0,30.932172,test_094,openslide,2962.60,1
0,31.401800,tumor_041,openslide,6097.75,1
0,31.975830,normal_040,openslide,5071.69,1
0,32.497622,normal_105,openslide,7596.87,1
0,33.021378,normal_009,openslide,6212.39,1
0,33.611486,tumor_005,openslide,6070.54,1
0,34.180640,test_123,openslide,3897.73,1
0,34.749460,tumor_017,openslide,10000.23,1
0,35.440353,normal_067,openslide,2970.04,1
0,36.057246,normal_020,openslide,6195.44,1
0,36.680904,normal_052,openslide,3703.69,1
0,37.288328,test_030,openslide,8536.65,1
0,37.786532,normal_048,openslide,9763.33,1
0,38.397156,tumor_097,openslide,4711.96,1
0,39.025500,tumor_079,openslide,5433.29,1
0,39.595735,tumor_079,openslide,4527.60,1
0,40.131862,test_123,openslide,4778.18,1
0,40.789878,test_061,openslide,4045.65,1
0,41.377983,test_122,openslide,6947.83,1
0,42.004109,test_047,openslide,4733.76,1
