worker_id,time_since_start_s,slide_id,backend,per_tile_us,batch_size
0,10.351230,test_104,cucim,901.53,4
0,10.702851,test_061,cucim,796.68,4
0,11.069952,normal_151,cucim,964.59,4
0,11.413167,tumor_019,cucim,841.02,4
0,11.767715,normal_143,cucim,1000.98,4
0,12.134225,normal_100,cucim,858.58,4
0,12.502485,normal_038,cucim,738.40,4
0,12.851611,tumor_015,cucim,813.01,4
0,13.214704,normal_070,cucim,946.33,4
0,13.574273,tumor_056,cucim,807.24,4
0,13.931800,normal_118,cucim,886.72,4
0,14.303701,normal_024,cucim,705.20,4
0,14.646140,test_013,cucim,720.67,4
0,15.032028,test_098,cucim,817.85,4
0,15.405219,normal_134,cucim,745.47,4
0,15.796879,tumor_057,cucim,731.61,4
0,16.187592,test_093,cucim,830.40,4
0,16.550495,test_069,cucim,1054.99,4
0,16.913126,test_125,cucim,1263.52,4
0,17.264608,tumor_102,cucim,826.27,4
0,17.632655,normal_049,cucim,799.56,4
0,17.997437,normal_022,cucim,1068.60,4
0,18.377659,normal_073,cucim,919.51,4
0,18.772025,tumor_103,cucim,857.95,4
0,19.153211,normal_037,cucim,883.09,4
0,19.544687,tumor_080,cucim,599.36,4
0,19.899837,normal_010,cucim,741.84,4
0,20.276504,test_122,cucim,831.36,4
0,20.646651,tumor_043,cucim,921.79,4
0,21.024543,test_068,cucim,847.68,4
0,21.403142,test_028,cucim,817.15,4
0,21.769494,test_028,cucim,966.62,4
0,22.165202,test_035,cucim,810.69,4
0,22.533490,test_083,cucim,690.41,4
0,22.913791,tumor_095,cucim,875.85,4
0,23.303115,normal_087,cucim,944.14,4
0,23.690819,normal_023,cucim,918.85,4
0,24.067649,normal_094,cucim,903.72,4
0,24.460462,normal_080,cucim,1235.58,4
0,24.869178,test_053,cucim,972.05,4
0,25.276054,normal_015,cucim,1001.42,4
0,25.649136,tumor_069,cucim,1039.94,4
0,26.038202,normal_070,cucim,1042.78,4
0,26.430276,test_100,cucim,1274.12,4
0,26.803726,test_100,cucim,775.82,4
0,27.184524,normal_116,cucim,788.07,4
0,27.570835,normal_013,cucim,794.85,4
0,27.982340,tumor_094,cucim,870.39,4
0,28.366025,normal_155,cucim,893.13,4
0,28.746011,tumor_044,cucim,1188.90,4
0,29.161177,normal_043,cucim,790.95,4
0,29.567107,normal_054,cucim,787.55,4
0,29.969895,normal_131,cucim,981.32,4
0,30.352247,normal_082,cucim,937.90,4
0,30.746214,normal_012,cucim,977.64,4
0,31.138083,normal_019,cucim,870.83,4
0,31.531696,normal_037,cucim,896.62,4
0,31.915321,tumor_099,cucim,815.24,4
0,32.285953,normal_103,cucim,814.72,4
0,32.665601,test_119,cucim,739.80,4
0,33.052295,test_069,cucim,885.34,4
0,33.428816,tumor_068,cucim,867.45,4
0,33.810104,normal_028,cucim,1012.01,4
0,34.189643,normal_121,cucim,808.21,4
0,34.574745,test_063,cucim,876.14,4
0,35.012461,test_053,cucim,878.68,4
0,35.450876,tumor_074,cucim,1417.05,4
0,35.898346,tumor_105,cucim,1275.83,4
0,36.340938,test_050,cucim,1325.24,4
0,36.832207,normal_136,cucim,1127.48,4
0,37.325724,normal_136,cucim,1219.39,4
0,37.842528,tumor_026,cucim,1550.02,4
0,38.348205,normal_034,cucim,1648.29,4
0,38.849264,normal_056,cucim,1489.99,4
0,39.332680,test_057,cucim,1598.26,4
0,39.842172,test_048,cucim,1516.58,4
0,40.343607,normal_144,cucim,1767.62,4
0,40.864520,tumor_090,cucim,1032.32,4
0,41.372577,test_095,cucim,1083.19,4
0,41.876418,normal_147,cucim,908.85,4
0,42.369037,normal_036,cucim,1084.30,4
0,42.883113,test_075,cucim,1035.75,4
0,43.403520,tumor_061,cucim,1331.22,4
0,43.920760,test_109,cucim,1211.66,4
0,44.434935,test_100,cucim,1055.54,4
0,44.953787,test_115,cucim,1114.39,4
0,45.493042,test_115,cucim,1068.65,4
0,46.001596,normal_072,cucim,909.43,4
0,46.498240,tumor_059,cucim,1015.92,4
0,47.018741,test_032,cucim,1667.80,4
0,47.543708,normal_050,cucim,1124.14,4
0,48.058140,normal_052,cucim,964.48,4
0,48.596675,normal_077,cucim,946.23,4
0,49.094923,tumor_103,cucim,1409.81,4
0,49.610625,normal_087,cucim,1225.52,4
0,50.135608,test_061,cucim,1662.84,4
0,50.648849,test_074,cucim,1362.62,4
0,51.148961,test_007,cucim,967.10,4
0,51.644206,normal_067,cucim,956.43,4
0,52.134841,normal_042,cucim,1260.86,4
0,52.661310,tumor_093,cucim,871.82,4
0,53.160490,normal_133,cucim,955.37,4
0,53.696186,tumor_015,cucim,1163.34,4
0,54.186655,tumor_085,cucim,958.48,4
0,54.656614,tumor_031,cucim,927.83,4
0,55.132473,normal_012,cucim,1044.97,4
0,55.641313,tumor_072,cucim,1763.40,4
0,56.179587,normal_159,cucim,1262.54,4
0,56.755351,normal_009,cucim,1544.62,4
0,57.391070,tumor_064,cucim,1912.02,4
0,58.007242,normal_156,cucim,2341.13,4
0,58.660031,normal_126,cucim,1237.61,4
0,59.468853,normal_082,cucim,1795.22,4
0,60.314832,tumor_017,cucim,2352.76,4
0,61.181280,test_081,cucim,2104.59,4
0,62.240483,normal_113,cucim,3373.90,4
0,63.672465,normal_013,cucim,1254.97,4
0,65.269905,tumor_074,cucim,2386.00,4
0,67.102913,test_043,cucim,1745.23,4
0,68.936087,test_032,cucim,3356.44,4
1,10.357786,tumor_028,cucim,862.49,4
1,10.697682,normal_156,cucim,878.09,4
1,11.053729,normal_076,cucim,875.53,4
1,11.399603,normal_121,cucim,865.05,4
1,11.750921,tumor_078,cucim,762.47,4
1,12.101228,normal_064,cucim,648.75,4
1,12.468974,tumor_047,cucim,951.45,4
1,12.812871,test_103,cucim,973.32,4
1,13.175022,tumor_075,cucim,703.46,4
1,13.533645,test_056,cucim,865.94,4
1,13.870274,normal_008,cucim,712.37,4
1,14.244936,test_027,cucim,899.76,4
1,14.597976,normal_067,cucim,802.13,4
1,14.968222,test_039,cucim,735.01,4
1,15.337660,test_043,cucim,922.21,4
1,15.715497,test_084,cucim,817.93,4
1,16.078564,normal_070,cucim,948.95,4
1,16.458223,normal_066,cucim,1189.89,4
1,16.833832,normal_111,cucim,683.08,4
1,17.218444,test_099,cucim,796.96,4
1,17.604173,normal_081,cucim,905.11,4
1,17.983325,normal_042,cucim,702.02,4
1,18.363524,test_122,cucim,789.30,4
1,18.737438,normal_143,cucim,889.79,4
1,19.121632,normal_017,cucim,862.27,4
1,19.507689,normal_072,cucim,1011.79,4
1,19.870791,test_027,cucim,1165.68,4
1,20.247453,test_058,cucim,815.17,4
1,20.628813,tumor_014,cucim,927.49,4
1,21.026038,normal_144,cucim,1196.99,4
1,21.423963,normal_135,cucim,894.41,4
1,21.826127,normal_071,cucim,950.42,4
1,22.207252,test_003,cucim,911.46,4
1,22.587316,normal_062,cucim,1049.56,4
1,22.987035,tumor_013,cucim,985.39,4
1,23.376993,tumor_016,cucim,874.67,4
1,23.771546,normal_093,cucim,1065.58,4
1,24.153420,test_005,cucim,756.30,4
1,24.561332,test_090,cucim,1250.01,4
1,24.939844,tumor_084,cucim,702.21,4
1,25.326824,normal_088,cucim,849.87,4
1,25.708047,tumor_084,cucim,759.05,4
1,26.097292,tumor_023,cucim,1055.52,4
1,26.467749,test_082,cucim,913.27,4
1,26.859241,test_095,cucim,912.67,4
1,27.241096,normal_142,cucim,826.76,4
1,27.615403,test_082,cucim,887.62,4
1,27.997482,tumor_048,cucim,1780.46,4
1,28.366195,tumor_091,cucim,760.35,4
1,28.747872,test_014,cucim,965.65,4
1,29.131986,test_038,cucim,811.57,4
1,29.536304,test_076,cucim,1123.23,4
1,29.941539,normal_081,cucim,1261.28,4
1,30.338437,normal_072,cucim,870.84,4
1,30.725443,test_053,cucim,864.37,4
1,31.102739,normal_116,cucim,783.35,4
1,31.484721,normal_007,cucim,807.59,4
1,31.859388,normal_018,cucim,920.49,4
1,32.225474,test_029,cucim,958.31,4
1,32.613918,test_016,cucim,956.08,4
1,32.981346,normal_039,cucim,859.35,4
1,33.371732,normal_122,cucim,895.64,4
1,33.778284,normal_106,cucim,850.95,4
1,34.154769,test_086,cucim,778.62,4
1,34.551481,test_057,cucim,872.10,4
1,34.960885,normal_096,cucim,803.01,4
1,35.405256,test_077,cucim,1037.30,4
1,35.847769,test_070,cucim,1037.37,4
1,36.299441,test_061,cucim,1756.76,4
1,36.797688,test_030,cucim,1471.54,4
1,37.287439,normal_074,cucim,1172.35,4
1,37.835558,normal_029,cucim,1111.61,4
1,38.339954,tumor_049,cucim,1002.40,4
1,38.815326,normal_035,cucim,1050.24,4
1,39.314153,normal_074,cucim,1029.45,4
1,39.821131,tumor_022,cucim,1044.41,4
1,40.335252,test_046,cucim,1042.37,4
1,40.801863,normal_079,cucim,1281.00,4
1,41.298749,normal_120,cucim,1325.00,4
1,41.804753,tumor_110,cucim,1248.65,4
1,42.296274,normal_160,cucim,1328.19,4
1,42.814197,test_068,cucim,1391.23,4
1,43.338710,test_088,cucim,859.49,4
1,43.832977,test_047,cucim,1009.47,4
1,44.330275,normal_029,cucim,1282.47,4
1,44.858256,test_108,cucim,751.70,4
1,45.376443,tumor_057,cucim,990.69,4
1,45.915233,tumor_064,cucim,849.33,4
1,46.466095,tumor_010,cucim,962.50,4
1,46.984420,test_079,cucim,1063.64,4
1,47.509436,normal_130,cucim,1412.31,4
1,48.002045,normal_113,cucim,964.15,4
1,48.472566,test_062,cucim,1077.17,4
1,48.991634,normal_081,cucim,1123.69,4
1,49.490231,test_030,cucim,1604.32,4
1,50.015366,test_107,cucim,1232.97,4
1,50.513689,normal_147,cucim,1425.03,4
1,51.011342,tumor_043,cucim,1217.53,4
1,51.525394,normal_104,cucim,1047.95,4
1,52.013414,test_107,cucim,1018.50,4
1,52.510390,tumor_070,cucim,1154.35,4
1,52.993118,tumor_070,cucim,924.17,4
1,53.488648,tumor_076,cucim,1251.73,4
1,53.970943,test_096,cucim,1154.06,4
1,54.446026,tumor_041,cucim,1128.93,4
1,54.953978,tumor_023,cucim,1056.15,4
1,55.483790,test_092,cucim,952.63,4
1,55.987886,test_001,cucim,1333.36,4
1,56.562821,normal_002,cucim,1141.73,4
1,57.161884,test_097,cucim,1910.69,4
1,57.769492,tumor_039,cucim,1494.02,4
1,58.461802,tumor_050,cucim,1760.47,4
1,59.145154,normal_112,cucim,2927.27,4
1,59.956428,test_040,cucim,4033.96,4
1,60.716075,normal_090,cucim,1646.71,4
1,61.590107,normal_072,cucim,2668.53,4
1,62.967846,tumor_084,cucim,2937.68,4
1,64.864554,tumor_029,cucim,7371.96,4
1,66.361967,normal_068,cucim,3435.66,4
1,67.816844,normal_068,cucim,2705.37,4
1,69.327208,test_035,cucim,1339.71,4
2,10.366543,test_115,cucim,809.79,4
2,10.730125,normal_095,cucim,924.58,4
2,11.086410,tumor_104,cucim,769.64,4
2,11.448501,test_129,cucim,606.92,4
2,11.797543,normal_158,cucim,839.05,4
2,12.160637,tumor_079,cucim,723.43,4
2,12.513284,tumor_063,cucim,866.54,4
2,12.851427,tumor_075,cucim,815.84,4
2,13.212069,tumor_075,cucim,787.67,4
2,13.578177,test_050,cucim,1232.23,4
2,13.941831,normal_009,cucim,856.43,4
2,14.311312,test_108,cucim,722.52,4
2,14.676552,tumor_064,cucim,929.24,4
2,15.037325,test_058,cucim,796.26,4
2,15.417995,normal_023,cucim,837.24,4
2,15.780639,tumor_041,cucim,914.88,4
2,16.166369,normal_143,cucim,898.76,4
2,16.561674,normal_070,cucim,881.02,4
2,16.937295,normal_087,cucim,802.90,4
2,17.329567,tumor_059,cucim,762.00,4
2,17.704957,normal_044,cucim,726.86,4
2,18.081536,tumor_013,cucim,862.38,4
2,18.461476,tumor_014,cucim,859.55,4
2,18.870451,test_051,cucim,1286.05,4
2,19.272332,test_125,cucim,891.01,4
2,19.661372,tumor_026,cucim,948.38,4
2,20.044188,tumor_043,cucim,909.78,4
2,20.430477,test_126,cucim,822.52,4
2,20.814546,test_013,cucim,949.04,4
2,21.187151,test_081,cucim,915.00,4
2,21.561588,normal_042,cucim,770.92,4
2,21.940193,tumor_050,cucim,847.53,4
2,22.337261,tumor_105,cucim,945.78,4
2,22.733102,test_019,cucim,903.29,4
2,23.149923,normal_107,cucim,902.62,4
2,23.568164,test_009,cucim,905.63,4
2,23.972566,tumor_029,cucim,857.05,4
2,24.351124,tumor_025,cucim,828.91,4
2,24.733551,normal_008,cucim,703.35,4
2,25.116229,tumor_074,cucim,798.73,4
2,25.507547,tumor_031,cucim,964.66,4
2,25.906124,normal_091,cucim,932.66,4
2,26.304831,test_060,cucim,786.84,4
2,26.684073,test_076,cucim,805.98,4
2,27.065209,test_034,cucim,880.49,4
2,27.463045,tumor_020,cucim,827.98,4
2,27.833852,normal_065,cucim,797.05,4
2,28.216015,normal_069,cucim,785.84,4
2,28.586540,normal_011,cucim,970.10,4
2,28.971912,test_014,cucim,881.97,4
2,29.377893,test_117,cucim,958.97,4
2,29.765915,normal_104,cucim,970.15,4
2,30.162687,normal_153,cucim,748.76,4
2,30.564516,normal_059,cucim,726.48,4
2,30.943684,test_024,cucim,901.33,4
2,31.338640,normal_096,cucim,1261.30,4
2,31.719905,normal_008,cucim,782.35,4
2,32.115188,normal_049,cucim,1167.77,4
2,32.494246,test_089,cucim,748.42,4
2,32.861252,normal_073,cucim,931.04,4
2,33.257822,normal_074,cucim,890.96,4
2,33.644376,normal_051,cucim,639.98,4
2,34.021266,test_035,cucim,881.29,4
2,34.392765,normal_060,cucim,778.99,4
2,34.795252,normal_063,cucim,895.63,4
2,35.230355,tumor_052,cucim,1036.31,4
2,35.669208,test_050,cucim,903.86,4
2,36.101226,test_064,cucim,1012.57,4
2,36.585655,normal_085,cucim,1215.10,4
2,37.085520,normal_147,cucim,1103.06,4
2,37.576275,test_078,cucim,1026.47,4
2,38.070052,normal_072,cucim,1410.61,4
2,38.608679,normal_061,cucim,1053.30,4
2,39.114928,test_084,cucim,993.04,4
2,39.618953,test_044,cucim,1174.27,4
2,40.133431,test_130,cucim,1478.65,4
2,40.639778,normal_060,cucim,1281.76,4
2,41.144288,tumor_030,cucim,1016.34,4
2,41.631116,tumor_083,cucim,1521.81,4
2,42.124397,tumor_052,cucim,962.42,4
2,42.642010,normal_061,cucim,1231.63,4
2,43.176711,test_113,cucim,1235.26,4
2,43.663523,normal_150,cucim,862.68,4
2,44.149163,test_095,cucim,1331.21,4
2,44.660075,tumor_078,cucim,1325.34,4
2,45.185359,normal_072,cucim,1180.00,4
2,45.667475,normal_063,cucim,1001.17,4
2,46.170319,normal_015,cucim,939.77,4
2,46.664480,normal_090,cucim,1042.60,4
2,47.140911,normal_147,cucim,980.80,4
2,47.622252,test_044,cucim,995.69,4
2,48.116414,test_022,cucim,913.32,4
2,48.618528,normal_010,cucim,1411.65,4
2,49.115163,normal_010,cucim,1082.79,4
2,49.634439,normal_126,cucim,1316.49,4
2,50.148999,tumor_014,cucim,1134.97,4
2,50.660654,normal_126,cucim,1097.61,4
2,51.137417,normal_126,cucim,931.04,4
2,51.610094,tumor_078,cucim,980.04,4
2,52.100147,tumor_109,cucim,1104.78,4
2,52.597414,test_079,cucim,907.23,4
2,53.101836,test_015,cucim,1652.86,4
2,53.590705,tumor_080,cucim,1142.31,4
2,54.102946,test_034,cucim,956.43,4
2,54.588511,tumor_014,cucim,1280.91,4
2,55.106692,normal_099,cucim,1234.46,4
2,55.631361,normal_111,cucim,836.35,4
2,56.133170,normal_098,cucim,1000.95,4
2,56.689784,test_066,cucim,1178.33,4
2,57.299934,normal_065,cucim,1847.19,4
2,57.923164,normal_155,cucim,1215.30,4
2,58.574243,normal_069,cucim,1265.36,4
2,59.339274,tumor_034,cucim,1698.22,4
2,60.122771,normal_135,cucim,1590.92,4
2,61.003498,normal_070,cucim,2854.17,4
2,62.007685,test_059,cucim,3038.35,4
2,63.618276,normal_105,cucim,13397.51,4
2,65.264428,normal_113,cucim,8746.66,4
2,66.817448,tumor_023,cucim,1290.21,4
2,68.520542,tumor_021,cucim,6514.63,4
3,10.341661,normal_024,cucim,672.50,4
3,10.705759,normal_084,cucim,706.85,4
3,11.062142,normal_011,cucim,864.67,4
3,11.419760,tumor_086,cucim,932.90,4
3,11.781731,normal_022,cucim,803.42,4
3,12.158424,test_090,cucim,950.58,4
3,12.502304,normal_148,cucim,854.19,4
3,12.859843,normal_039,cucim,934.87,4
3,13.213391,test_114,cucim,734.16,4
3,13.563675,normal_150,cucim,829.38,4
3,13.933681,normal_080,cucim,745.85,4
3,14.275248,tumor_045,cucim,878.58,4
3,14.633437,test_107,cucim,826.76,4
3,15.012992,normal_135,cucim,754.86,4
3,15.410269,normal_156,cucim,898.97,4
3,15.799259,tumor_033,cucim,801.12,4
3,16.202622,normal_033,cucim,936.18,4
3,16.590704,tumor_101,cucim,924.79,4
3,16.964246,test_066,cucim,771.28,4
3,17.347143,normal_102,cucim,680.36,4
3,17.734399,test_031,cucim,848.04,4
3,18.121238,normal_095,cucim,983.28,4
3,18.502422,test_002,cucim,896.49,4
3,18.881503,normal_119,cucim,793.34,4
3,19.263080,normal_147,cucim,882.14,4
3,19.643826,test_031,cucim,890.27,4
3,20.027353,test_019,cucim,803.15,4
3,20.406088,test_091,cucim,1079.40,4
3,20.812170,tumor_060,cucim,913.17,4
3,21.196460,test_084,cucim,598.84,4
3,21.577384,tumor_039,cucim,729.35,4
3,21.969427,tumor_061,cucim,968.37,4
3,22.342282,test_017,cucim,936.60,4
3,22.729692,test_106,cucim,911.45,4
3,23.114108,tumor_057,cucim,723.26,4
3,23.512411,normal_061,cucim,886.21,4
3,23.901302,tumor_049,cucim,917.95,4
3,24.307158,test_105,cucim,851.42,4
3,24.704551,normal_019,cucim,738.76,4
3,25.106353,test_082,cucim,849.04,4
3,25.493223,normal_080,cucim,732.20,4
3,25.871741,tumor_072,cucim,921.61,4
3,26.257012,tumor_025,cucim,795.81,4
3,26.646615,test_029,cucim,789.64,4
3,27.014975,normal_007,cucim,680.62,4
3,27.383577,test_033,cucim,829.47,4
3,27.749423,normal_121,cucim,1040.76,4
3,28.127989,normal_115,cucim,780.85,4
3,28.547163,normal_151,cucim,870.32,4
3,28.943832,normal_151,cucim,816.40,4
3,29.333453,normal_151,cucim,986.05,4
3,29.731547,test_081,cucim,1094.74,4
3,30.113258,normal_115,cucim,959.58,4
3,30.506904,normal_126,cucim,878.81,4
3,30.903745,test_009,cucim,1000.29,4
3,31.290586,tumor_056,cucim,899.00,4
3,31.677343,test_094,cucim,730.34,4
3,32.079504,test_089,cucim,774.61,4
3,32.469256,test_091,cucim,842.77,4
3,32.853190,normal_064,cucim,889.36,4
3,33.225978,normal_112,cucim,766.21,4
3,33.612605,normal_147,cucim,769.45,4
3,33.971895,test_119,cucim,1003.71,4
3,34.344834,normal_066,cucim,1035.66,4
3,34.733950,test_017,cucim,942.92,4
3,35.132206,normal_129,cucim,1309.55,4
3,35.562013,normal_130,cucim,964.54,4
3,35.997625,normal_073,cucim,878.12,4
3,36.476527,tumor_073,cucim,1130.79,4
3,36.960719,tumor_009,cucim,1151.42,4
3,37.452727,tumor_032,cucim,1408.28,4
3,37.945632,test_015,cucim,1129.69,4
3,38.471518,normal_089,cucim,1273.48,4
3,38.978950,normal_136,cucim,960.24,4
3,39.494448,normal_143,cucim,1156.72,4
3,40.019150,tumor_087,cucim,1229.28,4
3,40.518872,normal_102,cucim,873.31,4
3,41.020177,test_078,cucim,1681.32,4
3,41.526690,test_102,cucim,736.73,4
3,42.050760,tumor_086,cucim,1385.18,4
