slide_id,n_tiles,elapsed_seconds,output_bytes,error
normal_004,1446,3.065463,30911432,
normal_013,1606,3.802849,35248768,
normal_014,2244,5.322532,59307064,
normal_016,590,1.254849,12436520,
normal_017,361,0.764990,9390936,
normal_023,951,1.952579,26174240,
normal_045,388,0.827964,6068784,
normal_048,2677,5.579376,69540000,
normal_050,9638,24.405665,262188304,
normal_053,12937,31.636243,354694112,
normal_058,5475,13.374323,168800704,
normal_072,7944,17.255008,185278360,
normal_080,16112,39.353004,377156928,
normal_082,9497,22.550154,225943784,
normal_103,11610,23.110615,173256640,
normal_112,20049,49.555785,464689448,
normal_113,17490,38.261313,299123128,
normal_114,27795,67.026092,648774920,
normal_116,10544,22.853309,173170384,
normal_121,23756,52.856285,335823224,
normal_127,21136,49.281514,364852600,
normal_137,24537,56.364089,402699104,
normal_142,19529,43.780065,338959424,
normal_144,10386,59.929469,184619872,
test_014,26522,52.570276,456819056,
test_016,24486,54.923422,391520760,
test_018,9790,20.876191,129912896,
test_025,1940,4.090708,43061416,
test_036,6460,15.257962,154340816,
test_057,3335,6.685279,85467720,
test_059,7313,15.727384,205967000,
test_072,3382,6.759739,63200552,
test_101,22368,46.056701,374291688,
test_122,8413,18.508250,174709160,
test_130,6085,12.925245,140508320,
tumor_014,10213,23.598767,265149264,
tumor_015,23537,58.140573,653027624,
tumor_021,14783,37.302073,388474096,
tumor_022,8436,20.511315,191444976,
tumor_040,13020,32.149152,316715064,
tumor_045,8534,16.886483,234892048,
tumor_059,3325,6.761722,66796808,
tumor_070,6281,13.467581,155329608,
tumor_072,20837,45.435166,399844616,
tumor_079,16616,33.095622,221014248,
tumor_086,26173,59.426149,450110848,
tumor_090,27997,60.401414,366879904,
tumor_092,36105,77.145983,463908592,
tumor_101,12176,24.214670,246394480,
tumor_103,14517,31.641312,333354960,
