step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
0,ramp,0.000013,15.104163,15104.150,283.618,2026.223,12779.947,14.120,256,1,0.706872
1,ramp,15.104290,15.356135,251.845,22.199,88.414,140.885,0.289,256,1,0.708234
2,ramp,15.356186,15.621598,265.412,13.992,88.308,140.867,22.218,256,1,0.740372
3,ramp,15.621660,15.875453,253.793,14.060,88.370,140.792,10.543,256,1,2.710533
4,ramp,15.875505,16.120958,245.454,13.804,88.347,140.888,2.389,256,1,5.799201
5,ramp,16.121004,16.366172,245.168,13.382,88.373,140.885,2.502,256,1,3.776340
6,ramp,16.366224,16.611910,245.686,14.275,88.194,140.735,2.455,256,1,5.185093
7,ramp,16.611974,16.857682,245.708,14.150,88.273,140.863,2.395,256,1,3.225695
8,ramp,16.857728,17.103972,246.244,14.628,88.347,140.833,2.410,256,1,7.485168
9,ramp,17.104014,17.350135,246.121,14.561,88.367,140.735,2.433,256,1,8.337677
10,ramp,17.350178,17.595295,245.117,13.636,88.339,140.752,2.364,256,1,6.407731
11,ramp,17.595336,17.840416,245.080,13.612,88.296,140.785,2.363,256,1,1.577252
12,ramp,17.840455,18.085833,245.377,13.831,88.318,140.843,2.361,256,1,4.068404
13,ramp,18.085873,18.331762,245.889,14.158,88.466,140.819,2.420,256,1,5.895892
14,ramp,18.331804,18.577196,245.393,13.817,88.307,140.869,2.376,256,1,4.071708
15,ramp,18.577237,18.822955,245.718,14.111,88.376,140.859,2.346,256,1,1.467801
16,ramp,18.822996,19.068037,245.041,13.478,88.445,140.733,2.360,256,1,3.869905
17,ramp,19.068077,19.313514,245.437,13.851,88.338,140.803,2.420,256,1,3.463499
18,ramp,19.313559,19.559306,245.748,14.323,88.301,140.766,2.334,256,1,2.066380
19,ramp,19.559346,19.804905,245.559,14.128,88.310,140.730,2.367,256,1,5.382128
20,ramp,19.804945,20.048197,243.253,13.776,88.298,140.869,0.275,256,1,4.871693
21,ramp,20.048234,20.294105,245.871,14.288,88.300,140.817,2.442,256,1,1.625606
22,ramp,20.294148,20.540290,246.143,14.635,88.383,140.741,2.360,256,1,2.098724
23,ramp,20.540330,20.785802,245.472,14.081,88.376,140.635,2.356,256,1,0.724835
24,ramp,20.785843,21.031160,245.317,13.764,88.317,140.832,2.381,256,1,1.405041
25,ramp,21.031201,21.276683,245.482,13.792,88.416,140.835,2.415,256,1,2.532903
26,ramp,21.276724,21.522507,245.783,14.297,88.306,140.810,2.347,256,1,1.716540
27,ramp,21.522547,21.767793,245.246,13.869,88.271,140.714,2.369,256,1,1.076081
28,ramp,21.767832,22.013097,245.264,13.964,88.280,140.631,2.364,256,1,1.492417
29,ramp,22.013136,22.258181,245.045,13.574,88.433,140.618,2.394,256,1,0.683626
30,ramp,22.258223,22.503563,245.340,13.940,88.370,140.662,2.344,256,1,0.694333
31,ramp,22.503604,22.749082,245.479,14.067,88.317,140.716,2.350,256,1,0.729516
32,ramp,22.749122,22.994494,245.372,13.857,88.377,140.730,2.382,256,1,0.786641
33,ramp,22.994534,23.239768,245.234,13.750,88.235,140.806,2.419,256,1,1.957422
34,ramp,23.239809,23.485859,246.051,14.667,88.333,140.670,2.356,256,1,0.766871
35,ramp,23.485899,23.731104,245.205,13.731,88.298,140.771,2.380,256,1,0.946368
36,ramp,23.731144,23.976388,245.244,13.944,88.332,140.574,2.369,256,1,0.759992
37,ramp,23.976428,24.221494,245.066,13.612,88.314,140.703,2.413,256,1,0.889321
38,ramp,24.221535,24.466664,245.129,13.835,88.311,140.601,2.357,256,1,0.903519
39,ramp,24.466703,24.712107,245.404,14.058,88.281,140.692,2.350,256,1,0.677228
40,ramp,24.712146,24.957243,245.096,13.747,88.363,140.604,2.357,256,1,0.700861
41,ramp,24.957284,25.202371,245.087,13.586,88.433,140.688,2.354,256,1,0.755064
42,ramp,25.202411,25.447571,245.161,13.733,88.437,140.614,2.353,256,1,1.490397
43,ramp,25.447609,25.693260,245.651,14.044,88.578,140.652,2.353,256,1,0.715004
44,ramp,25.693302,25.939698,246.396,14.919,88.387,140.712,2.354,256,1,0.743093
45,ramp,25.939736,26.184896,245.160,13.779,88.347,140.640,2.372,256,1,0.847228
46,ramp,26.184934,26.430099,245.165,13.679,88.475,140.620,2.366,256,1,0.780822
47,ramp,26.430139,26.675614,245.475,13.875,88.466,140.748,2.359,256,1,0.714506
48,ramp,26.675653,26.921080,245.428,13.951,88.400,140.690,2.355,256,1,0.720245
49,ramp,26.921121,27.166215,245.094,13.614,88.437,140.603,2.415,256,1,0.673183
50,ramp,27.166256,27.415458,249.202,17.622,88.404,140.682,2.469,256,1,0.679801
51,ramp,27.415569,27.661044,245.475,14.149,88.302,140.647,2.348,256,1,0.705390
