step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
0,ramp,0.000016,12.888474,12888.457,455.542,1650.789,10779.817,2.049,256,2,0.707221
1,ramp,12.888595,13.161076,272.480,21.834,90.675,159.642,0.257,256,2,0.729965
2,ramp,13.161126,13.444985,283.858,15.485,89.057,158.952,20.335,256,2,0.739553
3,ramp,13.445040,13.717581,272.542,16.024,89.193,159.048,8.247,256,2,3.028738
4,ramp,13.717634,13.983331,265.697,15.707,89.113,158.470,2.378,256,2,4.802187
5,ramp,13.983382,14.248930,265.548,14.771,89.093,159.305,2.351,256,2,3.269907
6,ramp,14.248979,14.516245,267.265,17.360,88.941,158.563,2.373,256,2,4.245138
7,ramp,14.516306,14.781895,265.588,15.649,88.897,158.651,2.362,256,2,2.828044
8,ramp,14.781944,15.048045,266.100,15.855,88.954,158.918,2.346,256,2,4.537921
9,ramp,15.048090,15.314932,266.843,16.162,88.888,159.370,2.396,256,2,5.208252
10,ramp,15.314979,15.581244,266.265,15.540,89.003,159.356,2.338,256,2,3.621700
11,ramp,15.581288,15.846835,265.547,15.757,88.775,158.642,2.346,256,2,1.234576
12,ramp,15.846878,16.111990,265.112,15.426,88.809,158.524,2.327,256,2,2.816343
13,ramp,16.112034,16.378114,266.080,15.626,88.860,159.239,2.330,256,2,2.268821
14,ramp,16.378157,16.646795,268.638,18.035,88.838,159.425,2.313,256,2,0.857475
15,ramp,16.646839,16.912238,265.398,15.390,88.976,158.542,2.464,256,2,1.343538
16,ramp,16.912295,17.178827,266.532,16.444,89.154,158.554,2.353,256,2,3.098464
17,ramp,17.178874,17.444942,266.067,15.055,89.137,159.475,2.374,256,2,2.216550
18,ramp,17.444990,17.711028,266.038,15.773,88.888,158.997,2.353,256,2,0.915348
19,ramp,17.711076,17.976076,265.001,15.754,88.856,158.017,2.348,256,2,1.062305
20,ramp,17.976122,18.241879,265.758,15.319,88.941,159.142,2.330,256,2,1.731167
21,ramp,18.241924,18.507513,265.589,15.494,88.827,158.875,2.365,256,2,2.281433
22,ramp,18.507557,18.772556,264.999,15.347,88.863,158.422,2.340,256,2,2.353325
23,ramp,18.772601,19.038280,265.679,15.564,88.870,158.868,2.350,256,2,1.064841
24,ramp,19.038325,19.302443,264.118,14.829,88.932,157.999,2.330,256,2,0.848408
25,ramp,19.302486,19.567688,265.202,15.475,88.913,158.447,2.342,256,2,1.122264
26,ramp,19.567732,19.833903,266.171,15.378,88.882,159.261,2.620,256,2,1.468156
27,ramp,19.833968,20.100824,266.856,15.646,89.308,159.513,2.357,256,2,2.626225
28,ramp,20.100871,20.364764,263.893,15.294,88.973,159.312,0.253,256,2,4.425238
29,ramp,20.364808,20.631131,266.323,15.673,89.026,159.220,2.379,256,2,1.062832
30,ramp,20.631176,20.898949,267.773,15.343,88.806,161.228,2.370,256,2,0.857023
31,ramp,20.898994,21.164405,265.411,15.279,88.952,158.815,2.340,256,2,0.711825
32,ramp,21.164450,21.428984,264.535,15.129,88.848,158.185,2.348,256,2,0.671711
33,ramp,21.429028,21.694387,265.359,15.175,89.016,158.795,2.346,256,2,0.698490
34,ramp,21.694431,21.959722,265.291,15.585,89.023,158.312,2.344,256,2,0.835785
35,ramp,21.959768,22.224155,264.388,14.842,88.907,158.263,2.349,256,2,1.002759
36,ramp,22.224202,22.488592,264.390,15.210,88.832,157.944,2.377,256,2,0.802188
37,ramp,22.488636,22.754870,266.234,15.321,89.034,159.297,2.556,256,2,0.795981
38,ramp,22.754924,23.021558,266.634,15.473,89.313,159.445,2.374,256,2,0.785295
39,ramp,23.021607,23.285654,264.047,15.030,88.895,157.736,2.359,256,2,0.811089
40,ramp,23.285701,23.550084,264.382,15.361,88.936,157.692,2.364,256,2,0.718216
41,ramp,23.550127,23.815325,265.198,15.173,89.050,158.558,2.391,256,2,0.688133
42,ramp,23.815370,24.081100,265.730,15.184,88.881,159.303,2.337,256,2,2.656504
43,ramp,24.081144,24.345633,264.488,15.410,88.819,157.877,2.356,256,2,0.686101
44,ramp,24.345678,24.611592,265.915,15.473,88.821,159.223,2.373,256,2,0.721741
45,ramp,24.611635,24.877257,265.622,15.181,89.049,158.976,2.390,256,2,0.688564
46,ramp,24.877302,25.142390,265.088,15.148,88.958,158.592,2.362,256,2,0.712645
47,ramp,25.142437,25.408222,265.785,15.592,89.132,158.660,2.376,256,2,0.684025
48,ramp,25.408266,25.674772,266.506,15.688,89.216,159.164,2.413,256,2,0.682082
49,ramp,25.674818,25.939963,265.145,15.183,89.028,158.530,2.379,256,2,0.692076
50,ramp,25.940009,26.204722,264.712,15.340,89.191,157.771,2.384,256,2,0.746140
51,ramp,26.204837,26.470592,265.755,15.310,89.026,159.032,2.356,256,2,0.788056
52,ramp,26.470636,26.735032,264.396,14.912,88.969,158.124,2.364,256,2,0.893239
53,ramp,26.735079,27.001514,266.435,15.480,88.879,159.709,2.341,256,2,0.879085
54,ramp,27.001567,27.266977,265.410,15.743,88.925,158.371,2.344,256,2,0.681896
55,ramp,27.267022,27.532069,265.047,15.394,88.902,158.356,2.367,256,2,0.692128
56,ramp,27.532115,27.797582,265.467,15.706,88.976,158.382,2.373,256,2,0.726981
57,ramp,27.797629,28.062864,265.235,15.484,88.997,158.369,2.359,256,2,0.749019
58,ramp,28.062910,28.329006,266.096,15.619,88.970,159.098,2.382,256,2,0.750950
59,ramp,28.329051,28.593674,264.623,15.262,89.031,157.936,2.367,256,2,1.260889
60,ramp,28.593719,28.860168,266.449,15.969,89.044,159.022,2.387,256,2,0.698885
61,ramp,28.860213,29.125942,265.729,15.321,89.028,158.986,2.367,256,2,0.692210
62,ramp,29.125988,29.391569,265.581,15.586,89.047,158.545,2.377,256,2,0.776339
63,ramp,29.391614,29.656647,265.033,15.421,88.949,158.305,2.333,256,2,0.736626
64,ramp,29.656692,29.922815,266.123,15.381,88.955,159.394,2.367,256,2,0.709104
65,ramp,29.922860,30.187382,264.523,15.229,88.968,157.908,2.391,256,2,0.697558
66,ramp,30.187428,30.452732,265.304,15.571,89.076,158.257,2.375,256,2,0.686631
67,ramp,30.452776,30.718179,265.403,15.478,88.867,158.668,2.364,256,2,0.724265
68,ramp,30.718226,30.984582,266.356,15.748,89.125,159.097,2.359,256,2,0.704632
69,ramp,30.984627,31.249849,265.222,15.064,89.000,158.768,2.365,256,2,0.733519
70,ramp,31.249894,31.517115,267.220,17.380,89.017,158.446,2.349,256,2,0.695238
71,ramp,31.517158,31.781316,264.158,15.077,89.042,157.649,2.365,256,2,0.700185
72,ramp,31.781360,32.046075,264.715,15.166,89.008,158.156,2.359,256,2,0.712160
73,ramp,32.046120,32.311192,265.072,15.253,88.944,158.480,2.368,256,2,0.709784
74,ramp,32.311236,32.576585,265.349,15.298,89.066,158.580,2.379,256,2,0.704393
75,ramp,32.576630,32.841261,264.631,15.402,88.881,157.999,2.321,256,2,0.692768
76,ramp,32.841304,33.111449,270.144,20.031,88.983,158.704,2.400,256,2,0.691107
77,ramp,33.111496,33.375941,264.445,15.158,88.894,158.001,2.365,256,2,0.686440
78,ramp,33.375986,33.643165,267.179,16.807,88.937,159.028,2.381,256,2,0.679195
79,ramp,33.643226,33.910844,267.618,17.365,88.968,158.924,2.333,256,2,0.678450
80,ramp,33.910887,34.179293,268.405,17.390,89.064,159.549,2.376,256,2,0.691484
81,ramp,34.179335,34.445572,266.237,15.384,89.010,159.487,2.330,256,2,0.728838
82,ramp,34.445618,34.710317,264.699,15.357,88.931,158.026,2.358,256,2,0.750114
83,ramp,34.710361,34.975361,265.000,15.075,89.022,158.539,2.337,256,2,0.693405
84,ramp,34.975406,35.241195,265.789,15.338,88.909,159.148,2.368,256,2,0.693339
85,ramp,35.241239,35.506796,265.556,15.396,88.950,158.810,2.374,256,2,0.704332
86,ramp,35.506840,35.771600,264.760,15.425,88.980,157.964,2.363,256,2,0.670347
87,ramp,35.771645,36.036635,264.989,15.640,89.054,157.901,2.369,256,2,0.685949
88,ramp,36.036678,36.302186,265.507,15.504,88.932,158.702,2.343,256,2,1.114537
89,ramp,36.302229,36.567833,265.604,15.892,88.889,158.427,2.369,256,2,0.707110
90,ramp,36.567877,36.832484,264.607,15.011,88.971,158.226,2.372,256,2,0.692190
91,ramp,36.832528,37.098289,265.761,15.255,88.931,159.204,2.344,256,2,0.778656
92,ramp,37.098334,37.364265,265.931,15.705,89.074,158.757,2.368,256,2,0.718438
93,ramp,37.364310,37.629692,265.382,15.316,89.023,158.652,2.363,256,2,0.685577
94,ramp,37.629738,37.896368,266.630,15.614,89.040,159.582,2.369,256,2,0.682746
95,ramp,37.896414,38.161659,265.245,15.394,89.021,158.392,2.410,256,2,0.714017
96,ramp,38.161709,38.427881,266.172,15.149,89.219,159.434,2.341,256,2,0.685374
97,ramp,38.427927,38.692859,264.932,15.479,89.006,158.053,2.366,256,2,0.792331
98,ramp,38.692905,38.959148,266.243,15.336,88.997,159.479,2.402,256,2,0.809198
99,ramp,38.959197,39.224926,265.729,15.542,89.090,158.671,2.396,256,2,0.986887
100,ramp,39.224972,39.490994,266.022,15.492,89.100,159.037,2.364,256,2,0.657384
101,ramp,39.491106,39.756655,265.549,15.411,89.074,158.657,2.375,256,2,0.765757
102,ramp,39.756700,40.022009,265.308,15.269,89.032,158.602,2.379,256,2,0.681572
103,ramp,40.022055,40.286767,264.712,14.983,89.048,158.282,2.371,256,2,0.670324
104,ramp,40.286815,40.552122,265.308,15.168,89.050,158.696,2.364,256,2,0.661414
105,ramp,40.552169,40.818428,266.259,16.509,88.978,158.357,2.386,256,2,1.237826
106,ramp,40.818476,41.083864,265.389,15.189,89.103,158.699,2.368,256,2,0.664348
107,ramp,41.083913,41.349844,265.931,15.142,88.957,159.421,2.382,256,2,1.447808
108,ramp,41.349893,41.615782,265.890,15.140,89.259,159.074,2.389,256,2,0.680598
109,ramp,41.615830,41.880130,264.300,15.090,89.090,157.712,2.381,256,2,0.681623
110,ramp,41.880178,42.145798,265.620,15.094,89.122,159.016,2.360,256,2,0.707894
111,ramp,42.145846,42.410792,264.945,15.117,88.960,158.481,2.358,256,2,0.699900
112,ramp,42.410839,42.677148,266.309,15.308,89.078,159.518,2.379,256,2,0.714854
113,ramp,42.677195,42.943002,265.806,15.616,89.176,158.591,2.398,256,2,0.689207
114,ramp,42.943049,43.208501,265.452,15.326,89.043,158.666,2.391,256,2,0.959194
115,ramp,43.208549,43.474514,265.965,15.446,89.095,159.039,2.358,256,2,0.663572
116,ramp,43.474559,43.740817,266.258,15.439,89.130,159.290,2.371,256,2,0.672656
117,ramp,43.740865,44.006415,265.549,15.504,89.135,158.498,2.385,256,2,0.673548
118,ramp,44.006462,44.271621,265.159,14.994,89.165,158.591,2.382,256,2,0.747853
119,ramp,44.271669,44.537205,265.536,15.236,89.099,158.768,2.406,256,2,0.663875
120,ramp,44.537252,44.804014,266.762,16.166,89.393,158.739,2.437,256,2,0.677369
121,ramp,44.804066,45.070001,265.935,15.644,89.461,158.350,2.451,256,2,0.652989
122,ramp,45.070054,45.336429,266.376,15.739,89.375,158.814,2.421,256,2,0.683243
123,ramp,45.336480,45.602236,265.756,15.317,89.101,158.919,2.392,256,2,0.641488
124,ramp,45.602285,45.867520,265.234,15.320,89.164,158.307,2.417,256,2,0.680315
125,ramp,45.867569,46.133180,265.611,15.162,89.123,158.875,2.423,256,2,0.660260
126,ramp,46.133246,46.398791,265.545,15.367,89.155,158.602,2.393,256,2,0.721911
127,ramp,46.398841,46.664879,266.038,15.683,89.170,158.775,2.382,256,2,0.660945
128,ramp,46.664927,46.931537,266.610,15.602,89.406,159.109,2.466,256,2,0.690831
129,ramp,46.931586,47.198010,266.424,15.124,89.403,159.453,2.416,256,2,0.710707
130,ramp,47.198061,47.464132,266.071,15.454,89.176,158.993,2.420,256,2,0.655303
131,ramp,47.464182,47.729666,265.484,15.783,89.204,158.081,2.387,256,2,0.628308
132,ramp,47.729716,47.997689,267.974,16.774,89.216,159.565,2.391,256,2,0.667927
133,ramp,47.997737,48.263553,265.816,15.242,89.292,158.834,2.422,256,2,0.740091
134,ramp,48.263604,48.530180,266.577,15.381,89.202,159.547,2.420,256,2,0.633261
135,ramp,48.530230,48.795631,265.401,15.384,89.196,158.427,2.367,256,2,0.665231
136,ramp,48.795679,49.060886,265.207,15.001,89.181,158.644,2.354,256,2,0.621116
137,ramp,49.060932,49.326995,266.063,15.169,89.275,159.176,2.417,256,2,0.650677
138,ramp,49.327042,49.593240,266.198,15.225,89.238,159.290,2.417,256,2,0.646890
139,ramp,49.593293,49.859851,266.558,15.460,89.359,159.325,2.383,256,2,0.651966
140,ramp,49.859901,50.125797,265.897,15.235,89.143,159.117,2.374,256,2,0.635500
141,ramp,50.125846,50.392223,266.377,15.683,89.153,159.109,2.405,256,2,0.615646
142,ramp,50.392274,50.657857,265.584,15.027,89.318,158.775,2.435,256,2,0.621494
143,ramp,50.657907,50.923938,266.031,15.290,89.279,159.022,2.412,256,2,0.757452
144,ramp,50.923990,51.189523,265.534,15.931,89.268,157.897,2.409,256,2,0.620237
145,ramp,51.189580,51.456338,266.758,15.722,89.268,159.313,2.426,256,2,0.630391
146,ramp,51.456387,51.722003,265.616,15.188,89.105,158.916,2.380,256,2,0.637037
147,ramp,51.722052,51.987367,265.315,15.034,89.167,158.682,2.405,256,2,0.620976
148,ramp,51.987414,52.254002,266.589,15.551,89.409,159.220,2.382,256,2,0.659860
149,ramp,52.254053,52.519879,265.826,15.044,89.074,159.311,2.371,256,2,0.671383
150,ramp,52.519925,52.785998,266.073,15.200,89.256,159.199,2.391,256,2,0.648506
151,ramp,52.786103,53.053091,266.988,15.479,89.340,159.671,2.469,256,2,0.658767
152,ramp,53.053140,53.319997,266.857,16.205,89.265,158.939,2.421,256,2,0.610072
153,ramp,53.320047,53.585400,265.354,14.836,89.245,158.852,2.394,256,2,0.598056
154,ramp,53.585449,53.852731,267.282,15.422,89.244,160.227,2.362,256,2,0.654467
155,ramp,53.852777,54.120986,268.208,18.312,89.234,158.215,2.420,256,2,0.657134
156,ramp,54.121036,54.387476,266.439,15.275,89.407,159.328,2.402,256,2,0.631581
157,ramp,54.387524,54.654365,266.841,15.671,89.156,159.617,2.370,256,2,0.655816
158,ramp,54.654411,54.921914,267.502,17.361,89.012,158.729,2.374,256,2,0.601954
159,ramp,54.921962,55.188775,266.813,15.740,89.194,159.496,2.356,256,2,0.623525
160,ramp,55.188822,55.454187,265.364,15.190,88.999,158.758,2.390,256,2,0.609942
161,ramp,55.454235,55.720596,266.362,15.314,89.279,159.370,2.370,256,2,0.619029
162,ramp,55.720642,55.985452,264.810,15.225,89.134,158.041,2.384,256,2,0.623362
163,ramp,55.985498,56.250211,264.713,15.061,88.948,158.310,2.367,256,2,0.618676
164,ramp,56.250258,56.516862,266.604,15.327,89.219,159.676,2.354,256,2,0.650964
165,ramp,56.516906,56.782356,265.449,14.975,88.972,159.106,2.371,256,2,0.577032
166,ramp,56.782402,57.048327,265.925,15.432,89.246,158.824,2.397,256,2,0.621684
167,ramp,57.048373,57.313651,265.277,15.528,89.188,158.159,2.376,256,2,0.633035
168,ramp,57.313700,57.579559,265.859,15.493,89.302,158.645,2.390,256,2,0.629961
169,ramp,57.579603,57.845090,265.486,15.365,89.103,158.639,2.353,256,2,0.619141
170,ramp,57.845135,58.112957,267.822,17.681,89.103,158.630,2.382,256,2,0.618509
171,ramp,58.113002,58.378469,265.466,15.433,89.044,158.598,2.365,256,2,0.607430
172,ramp,58.378515,58.645850,267.336,16.564,89.153,159.247,2.344,256,2,0.661438
173,ramp,58.645897,58.911600,265.703,15.077,89.064,159.149,2.385,256,2,0.623792
174,ramp,58.911645,59.178121,266.476,15.756,89.116,159.203,2.375,256,2,0.596607
175,ramp,59.178170,59.444508,266.337,15.048,89.285,159.554,2.425,256,2,0.538271
176,ramp,59.444557,59.710642,266.086,15.077,89.252,159.370,2.360,256,2,0.755651
177,ramp,59.710689,59.976507,265.818,15.493,89.207,158.743,2.349,256,2,0.625479
178,ramp,59.976553,60.242336,265.783,15.191,89.120,159.058,2.388,256,2,0.617115
179,ramp,60.242381,60.510552,268.171,17.771,89.086,158.898,2.389,256,2,0.642671
180,ramp,60.510600,60.776827,266.227,15.565,89.151,159.079,2.404,256,2,0.607933
181,ramp,60.776873,61.042941,266.068,15.353,89.288,158.876,2.525,256,2,0.621148
