step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
0,ramp,0.000016,12.742732,12742.715,347.959,1689.452,10702.870,2.178,256,4,0.541194
1,ramp,12.742851,13.265309,522.458,234.747,91.921,195.246,0.445,256,4,0.673569
2,ramp,13.265402,13.758565,493.163,190.269,90.714,191.072,21.070,256,4,0.889437
3,ramp,13.758627,14.218916,460.289,207.914,90.451,161.574,0.274,256,4,2.345563
4,ramp,14.218972,14.688852,469.881,209.623,90.804,162.050,7.370,256,4,3.347021
5,ramp,14.688916,15.144777,455.861,189.508,91.102,172.753,2.466,256,4,5.266313
6,ramp,15.144834,15.590503,445.668,176.337,90.809,176.067,2.424,256,4,5.108685
7,ramp,15.590566,16.031214,440.647,185.862,90.562,161.570,2.621,256,4,3.771857
8,ramp,16.031280,16.474703,443.423,188.680,90.584,161.709,2.417,256,4,5.849514
9,ramp,16.474757,16.911792,437.034,182.400,90.610,161.554,2.439,256,4,1.989358
10,ramp,16.911847,17.351869,440.022,183.424,90.515,163.615,2.435,256,4,7.001172
11,ramp,17.351922,17.791762,439.839,179.732,90.638,166.991,2.447,256,4,1.657473
12,ramp,17.791816,18.232940,441.124,186.909,90.562,161.182,2.441,256,4,2.990750
13,ramp,18.232993,18.666083,433.091,173.365,90.697,166.564,2.436,256,4,3.063223
14,ramp,18.666137,19.100325,434.188,180.197,90.507,161.031,2.422,256,4,0.863662
15,ramp,19.100378,19.538856,438.477,184.103,90.707,161.184,2.453,256,4,0.372107
16,ramp,19.538908,19.973355,434.448,178.000,90.620,163.342,2.456,256,4,1.321749
17,ramp,19.973410,20.419011,445.601,185.830,90.549,166.745,2.445,256,4,1.534875
18,ramp,20.419067,20.853879,434.812,179.924,90.444,161.992,2.421,256,4,1.581052
19,ramp,20.853932,21.297772,443.839,187.376,90.259,163.738,2.435,256,4,1.681463
20,ramp,21.297825,21.740685,442.861,188.748,90.636,161.019,2.427,256,4,2.391364
21,ramp,21.740738,22.177994,437.256,182.551,90.454,161.795,2.428,256,4,0.939726
22,ramp,22.178046,22.618833,440.787,185.725,90.553,162.043,2.437,256,4,0.634235
23,ramp,22.618887,23.055007,436.121,181.785,90.668,161.226,2.408,256,4,1.237740
24,ramp,23.055060,23.494542,439.482,172.126,90.553,174.321,2.450,256,4,0.875188
25,ramp,23.494595,23.939222,444.627,167.846,90.527,183.768,2.454,256,4,1.778222
26,ramp,23.939276,24.380275,440.999,170.575,90.540,177.423,2.430,256,4,1.256782
27,ramp,24.380329,24.807991,427.663,173.074,90.486,161.657,2.416,256,4,1.002689
28,ramp,24.808045,25.250945,442.900,176.893,90.561,172.858,2.557,256,4,0.684060
29,ramp,25.251016,25.693154,442.138,181.198,90.795,167.732,2.378,256,4,1.426741
30,ramp,25.693210,26.127772,434.562,174.216,90.591,167.268,2.456,256,4,0.731500
31,ramp,26.127826,26.560649,432.823,176.857,90.371,163.111,2.451,256,4,0.947409
32,ramp,26.560701,27.000630,439.929,169.732,90.503,177.214,2.450,256,4,1.061570
33,ramp,27.000682,27.431835,431.153,168.271,90.474,169.932,2.445,256,4,3.708747
34,ramp,27.431890,27.862808,430.918,176.469,90.596,161.398,2.425,256,4,0.768485
35,ramp,27.862859,28.312414,449.555,189.862,90.434,166.449,2.780,256,4,1.506226
36,ramp,28.312484,28.745838,433.354,175.449,90.681,164.742,2.451,256,4,1.446912
