step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.416423,1.772399,1355.975,27.846,1327.286,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
1,ramp,1.981840,2.890345,908.505,1.700,902.333,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
2,ramp,3.076152,3.983541,907.389,1.704,901.216,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
3,ramp,4.114003,5.019567,905.564,1.691,899.399,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
4,ramp,5.139813,6.050526,910.713,1.712,904.520,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
5,ramp,6.166795,7.077802,911.007,1.690,904.873,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
6,ramp,7.207298,8.115581,908.283,1.700,902.202,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
7,ramp,8.233505,9.142932,909.427,1.690,903.273,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
8,ramp,9.265374,10.172172,906.798,1.690,900.647,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
9,ramp,10.292099,11.203908,911.809,1.687,905.666,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
10,steady,11.328756,12.238011,909.255,1.700,903.090,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
11,steady,12.360880,13.274326,913.446,1.699,907.237,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
12,steady,13.396502,14.310213,913.711,1.705,907.542,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
13,steady,14.432417,15.338428,906.011,1.695,899.856,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
14,steady,15.457259,16.370465,913.206,1.697,907.017,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
15,steady,16.489089,17.403330,914.241,1.695,908.006,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
16,steady,17.519347,18.434169,914.821,1.695,908.642,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
17,steady,18.549483,19.464960,915.477,1.695,909.279,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
18,steady,19.584093,20.498784,914.691,1.696,908.504,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
19,steady,20.615417,21.531747,916.330,1.698,910.140,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
