slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,4,9373,0.165644,38.798788,38.633,242.6,1280
TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1,4,11520,0.243173,48.403337,48.160,239.2,1280
TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,2,4,7989,0.165617,33.205312,33.040,241.8,1280
TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,3,4,26624,0.481134,106.630242,106.149,250.8,1280
TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,4,11161,39.102635,84.654139,45.552,245.0,1280
TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,1,4,19432,48.822596,129.404002,80.581,241.1,1280
TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,2,4,4797,33.384638,52.978850,19.594,244.8,1280
TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,3,4,6253,106.948398,132.209566,25.261,247.5,1280
TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,4,6044,84.871390,109.519840,24.648,245.2,1280
TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,1,4,2177,129.632110,138.962924,9.331,233.3,1280
TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,2,4,3413,53.148156,67.427203,14.279,239.0,1280
TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,3,4,4311,132.422856,150.091668,17.669,244.0,1280
TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,4,2205,109.655644,118.806333,9.151,241.0,1280
TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,1,4,1988,139.066263,147.794475,8.728,227.8,1280
TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,2,4,3734,67.581796,83.153199,15.571,239.8,1280
TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,3,4,1606,150.212895,156.943524,6.731,238.6,1280
TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,4,2024,118.917691,127.444622,8.527,237.4,1280
TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,1,4,4478,147.923326,166.789088,18.866,237.4,1280
TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,2,4,10735,83.403210,127.483800,44.081,243.5,1280
TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,3,4,6236,157.080039,182.317031,25.237,247.1,1280
TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,0,4,18572,127.807186,203.767787,75.961,244.5,1280
TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,1,4,8980,166.994911,204.253890,37.259,241.0,1280
TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,2,4,9856,127.738587,168.499317,40.761,241.8,1280
TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,3,4,14876,182.647004,243.106254,60.459,246.1,1280
TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,0,4,5213,203.999880,225.396021,21.396,243.6,1280
TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,1,4,13502,204.561499,261.317403,56.756,237.9,1280
TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,2,4,10086,168.743758,209.748083,41.004,246.0,1280
TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,3,4,22889,243.566430,336.503618,92.937,246.3,1280
TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB,0,4,25271,225.769322,328.956862,103.188,244.9,1280
TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70,1,4,14377,261.632312,321.168774,59.536,241.5,1280
