step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.103951,1.597693,1493.742,19.325,1474.304,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
1,ramp,1.610560,2.673161,1062.601,1.762,1060.765,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
2,ramp,2.685206,3.749235,1064.029,1.756,1062.210,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
3,ramp,3.761655,4.825912,1064.257,1.754,1062.445,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
4,ramp,4.837349,5.904364,1067.015,1.746,1065.213,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
5,ramp,5.915882,6.984026,1068.143,1.759,1066.327,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
6,ramp,6.996145,8.064145,1068.001,1.745,1066.199,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
7,ramp,8.075752,9.144778,1069.026,1.742,1067.225,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
8,ramp,9.156638,10.224773,1068.135,1.755,1066.322,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
9,ramp,10.236383,11.305813,1069.429,1.751,1067.623,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
10,steady,11.317765,12.390210,1072.444,1.746,1070.641,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
11,steady,12.402206,13.476468,1074.262,1.751,1072.455,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
12,steady,13.488998,14.563682,1074.683,1.747,1072.881,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
