slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,2,9373,0.158631,40.840619,40.682,230.4,1536
TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1,2,11520,0.095786,48.936978,48.841,235.9,1536
TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,2,7989,40.970627,76.150056,35.179,227.1,1536
TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1,2,26624,49.196892,165.520471,116.324,228.9,1536
TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,2,11161,76.280995,125.127825,48.847,228.5,1536
TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,1,2,19432,165.826200,253.408554,87.582,221.9,1536
TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,2,4797,125.249445,146.560277,21.311,225.1,1536
TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,1,2,6253,253.626778,282.487780,28.861,216.7,1536
TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,2,6044,146.636487,173.367133,26.731,226.1,1536
TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,1,2,2177,282.573829,292.698911,10.125,215.0,1536
TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,2,3413,173.438386,188.407819,14.969,228.0,1536
TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,1,2,4311,292.747237,312.600149,19.853,217.1,1536
TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,2,2205,188.453812,198.083982,9.630,229.0,1536
TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,1,2,1988,312.638834,321.843589,9.205,216.0,1536
TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,2,3734,198.119078,214.665606,16.547,225.7,1536
TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,1,2,1606,321.867583,329.267598,7.400,217.0,1536
TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,2,2024,214.702640,223.877599,9.175,220.6,1536
TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,1,2,4478,329.301887,349.863593,20.562,217.8,1536
TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,2,10735,223.939130,271.686003,47.747,224.8,1536
TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,1,2,6236,349.920894,378.608750,28.688,217.4,1536
TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,0,2,18572,271.859771,353.887144,82.027,226.4,1536
TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,1,2,8980,378.708868,419.653757,40.945,219.3,1536
TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,0,2,9856,354.092108,397.637351,43.545,226.3,1536
TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,1,2,14876,419.800841,486.898931,67.098,221.7,1536
TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,0,2,5213,397.760947,420.666022,22.905,227.6,1536
TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,1,2,13502,487.086089,548.684528,61.598,219.2,1536
TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,0,2,10086,420.768477,464.992126,44.224,228.1,1536
TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,1,2,22889,548.902735,652.942525,104.040,220.0,1536
TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB,0,2,25271,465.210026,576.043046,110.833,228.0,1536
TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70,1,2,14377,653.199762,718.165868,64.966,221.3,1536
TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E,0,2,5319,576.296045,599.739598,23.444,226.9,1536
TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788,1,2,7912,718.334299,753.862023,35.528,222.7,1536
TCGA-BH-A0HQ-01Z-00-DX1.0921FCEF-20A2-4D4B-A198-91AF9F6C814C,0,2,12548,599.864634,654.440831,54.576,229.9,1536
TCGA-BH-A0W5-01Z-00-DX1.84EA3913-667B-4694-A0F0-E629CAC615C8,1,2,13459,753.997120,815.497721,61.501,218.8,1536
TCGA-C8-A26V-01Z-00-DX1.6E86DF74-D575-4969-8142-963D9DF5208F,0,2,9195,654.597834,695.093849,40.496,227.1,1536
TCGA-C8-A275-01Z-00-DX1.44D27E67-4DD6-4893-B38A-01E48F5A358A,1,2,12354,815.666876,872.073635,56.407,219.0,1536
TCGA-C8-A8HR-01Z-00-DX1.8E841CA8-1CE2-4242-AC5A-3247075CF8F4,0,2,5410,695.211398,718.655845,23.444,230.8,1536
TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D,1,2,8616,872.225139,911.627384,39.402,218.7,1536
TCGA-D8-A1JM-01Z-00-DX1.3CD15BC8-08B3-4BEE-9FD7-A8BEED33268E,0,2,11874,718.765003,770.732749,51.968,228.5,1536
TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46,1,2,15831,911.786371,984.019792,72.233,219.2,1536
TCGA-D8-A1XV-01Z-00-DX2.D1988E01-5FDC-4F50-8183-F0CCE74D0CB2,0,2,11410,770.897479,821.009241,50.112,227.7,1536
TCGA-E2-A15E-06Z-00-DX1.D394A007-91A2-4445-9B4A-1629EE684A51,1,2,16165,984.224550,1057.673168,73.449,220.1,1536
TCGA-E2-A15J-01Z-00-DX1.BF7901D1-30B1-4A76-B0A5-E9B8B36EF4C9,0,2,15013,821.192133,887.202722,66.011,227.4,1536
TCGA-E2-A15K-01Z-00-DX1.9F424BE2-9BFE-4DFF-8CC9-10D2DADBBEA7,1,2,5719,1057.843126,1083.427906,25.585,223.5,1536
TCGA-E9-A1N8-01Z-00-DX1.1243AB1C-75A3-4A5E-9674-53992E6DD377,0,2,11469,887.380915,937.771394,50.390,227.6,1536
TCGA-E9-A1RD-01Z-00-DX1.34083668-cbd2-4610-b857-d50ee9f3e5bd,1,2,8753,1083.527301,1122.412421,38.885,225.1,1536
TCGA-GM-A2DN-01Z-00-DX1.593003B0-BA87-486B-B472-D6B85867D54D,0,2,10425,937.919797,983.945880,46.026,226.5,1536
TCGA-PE-A5DC-01Z-00-DX1.8E6953AD-C14A-43F5-B062-E31AB13C7BDF,1,2,6251,1122.519957,1151.007984,28.488,219.4,1536
TCGA-S3-AA12-01Z-00-DX1.2A991B9F-E7E6-410B-B0BF-635E3CC40C7E,0,2,19501,984.123082,1069.587353,85.464,228.2,1536
TCGA-Z7-A8R6-01Z-00-DX1.CE4ED818-D762-4324-9DEA-2ACB38B9B0B9,1,2,16460,1151.141650,1225.432354,74.291,221.6,1536
