slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,4,9373,0.160066,44.894155,44.734,209.5,1536
TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1,4,11520,0.229699,55.635591,55.406,207.9,1536
TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,2,4,7989,0.153263,38.609264,38.456,207.7,1536
TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,3,4,26624,0.463809,124.668656,124.205,214.4,1536
TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,4,11161,45.186326,98.512041,53.326,209.3,1536
TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,1,4,19432,56.054083,150.521086,94.467,205.7,1536
TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,2,4,4797,38.790611,61.833414,23.043,208.2,1536
TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,3,4,6253,125.007019,154.510800,29.504,211.9,1536
TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,4,6044,98.738690,127.688117,28.949,208.8,1536
TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,1,4,2177,150.762598,161.532433,10.770,202.1,1536
TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,2,4,3413,61.999513,78.748785,16.749,203.8,1536
TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,3,4,4311,154.739906,175.401217,20.661,208.7,1536
TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,4,2205,127.804713,138.417484,10.613,207.8,1536
TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,1,4,1988,161.631946,171.646870,10.015,198.5,1536
TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,2,4,3734,78.895815,97.239614,18.344,203.6,1536
TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,3,4,1606,175.516518,183.429054,7.913,203.0,1536
TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,4,2024,138.525201,148.406084,9.881,204.8,1536
TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,1,4,4478,171.763850,194.193943,22.430,199.6,1536
TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,2,4,10735,97.465595,149.359538,51.894,206.9,1536
