step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.213284,1.530453,1317.169,16.072,1300.978,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
1,ramp,1.543831,2.413594,869.762,1.762,867.910,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
2,ramp,2.424852,3.296103,871.251,1.759,869.422,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
3,ramp,3.307638,4.179399,871.761,1.768,869.924,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
4,ramp,4.191620,5.065327,873.707,1.762,871.877,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
5,ramp,5.076883,5.951333,874.450,1.765,872.619,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
6,ramp,5.962695,6.837995,875.300,1.747,873.490,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
7,ramp,6.849274,7.723246,873.972,1.756,872.155,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
8,ramp,7.735021,8.610920,875.900,1.752,874.086,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
9,ramp,8.622232,9.498296,876.064,1.752,874.255,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
10,steady,9.509550,10.387119,877.569,1.755,875.758,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
11,steady,10.399066,11.276667,877.601,1.761,875.782,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
12,steady,11.287947,12.160903,872.956,1.751,871.148,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
13,steady,12.172418,13.042964,870.546,1.753,868.737,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
14,steady,13.054573,13.926259,871.686,1.752,869.877,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
15,steady,13.937513,14.810061,872.548,1.760,870.730,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
16,steady,14.821488,15.694626,873.137,1.755,871.328,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
17,steady,15.706414,16.578924,872.510,1.749,870.704,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
18,steady,16.590406,17.464289,873.883,1.754,872.075,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
19,steady,17.475579,18.350512,874.933,1.759,873.121,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
20,steady,18.361866,19.237330,875.463,1.752,873.658,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
21,steady,19.249131,20.125358,876.228,1.748,874.423,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
22,steady,20.136803,21.013382,876.579,1.749,874.775,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
23,steady,21.025054,21.901018,875.965,1.752,874.160,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
24,steady,21.912565,22.789654,877.089,1.752,875.282,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
25,steady,22.801312,23.679239,877.926,1.756,876.113,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
26,steady,23.690904,24.570837,879.933,1.758,878.119,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
27,steady,24.582390,25.462413,880.023,1.747,878.222,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
28,steady,25.473875,26.353251,879.376,1.755,877.556,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
29,steady,26.364601,27.240086,875.485,1.757,873.670,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
30,steady,27.251836,28.128829,876.993,1.752,875.188,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
31,steady,28.140352,29.017228,876.876,1.749,875.071,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
32,steady,29.028785,29.906829,878.044,1.753,876.234,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
33,steady,29.918144,30.796087,877.943,1.751,876.135,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
34,steady,30.807323,31.688318,880.994,1.780,879.161,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
35,steady,31.699466,32.578433,878.967,1.748,877.166,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
36,steady,32.586136,33.249431,663.295,1.051,662.194,157,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,2
37,steady,33.397097,34.275096,877.999,1.802,876.114,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,2
38,steady,34.286872,35.169521,882.649,1.758,880.833,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,2
39,steady,35.181288,36.064025,882.737,1.754,880.928,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,2
40,steady,36.075772,36.958078,882.306,1.758,880.494,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,2
