slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,2,9373,0.172453,33.249629,33.077,283.4,1536
TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1,2,11520,0.085992,39.783947,39.698,290.2,1536
TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,2,7989,33.377139,61.745634,28.368,281.6,1536
TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1,2,26624,40.052849,133.747582,93.695,284.2,1536
TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,2,11161,61.872231,101.987189,40.115,278.2,1536
TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,1,2,19432,134.051977,203.612882,69.561,279.4,1536
TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,2,4797,102.117590,119.055904,16.938,283.2,1536
TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,1,2,6253,203.821403,227.579038,23.758,263.2,1536
TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,2,6044,119.129380,140.352691,21.223,284.8,1536
TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,1,2,2177,227.662948,235.954771,8.292,262.5,1536
TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,2,3413,140.424473,152.433730,12.009,284.2,1536
TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,1,2,4311,235.996579,252.154476,16.158,266.8,1536
TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,2,2205,152.482181,160.154290,7.672,287.4,1536
TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,1,2,1988,252.192641,259.623101,7.430,267.5,1536
