step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.138298,1.665530,1527.232,17.118,1509.988,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
1,ramp,1.681913,2.747116,1065.203,1.789,1063.289,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
2,ramp,2.760329,3.827586,1067.257,1.781,1065.355,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
3,ramp,3.840938,4.911582,1070.644,1.776,1068.778,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
4,ramp,4.926242,5.996440,1070.198,1.764,1068.376,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
5,ramp,6.009346,7.077806,1068.460,1.763,1066.634,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
6,ramp,7.089881,8.158265,1068.384,1.757,1066.570,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
7,ramp,8.169773,9.237968,1068.195,1.748,1066.388,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
8,ramp,9.249707,10.318081,1068.374,1.760,1066.561,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
9,ramp,10.330141,11.398992,1068.851,1.741,1067.054,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
10,steady,11.410285,12.484123,1073.838,1.751,1072.031,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
11,steady,12.495859,13.570282,1074.424,1.744,1072.623,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
12,steady,13.581879,14.656535,1074.656,1.753,1072.851,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
13,steady,14.667761,15.737885,1070.124,1.749,1068.319,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
14,steady,15.749366,16.822771,1073.405,1.757,1071.594,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
