step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.116631,1.442965,1326.334,25.360,1300.852,256,normal_004,4
1,ramp,1.456191,2.337307,881.116,1.780,879.236,256,normal_004,4
2,ramp,2.350258,3.230876,880.618,1.785,878.731,256,normal_004,4
3,ramp,3.243063,4.125324,882.261,1.776,880.400,256,normal_004,4
4,ramp,4.136551,5.018507,881.956,1.764,880.133,256,normal_004,4
5,ramp,5.026178,5.706427,680.249,1.119,679.076,166,normal_004,4
6,ramp,5.748359,6.626988,878.630,1.769,876.795,256,normal_017,4
7,ramp,6.632404,7.077164,444.761,0.486,444.227,105,normal_017,4
8,ramp,7.169361,8.047266,877.905,1.791,876.036,256,normal_050,4
9,ramp,8.058757,8.936934,878.176,1.753,876.369,256,normal_050,4
10,steady,8.948335,9.827425,879.090,1.766,877.270,256,normal_050,4
11,steady,9.839173,10.717943,878.770,1.752,876.961,256,normal_050,4
12,steady,10.729488,11.609296,879.808,1.753,878.002,256,normal_050,4
13,steady,11.620895,12.500993,880.099,1.747,878.302,256,normal_050,4
14,steady,12.512328,13.392938,880.610,1.760,878.799,256,normal_050,4
15,steady,13.404247,14.284872,880.625,1.756,878.816,256,normal_050,4
16,steady,14.296469,15.178054,881.585,1.751,879.785,256,normal_050,4
17,steady,15.189612,16.071427,881.815,1.749,880.015,256,normal_050,4
18,steady,16.082544,16.964712,882.168,1.765,880.327,256,normal_050,4
19,steady,16.976816,17.858555,881.740,1.753,879.928,256,normal_050,4
20,steady,17.870567,18.753860,883.293,1.751,881.488,256,normal_050,4
21,steady,18.766737,19.649818,883.081,1.745,881.284,256,normal_050,4
22,steady,19.662318,20.545640,883.322,1.760,881.509,256,normal_050,4
23,steady,20.557626,21.441746,884.121,1.758,882.314,256,normal_050,4
24,steady,21.453291,22.337826,884.535,1.749,882.736,256,normal_050,4
25,steady,22.349158,23.233201,884.043,1.749,882.248,256,normal_050,4
26,steady,23.244940,24.130433,885.493,1.750,883.694,256,normal_050,4
27,steady,24.141800,25.027414,885.615,1.746,883.820,256,normal_050,4
28,steady,25.039018,25.924603,885.585,1.757,883.781,256,normal_050,4
29,steady,25.936134,26.821939,885.805,1.751,884.003,256,normal_050,4
30,steady,26.843309,27.729306,885.997,1.758,884.189,256,normal_050,4
31,steady,27.740765,28.627004,886.239,1.753,884.438,256,normal_050,4
32,steady,28.638445,29.524598,886.154,1.751,884.353,256,normal_050,4
33,steady,29.536158,30.423842,887.684,1.752,885.879,256,normal_050,4
34,steady,30.435371,31.324345,888.973,1.763,887.157,256,normal_050,4
35,steady,31.336149,32.224561,888.412,1.746,886.615,256,normal_050,4
36,steady,32.236201,33.125879,889.678,1.755,887.869,256,normal_050,4
37,steady,33.137437,34.028031,890.595,1.750,888.794,256,normal_050,4
38,steady,34.039597,34.930717,891.119,1.758,889.306,256,normal_050,4
39,steady,34.942584,35.833548,890.964,1.743,889.170,256,normal_050,4
40,steady,35.845450,36.737835,892.385,1.752,890.584,256,normal_050,4
41,steady,36.749443,37.640791,891.348,1.754,889.538,256,normal_050,4
42,steady,37.652609,38.546058,893.449,1.759,891.638,256,normal_050,4
43,steady,38.557781,39.451360,893.579,1.756,891.771,256,normal_050,4
44,steady,39.462948,40.356386,893.438,1.762,891.613,256,normal_050,4
45,steady,40.364625,40.944591,579.965,1.135,578.758,166,normal_050,4
46,steady,41.123269,42.022831,899.562,1.807,897.675,256,normal_080,4
47,steady,42.035522,42.935959,900.437,1.753,898.621,256,normal_080,4
48,steady,42.947462,43.848054,900.592,1.760,898.772,256,normal_080,4
49,steady,43.860426,44.761495,901.068,1.772,899.227,256,normal_080,4
50,steady,44.772796,45.675785,902.989,1.763,901.155,256,normal_080,4
51,steady,45.687443,46.589447,902.004,1.776,900.156,256,normal_080,4
52,steady,46.600761,47.502741,901.980,1.768,900.155,256,normal_080,4
53,steady,47.513857,48.415655,901.798,1.758,899.981,256,normal_080,4
54,steady,48.426851,49.327632,900.781,1.769,898.951,256,normal_080,4
55,steady,49.339511,50.231360,891.849,1.769,890.012,256,normal_080,4
56,steady,50.243574,51.135949,892.374,1.759,890.555,256,normal_080,4
57,steady,51.147759,52.041410,893.651,1.757,891.836,256,normal_080,4
