slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
normal_004,0,4,1446,0.036803,5.706590,5.670,255.0,1280
normal_013,1,4,1606,0.036782,6.211981,6.175,260.1,1280
normal_014,2,4,2244,0.041949,8.652308,8.610,260.6,1280
normal_016,3,4,590,0.031246,2.655648,2.624,224.8,1280
normal_017,0,4,361,5.736567,7.077285,1.341,269.3,1280
normal_023,1,4,951,6.242832,9.687067,3.444,276.1,1280
normal_045,2,4,388,8.688257,10.158234,1.470,263.9,1280
normal_048,3,4,2677,2.691096,12.084857,9.394,285.0,1280
normal_050,0,4,9638,7.149776,40.944797,33.795,285.2,1280
normal_053,1,4,12937,9.779147,55.655911,45.877,282.0,1280
normal_058,2,4,5475,10.200632,29.955897,19.755,277.1,1280
normal_072,3,4,7944,12.157836,40.033671,27.876,285.0,1280
normal_080,0,4,16112,41.097358,98.828590,57.731,279.1,1280
normal_082,1,4,9497,55.801699,90.195834,34.394,276.1,1280
normal_103,2,4,11610,30.058078,71.800092,41.742,278.1,1280
normal_112,3,4,20049,40.201046,111.517935,71.317,281.1,1280
normal_113,0,4,17490,99.024033,162.850144,63.826,274.0,1280
normal_114,1,4,27795,90.421853,194.169684,103.748,267.9,1280
normal_116,2,4,10544,71.932542,110.824918,38.892,271.1,1280
normal_121,3,4,23756,111.776341,197.782430,86.006,276.2,1280
normal_127,0,4,21136,163.078491,240.131518,77.053,274.3,1280
normal_137,1,4,24537,194.458866,286.973378,92.515,265.2,1280
normal_142,2,4,19529,111.007788,183.430998,72.423,269.7,1280
normal_144,3,4,10386,197.999576,236.102451,38.103,272.6,1280
test_014,0,4,26522,240.406620,337.467816,97.061,273.3,1280
test_016,1,4,24486,287.256003,379.838747,92.583,264.5,1280
test_018,2,4,9790,183.622154,219.917412,36.295,269.7,1280
test_025,3,4,1940,236.203352,243.353912,7.151,271.3,1280
test_036,0,4,6460,337.699313,361.313652,23.614,273.6,1280
test_057,1,4,3335,380.038968,392.667055,12.628,264.1,1280
test_059,2,4,7313,220.033348,247.352479,27.319,267.7,1280
test_072,3,4,3382,243.399033,255.713751,12.315,274.6,1280
test_101,0,4,22368,361.469071,443.223548,81.754,273.6,1280
test_122,1,4,8413,392.733713,424.875513,32.142,261.7,1280
test_130,2,4,6085,247.442230,270.093690,22.651,268.6,1280
tumor_014,3,4,10213,255.787489,292.850933,37.063,275.6,1280
tumor_015,0,4,23537,443.488634,529.524854,86.036,273.6,1280
tumor_021,1,4,14783,424.983729,481.485623,56.502,261.6,1280
tumor_022,2,4,8436,270.172188,301.561551,31.389,268.8,1280
tumor_040,3,4,13020,292.988100,340.696337,47.708,272.9,1280
tumor_045,0,4,8534,529.733548,561.004818,31.271,272.9,1280
tumor_059,1,4,3325,481.615873,494.146995,12.531,265.3,1280
tumor_070,2,4,6281,301.655740,325.207932,23.552,266.7,1280
tumor_072,3,4,20837,340.901254,416.521059,75.620,275.5,1280
tumor_079,0,4,16616,561.162947,622.328193,61.165,271.7,1280
tumor_086,1,4,26173,494.295761,593.119252,98.823,264.8,1280
tumor_090,2,4,27997,325.403823,429.443757,104.040,269.1,1280
tumor_092,3,4,36105,416.851045,547.810967,130.960,275.7,1280
tumor_101,0,4,12176,622.512352,666.594102,44.082,276.2,1280
tumor_103,1,4,14517,593.377236,648.195681,54.818,264.8,1280
