step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.106393,1.647173,1540.780,24.491,1516.158,256,normal_004,4
1,ramp,1.659672,2.743403,1083.731,1.769,1081.867,256,normal_004,4
2,ramp,2.754968,3.840072,1085.104,1.751,1083.272,256,normal_004,4
3,ramp,3.851334,4.939250,1087.916,1.760,1086.082,256,normal_004,4
4,ramp,4.951038,6.030655,1079.618,1.757,1077.792,256,normal_004,4
5,ramp,6.038379,6.872221,833.842,1.128,832.651,166,normal_004,4
6,ramp,6.915026,7.997029,1082.003,1.805,1080.112,256,normal_017,4
7,ramp,8.002435,8.543861,541.426,0.485,540.877,105,normal_017,4
8,ramp,8.628865,9.711496,1082.630,1.797,1080.739,256,normal_050,4
9,ramp,9.723575,10.811633,1088.057,1.759,1086.237,256,normal_050,4
10,steady,10.822848,11.912952,1090.104,1.757,1088.285,256,normal_050,4
11,steady,11.924246,13.013932,1089.686,1.751,1087.874,256,normal_050,4
12,steady,13.025099,14.115805,1090.706,1.755,1088.867,256,normal_050,4
13,steady,14.127091,15.219471,1092.380,1.763,1090.551,256,normal_050,4
14,steady,15.230822,16.325346,1094.524,1.755,1092.709,256,normal_050,4
15,steady,16.336684,17.425389,1088.705,1.751,1086.885,256,normal_050,4
16,steady,17.436785,18.525865,1089.081,1.763,1087.234,256,normal_050,4
17,steady,18.539180,19.628885,1089.705,1.775,1087.854,256,normal_050,4
18,steady,19.640327,20.732747,1092.419,1.746,1090.615,256,normal_050,4
19,steady,20.744152,21.837379,1093.227,1.758,1091.407,256,normal_050,4
20,steady,21.848923,22.942593,1093.670,1.747,1091.864,256,normal_050,4
21,steady,22.954055,24.049570,1095.515,1.757,1093.700,256,normal_050,4
22,steady,24.060863,25.157644,1096.780,1.745,1094.975,256,normal_050,4
23,steady,25.169194,26.265179,1095.984,1.751,1094.175,256,normal_050,4
24,steady,26.276599,27.375793,1099.194,1.748,1097.387,256,normal_050,4
25,steady,27.387474,28.487508,1100.034,1.757,1098.216,256,normal_050,4
26,steady,28.499164,29.602660,1103.496,1.766,1101.655,256,normal_050,4
27,steady,29.614125,30.718337,1104.212,1.758,1102.390,256,normal_050,4
28,steady,30.731344,31.836140,1104.796,1.765,1102.964,256,normal_050,4
29,steady,31.847582,32.952598,1105.016,1.751,1103.200,256,normal_050,4
30,steady,32.963960,34.072074,1108.114,1.756,1106.299,256,normal_050,4
31,steady,34.083501,35.193041,1109.540,1.759,1107.719,256,normal_050,4
32,steady,35.204512,36.313706,1109.194,1.752,1107.378,256,normal_050,4
33,steady,36.325356,37.435737,1110.380,1.760,1108.553,256,normal_050,4
34,steady,37.446816,38.558264,1111.448,1.763,1109.622,256,normal_050,4
35,steady,38.571794,39.687549,1115.755,1.753,1113.941,256,normal_050,4
36,steady,39.698983,40.817166,1118.182,1.751,1116.371,256,normal_050,4
37,steady,40.828635,41.948065,1119.430,1.756,1117.612,256,normal_050,4
38,steady,41.959311,43.083070,1123.760,1.755,1121.942,256,normal_050,4
39,steady,43.094761,44.217727,1122.965,1.763,1121.139,256,normal_050,4
40,steady,44.229156,45.352579,1123.423,1.761,1121.602,256,normal_050,4
41,steady,45.364708,46.491814,1127.106,1.757,1125.288,256,normal_050,4
