slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
normal_004,0,4,1446,0.035156,6.872400,6.837,211.5,1536
normal_013,1,4,1606,0.035760,7.493976,7.458,215.3,1536
normal_014,2,4,2244,0.042434,10.320776,10.278,218.3,1536
normal_016,3,4,590,0.033522,3.108264,3.075,191.9,1536
normal_017,0,4,361,6.903564,8.544004,1.640,220.1,1536
normal_023,1,4,951,7.526021,11.788347,4.262,223.1,1536
normal_045,2,4,388,10.360418,12.107589,1.747,222.1,1536
normal_048,3,4,2677,3.142526,14.458626,11.316,236.6,1536
normal_050,0,4,9638,8.609128,50.704648,42.096,229.0,1536
normal_053,1,4,12937,11.878535,69.312260,57.434,225.3,1536
normal_058,2,4,5475,12.147047,36.134997,23.988,228.2,1536
normal_072,3,4,7944,14.531156,48.239202,33.708,235.7,1536
normal_080,0,4,16112,50.868073,120.965526,70.097,229.9,1536
normal_082,1,4,9497,69.461630,110.846944,41.385,229.5,1536
normal_103,2,4,11610,36.241472,87.358988,51.118,227.1,1536
normal_112,3,4,20049,48.409051,133.844131,85.435,234.7,1536
normal_113,0,4,17490,121.176771,197.219795,76.043,230.0,1536
normal_114,1,4,27795,111.078786,234.835377,123.757,224.6,1536
normal_116,2,4,10544,87.507946,133.529184,46.021,229.1,1536
normal_121,3,4,23756,134.120631,237.236585,103.116,230.4,1536
normal_127,0,4,21136,197.467485,290.767215,93.300,226.5,1536
normal_137,1,4,24537,235.159368,345.685087,110.526,222.0,1536
normal_142,2,4,19529,133.719937,220.510373,86.790,225.0,1536
normal_144,3,4,10386,237.495540,282.809655,45.314,229.2,1536
test_014,0,4,26522,291.063754,407.227643,116.164,228.3,1536
test_016,1,4,24486,345.990988,456.160738,110.170,222.3,1536
test_018,2,4,9790,220.717524,264.192360,43.475,225.2,1536
test_025,3,4,1940,282.936959,291.550749,8.614,225.2,1536
test_036,0,4,6460,407.483856,436.092520,28.609,225.8,1536
test_057,1,4,3335,456.391346,471.557890,15.167,219.9,1536
test_059,2,4,7313,264.323348,297.218619,32.895,222.3,1536
test_072,3,4,3382,291.593241,306.555633,14.962,226.0,1536
test_101,0,4,22368,436.259492,534.392682,98.133,227.9,1536
test_122,1,4,8413,471.631373,510.395951,38.765,217.0,1536
test_130,2,4,6085,297.323855,324.585818,27.262,223.2,1536
tumor_014,3,4,10213,306.639646,351.106598,44.467,229.7,1536
tumor_015,0,4,23537,534.670432,635.842862,101.172,232.6,1536
tumor_021,1,4,14783,510.534302,575.058863,64.525,229.1,1536
tumor_022,2,4,8436,324.688185,362.188160,37.500,225.0,1536
tumor_040,3,4,13020,351.248495,407.840282,56.592,230.1,1536
tumor_045,0,4,8534,636.085568,673.374031,37.288,228.9,1536
tumor_059,1,4,3325,575.215718,589.761653,14.546,228.6,1536
tumor_070,2,4,6281,362.299891,390.291378,27.991,224.4,1536
tumor_072,3,4,20837,408.031614,499.272957,91.241,228.4,1536
tumor_079,0,4,16616,673.531718,745.619842,72.088,230.5,1536
tumor_086,1,4,26173,589.917114,706.035551,116.118,225.4,1536
tumor_090,2,4,27997,390.484286,515.798657,125.314,223.4,1536
tumor_092,3,4,36105,499.612656,654.523646,154.911,233.1,1536
tumor_101,0,4,12176,745.816402,797.659324,51.843,234.9,1536
tumor_103,1,4,14517,706.308601,769.814017,63.505,228.6,1536
