step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.109972,1.448630,1338.658,23.251,1315.285,256,normal_004,4
1,ramp,1.462512,2.334070,871.558,1.785,869.666,256,normal_004,4
2,ramp,2.346993,3.214662,867.669,1.764,865.797,256,normal_004,4
3,ramp,3.226335,4.095094,868.759,1.790,866.859,256,normal_004,4
4,ramp,4.106760,4.977452,870.692,1.801,868.789,256,normal_004,4
5,ramp,4.985334,5.676957,691.622,1.135,690.407,166,normal_004,4
6,ramp,5.720424,6.592826,872.402,1.800,870.490,256,normal_017,4
7,ramp,6.598249,7.055249,457.000,0.477,456.432,105,normal_017,4
8,ramp,7.142718,8.015720,873.002,1.805,871.097,256,normal_050,4
9,ramp,8.027430,8.903385,875.954,1.780,874.072,256,normal_050,4
10,steady,8.914871,9.791625,876.754,1.789,874.864,256,normal_050,4
11,steady,9.803262,10.680608,877.346,1.789,875.458,256,normal_050,4
12,steady,10.692248,11.566641,874.393,1.786,872.517,256,normal_050,4
13,steady,11.578838,12.452496,873.658,1.776,871.784,256,normal_050,4
14,steady,12.464210,13.339849,875.640,1.787,873.753,256,normal_050,4
15,steady,13.351417,14.228058,876.641,1.788,874.759,256,normal_050,4
16,steady,14.239732,15.117682,877.949,1.786,876.071,256,normal_050,4
17,steady,15.129677,16.008577,878.900,1.782,877.022,256,normal_050,4
18,steady,16.020481,16.897971,877.489,1.784,875.606,256,normal_050,4
19,steady,16.909641,17.788632,878.991,1.775,877.117,256,normal_050,4
20,steady,17.800763,18.680576,879.813,1.792,877.928,256,normal_050,4
21,steady,18.692442,19.572798,880.355,1.783,878.475,256,normal_050,4
22,steady,19.584748,20.466242,881.493,1.779,879.613,256,normal_050,4
23,steady,20.478460,21.361409,882.949,1.787,881.070,256,normal_050,4
24,steady,21.373133,22.255730,882.596,1.775,880.730,256,normal_050,4
25,steady,22.267922,23.153110,885.187,1.787,883.309,256,normal_050,4
26,steady,23.165164,24.052397,887.232,1.787,885.356,256,normal_050,4
27,steady,24.064405,24.950828,886.424,1.783,884.548,256,normal_050,4
28,steady,24.964750,25.852289,887.539,1.793,885.655,256,normal_050,4
29,steady,25.864058,26.753013,888.955,1.783,887.074,256,normal_050,4
30,steady,26.764923,27.654194,889.270,1.783,887.388,256,normal_050,4
31,steady,27.666074,28.557573,891.499,1.775,889.631,256,normal_050,4
32,steady,28.570236,29.461933,891.697,1.773,889.824,256,normal_050,4
33,steady,29.473568,30.365310,891.742,1.778,889.867,256,normal_050,4
34,steady,30.378649,31.267545,888.896,1.791,887.007,256,normal_050,4
35,steady,31.279091,32.173112,894.022,1.783,892.147,256,normal_050,4
36,steady,32.184698,33.083079,898.381,1.778,896.516,256,normal_050,4
37,steady,33.094650,33.994962,900.312,1.767,898.455,256,normal_050,4
38,steady,34.006736,34.907283,900.547,1.772,898.683,256,normal_050,4
39,steady,34.918997,35.819273,900.276,1.781,898.402,256,normal_050,4
40,steady,35.831055,36.732557,901.502,1.784,899.613,256,normal_050,4
41,steady,36.744457,37.647197,902.740,1.769,900.873,256,normal_050,4
42,steady,37.658871,38.560594,901.724,1.788,899.835,256,normal_050,4
43,steady,38.573300,39.477085,903.785,1.768,901.917,256,normal_050,4
44,steady,39.490984,40.396287,905.303,1.785,903.415,256,normal_050,4
45,steady,40.404468,40.992917,588.449,1.140,587.235,166,normal_050,4
46,steady,41.190428,42.092570,902.142,1.801,900.234,256,normal_080,4
47,steady,42.104872,43.011735,906.863,1.779,904.982,256,normal_080,4
48,steady,43.024213,43.932959,908.746,1.776,906.870,256,normal_080,4
49,steady,43.944864,44.854712,909.849,1.772,907.979,256,normal_080,4
50,steady,44.866193,45.776458,910.265,1.769,908.397,256,normal_080,4
51,steady,45.788320,46.698951,910.631,1.766,908.766,256,normal_080,4
52,steady,46.710538,47.622187,911.650,1.770,909.783,256,normal_080,4
53,steady,47.633733,48.549242,915.509,1.763,913.649,256,normal_080,4
54,steady,48.560937,49.477143,916.206,1.770,914.341,256,normal_080,4
55,steady,49.488832,50.405229,916.397,1.774,914.524,256,normal_080,4
56,steady,50.417428,51.335499,918.072,1.766,916.205,256,normal_080,4
57,steady,51.347108,52.273927,926.819,1.788,924.932,256,normal_080,4
58,steady,52.285457,53.213646,928.188,1.772,926.318,256,normal_080,4
59,steady,53.225363,54.176240,950.877,1.770,949.010,256,normal_080,4
60,steady,54.188095,55.116347,928.253,1.774,926.384,256,normal_080,4
61,steady,55.128307,56.076314,948.007,1.776,946.138,256,normal_080,4
62,steady,56.088063,57.035906,947.842,1.775,945.972,256,normal_080,4
63,steady,57.047661,57.994306,946.645,1.778,944.770,256,normal_080,4
64,steady,58.006037,58.955546,949.508,1.769,947.640,256,normal_080,4
65,steady,58.968140,59.914973,946.833,1.778,944.958,256,normal_080,4
66,steady,59.927055,60.873303,946.247,1.772,944.376,256,normal_080,4
67,steady,60.885290,61.834430,949.139,1.760,947.288,256,normal_080,4
68,steady,61.846035,62.776377,930.342,1.768,928.480,256,normal_080,4
69,steady,62.788596,63.727846,939.251,1.775,937.375,256,normal_080,4
70,steady,63.740432,64.660368,919.936,1.778,918.056,256,normal_080,4
71,steady,64.672817,65.589372,916.555,1.775,914.682,256,normal_080,4
72,steady,65.601501,66.513943,912.443,1.764,910.578,256,normal_080,4
73,steady,66.526020,67.441846,915.827,1.771,913.956,256,normal_080,4
74,steady,67.453618,68.368775,915.157,1.762,913.294,256,normal_080,4
75,steady,68.380694,69.287750,907.056,1.779,905.180,256,normal_080,4
76,steady,69.299815,70.206351,906.535,1.774,904.665,256,normal_080,4
77,steady,70.218404,71.125007,906.603,1.781,904.724,256,normal_080,4
78,steady,71.136828,72.041120,904.292,1.809,902.389,256,normal_080,4
79,steady,72.053404,72.959831,906.427,1.776,904.553,256,normal_080,4
80,steady,72.971956,73.871597,899.641,1.778,897.764,256,normal_080,4
81,steady,73.883402,74.783859,900.457,1.779,898.585,256,normal_080,4
82,steady,74.795658,75.693019,897.361,1.771,895.492,256,normal_080,4
83,steady,75.704896,76.602571,897.674,1.777,895.797,256,normal_080,4
84,steady,76.614434,77.509694,895.260,1.768,893.394,256,normal_080,4
