slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
normal_004,0,4,1446,0.032380,5.677146,5.645,256.2,1536
normal_013,1,4,1606,0.032955,6.207630,6.175,260.1,1536
normal_014,2,4,2244,0.039440,8.442642,8.403,267.0,1536
normal_016,3,4,590,0.031537,2.635770,2.604,226.6,1536
normal_017,0,4,361,5.708495,7.055445,1.347,268.0,1536
normal_023,1,4,951,6.238566,9.703116,3.465,274.5,1536
normal_045,2,4,388,8.482030,9.923797,1.442,269.1,1536
normal_048,3,4,2677,2.671439,11.878387,9.207,290.8,1536
normal_050,0,4,9638,7.120902,40.993156,33.872,284.5,1536
normal_053,1,4,12937,9.794241,56.000517,46.206,280.0,1536
normal_058,2,4,5475,9.964629,29.195358,19.231,284.7,1536
normal_072,3,4,7944,11.956244,39.295453,27.339,290.6,1536
normal_080,0,4,16112,41.164437,99.239978,58.076,277.4,1536
normal_082,1,4,9497,56.150858,90.677399,34.527,275.1,1536
normal_103,2,4,11610,29.304416,70.680245,41.376,280.6,1536
normal_112,3,4,20049,39.460700,109.058814,69.598,288.1,1536
normal_113,0,4,17490,99.453487,161.049926,61.596,283.9,1536
normal_114,1,4,27795,90.905794,190.822060,99.916,278.2,1536
normal_116,2,4,10544,70.821613,108.263400,37.442,281.6,1536
normal_121,3,4,23756,109.324988,192.269341,82.944,286.4,1536
normal_127,0,4,21136,161.303017,237.783030,76.480,276.4,1536
normal_137,1,4,24537,191.146426,283.878834,92.732,264.6,1536
normal_142,2,4,19529,108.449676,178.081627,69.632,280.5,1536
normal_144,3,4,10386,192.514625,230.009089,37.494,277.0,1536
test_014,0,4,26522,238.087062,334.015665,95.929,276.5,1536
test_016,1,4,24486,284.181889,375.447920,91.266,268.3,1536
test_018,2,4,9790,178.284763,214.130650,35.846,273.1,1536
test_025,3,4,1940,230.129064,237.195243,7.066,274.5,1536
test_036,0,4,6460,334.283115,357.413030,23.130,279.3,1536
test_057,1,4,3335,375.676742,388.508101,12.831,259.9,1536
test_059,2,4,7313,214.263141,241.132338,26.869,272.2,1536
test_072,3,4,3382,237.240841,249.371867,12.131,278.8,1536
test_101,0,4,22368,357.582623,438.576757,80.994,276.2,1536
test_122,1,4,8413,388.582379,420.465444,31.883,263.9,1536
test_130,2,4,6085,241.239254,263.586889,22.348,272.3,1536
tumor_014,3,4,10213,249.452976,286.395146,36.942,276.5,1536
tumor_015,0,4,23537,438.856260,523.715431,84.859,277.4,1536
tumor_021,1,4,14783,420.608950,476.765105,56.156,263.2,1536
tumor_022,2,4,8436,263.687530,295.112341,31.425,268.5,1536
tumor_040,3,4,13020,286.541716,333.102911,46.561,279.6,1536
tumor_045,0,4,8534,523.947104,554.102391,30.155,283.0,1536
tumor_059,1,4,3325,476.913766,489.585644,12.672,262.4,1536
tumor_070,2,4,6281,295.221817,318.148639,22.927,274.0,1536
tumor_072,3,4,20837,333.301974,408.069449,74.767,278.7,1536
tumor_079,0,4,16616,554.263000,613.999796,59.737,278.2,1536
tumor_086,1,4,26173,489.744338,584.932926,95.189,275.0,1536
tumor_090,2,4,27997,318.345451,420.693596,102.348,273.5,1536
tumor_092,3,4,36105,408.411571,536.980809,128.569,280.8,1536
tumor_101,0,4,12176,614.198967,658.783888,44.585,273.1,1536
tumor_103,1,4,14517,585.224459,640.622959,55.398,262.0,1536
