step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.151357,1.484526,1333.169,15.673,1317.370,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
1,ramp,1.497882,2.374385,876.503,1.764,874.653,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
2,ramp,2.386234,3.263303,877.069,1.755,875.241,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
3,ramp,3.275211,4.152293,877.083,1.757,875.255,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
4,ramp,4.165936,5.042977,877.040,1.767,875.211,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
5,ramp,5.054210,5.933745,879.535,1.751,877.722,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
6,ramp,5.946283,6.823672,877.390,1.760,875.561,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
7,ramp,6.834894,7.714065,879.171,1.754,877.357,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
8,ramp,7.725514,8.605183,879.668,1.753,877.859,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
9,ramp,8.616848,9.499003,882.155,1.755,880.346,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
10,steady,9.510419,10.393454,883.035,1.757,881.219,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
11,steady,10.406729,11.288003,881.274,1.758,879.457,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
12,steady,11.299472,12.179842,880.371,1.750,878.567,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
13,steady,12.191444,13.074349,882.905,1.757,881.091,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
14,steady,13.085877,13.968592,882.715,1.746,880.907,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
15,steady,13.980008,14.862067,882.059,1.758,880.240,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
16,steady,14.873378,15.755609,882.231,1.747,880.425,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
17,steady,15.767569,16.652124,884.555,1.790,882.681,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
18,steady,16.666283,17.551945,885.662,1.755,883.851,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
19,steady,17.563503,18.447407,883.904,1.762,882.086,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
20,steady,18.459238,19.343491,884.253,1.755,882.441,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
21,steady,19.355487,20.239731,884.244,1.750,882.441,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
22,steady,20.251212,21.136506,885.294,1.753,883.491,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
23,steady,21.148019,22.032835,884.816,1.748,883.014,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
24,steady,22.044388,22.929843,885.454,1.757,883.642,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
25,steady,22.941383,23.825713,884.331,1.743,882.539,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
26,steady,23.837200,24.722639,885.439,1.747,883.643,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
27,steady,24.734004,25.620066,886.063,1.749,884.251,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
28,steady,25.631440,26.516476,885.036,1.752,883.230,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
29,steady,26.528029,27.415205,887.177,1.753,885.370,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
30,steady,27.426499,28.314814,888.315,1.756,886.504,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
