step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.804115,2.131600,1327.485,18.136,1309.252,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
1,ramp,2.143053,3.022440,879.387,1.765,877.541,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
2,ramp,3.033462,3.912945,879.483,1.764,877.649,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
3,ramp,3.924683,4.804418,879.735,1.751,877.926,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
4,ramp,4.816021,5.697101,881.080,1.750,879.272,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
5,ramp,5.708453,6.590295,881.842,1.752,880.031,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
6,ramp,6.602257,7.483945,881.687,1.755,879.874,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
7,ramp,7.495503,8.378889,883.386,1.755,881.573,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
8,ramp,8.391692,9.274058,882.365,1.757,880.545,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
9,ramp,9.285502,10.168602,883.100,1.754,881.282,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
10,steady,10.179353,11.063171,883.817,1.748,882.016,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
11,steady,11.077147,11.960792,883.645,1.748,881.841,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
12,steady,11.971577,12.855514,883.937,1.758,882.124,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
13,steady,12.866136,13.750893,884.757,1.750,882.955,256,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4
