step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.146985,1.674031,1527.045,16.881,1510.061,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
1,ramp,1.687181,2.772398,1085.217,1.763,1083.368,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
2,ramp,2.784905,3.868968,1084.063,1.775,1082.196,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
3,ramp,3.881506,4.967266,1085.760,1.775,1083.903,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
4,ramp,4.979772,6.068766,1088.993,1.760,1087.153,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
5,ramp,6.080163,7.169035,1088.873,1.758,1087.039,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
6,ramp,7.180551,8.269971,1089.420,1.758,1087.590,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
7,ramp,8.281528,9.371101,1089.572,1.756,1087.745,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
8,ramp,9.382920,10.474346,1091.427,1.756,1089.605,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
9,ramp,10.486161,11.579256,1093.095,1.758,1091.275,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
10,steady,11.590770,12.685629,1094.859,1.758,1093.034,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
