slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,0,4,14193,1.007116,51.472959,50.466,281.2,1280
TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C,1,4,20438,1.245436,74.383255,73.138,279.4,1280
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,2,4,22521,1.148555,82.768957,81.620,275.9,1280
TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D,3,4,17930,1.108005,64.502108,63.394,282.8,1280
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,0,4,13701,52.537866,101.829323,49.291,278.0,1280
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,0,4,9711,0.756667,35.434541,34.678,280.0,1280
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861,1,4,3359,0.479437,12.845242,12.366,271.6,1280
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,2,4,3847,0.891111,15.030078,14.139,272.1,1280
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,3,4,23415,1.263235,84.751889,83.489,280.5,1280
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,0,4,7320,36.605947,62.762848,26.157,279.8,1280
