slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,0,4,14193,0.082279,71.153636,71.071,199.7,1280
TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C,1,4,20438,0.132726,103.756508,103.624,197.2,1280
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,2,4,22521,0.146362,113.154294,113.008,199.3,1280
TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D,3,4,17930,0.120378,91.109584,90.989,197.1,1280
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,0,4,13701,71.335198,139.913542,68.578,199.8,1280
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,1,4,9711,103.936854,143.771730,39.835,243.8,1280
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861,2,4,3359,113.327445,127.161858,13.834,242.8,1280
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,3,4,3847,91.247390,106.841508,15.594,246.7,1280
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,0,4,23415,140.133559,235.205712,95.072,246.3,1280
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,1,4,7320,143.876039,173.763209,29.887,244.9,1280
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F,2,4,8888,127.255032,163.744260,36.489,243.6,1280
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A,3,4,18901,106.987402,183.231507,76.244,247.9,1280
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,0,4,9719,235.420112,274.497541,39.077,248.7,1280
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1,4,9373,173.961052,212.917609,38.957,240.6,1280
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432,2,4,13919,163.875767,221.127661,57.252,243.1,1280
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51,3,4,7570,183.402863,214.256676,30.854,245.4,1280
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297,0,4,19539,274.665892,354.067439,79.402,246.1,1280
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78,1,4,11002,213.038746,257.922359,44.884,245.1,1280
TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540,2,4,8766,221.274892,257.014726,35.740,245.3,1280
TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0,3,4,23239,214.426208,307.852117,93.426,248.7,1280
TCGA-A1-A0SQ-01Z-00-DX1.36071264-3407-4224-BCBB-2ED00294569A,0,4,24416,354.322536,452.387514,98.065,249.0,1280
TCGA-A2-A04N-01Z-00-DX1.9E9B7DB0-1CF1-4631-8292-A9DBCA0BD37C,1,4,10214,258.050898,299.962847,41.912,243.7,1280
TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71,2,4,12227,257.136701,307.082158,49.945,244.8,1280
TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4,3,4,3486,308.021892,322.220685,14.199,245.5,1280
