slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,0,4,14193,0.185792,70.098777,69.913,203.0,1536
TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C,1,4,20438,0.249746,100.880033,100.630,203.1,1536
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,2,4,22521,0.268604,111.410513,111.142,202.6,1536
TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D,3,4,17930,0.228570,87.064640,86.836,206.5,1536
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,0,4,13701,70.378382,137.426316,67.048,204.3,1536
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,1,4,9711,101.152618,140.868234,39.716,244.5,1536
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861,2,4,3359,111.630029,125.051665,13.422,250.3,1536
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,3,4,3847,87.254078,102.274507,15.020,256.1,1536
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,0,4,23415,137.812877,234.701421,96.889,241.7,1536
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,1,4,7320,141.041522,171.444852,30.403,240.8,1536
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F,2,4,8888,125.188478,161.135135,35.947,247.3,1536
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A,3,4,18901,102.493967,179.431681,76.938,245.7,1536
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,0,4,9719,234.984736,273.419721,38.435,252.9,1536
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1,4,9373,171.596034,213.429932,41.834,224.1,1536
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432,2,4,13919,161.338766,220.490540,59.152,235.3,1536
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51,3,4,7570,179.677015,210.242051,30.565,247.7,1536
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297,0,4,19539,273.675803,353.914252,80.238,243.5,1536
