step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.254651,1.788426,1533.775,10.991,1522.652,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
1,ramp,1.801110,2.882803,1081.693,1.765,1079.825,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
2,ramp,2.894270,3.978563,1084.294,1.756,1082.438,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
3,ramp,3.990415,5.075220,1084.805,1.766,1082.938,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
4,ramp,5.086722,6.173386,1086.664,1.759,1084.807,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
5,ramp,6.184987,7.271821,1086.834,1.764,1084.973,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
6,ramp,7.283263,8.370243,1086.980,1.763,1085.113,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
7,ramp,8.381822,9.469561,1087.739,1.780,1085.853,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
8,ramp,9.481133,10.564834,1083.701,1.762,1081.843,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
9,ramp,10.576205,11.661012,1084.807,1.767,1082.938,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
10,steady,11.673797,12.762201,1088.405,1.769,1086.533,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
11,steady,12.773523,13.861719,1088.196,1.782,1086.312,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
12,steady,13.873256,14.961447,1088.191,1.766,1086.314,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
13,steady,14.972910,16.061975,1089.065,1.766,1087.210,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
14,steady,16.073647,17.164313,1090.665,1.758,1088.821,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
15,steady,17.175537,18.267131,1091.595,1.758,1089.754,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
16,steady,18.278540,19.367502,1088.962,1.761,1087.114,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
17,steady,19.378822,20.469024,1090.202,1.763,1088.351,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
18,steady,20.480835,21.572284,1091.449,1.763,1089.591,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
19,steady,21.583822,22.674436,1090.614,1.774,1088.745,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
20,steady,22.686101,23.777554,1091.452,1.766,1089.595,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
21,steady,23.789106,24.880846,1091.741,1.762,1089.888,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
22,steady,24.892607,25.985435,1092.829,1.754,1090.991,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
23,steady,25.997592,27.090610,1093.018,1.767,1091.155,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
24,steady,27.102419,28.195092,1092.672,1.769,1090.810,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
25,steady,28.206681,29.298072,1091.391,1.766,1089.535,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
26,steady,29.310463,30.397689,1087.226,1.766,1085.369,256,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,4
