slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,0,4,17012,0.116722,72.524742,72.408,234.9,1536
TCGA-E2-A152-01Z-00-DX1.B0860DEB-D34B-4C5D-97F5-C1C646437424,1,4,20708,0.154849,90.697107,90.542,228.7,1536
TCGA-E2-A153-01Z-00-DX1.CA994467-E541-4131-A9FC-DCD9944F29C4,2,4,9107,0.068208,39.810855,39.743,229.1,1536
TCGA-E2-A154-01Z-00-DX1.01FC9B1A-8ECD-4467-9EDD-0B02E4AEEF72,3,4,12588,0.099410,53.371328,53.272,236.3,1536
TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,0,4,14281,72.750607,133.690989,60.940,234.3,1536
TCGA-E2-A156-01Z-00-DX1.CEF32B4D-A676-4230-992D-45A046E4043A,1,4,11385,90.930497,140.514074,49.584,229.6,1536
TCGA-E2-A158-01Z-00-DX1.994C60FE-E651-4224-95E7-4669834F2338,2,4,4627,39.921733,60.012578,20.091,230.3,1536
TCGA-E2-A159-01Z-00-DX1.C8DC3356-CAE9-4E7A-AEFF-ABB4BE38192B,3,4,13558,53.564430,111.261221,57.697,235.0,1536
TCGA-E2-A15A-01Z-00-DX1.B9D22735-FE9F-46D9-84E6-0C71A1BF84D6,0,4,20549,133.917327,223.359313,89.442,229.7,1536
TCGA-E2-A15C-01Z-00-DX1.26E13415-1D37-43C7-9EBB-4411BE7FCE10,1,4,14939,140.693225,208.204404,67.511,221.3,1536
TCGA-E2-A15D-01Z-00-DX1.AA5AF847-3635-4BAF-AAC3-BADB4A1B2CB1,2,4,10599,60.125029,106.868316,46.743,226.7,1536
TCGA-E2-A15E-06Z-00-DX1.D394A007-91A2-4445-9B4A-1629EE684A51,3,4,16165,111.451149,181.024496,69.573,232.3,1536
TCGA-E2-A15F-01Z-00-DX1.F022214A-3F0C-4DA4-A0EE-735D27480A45,0,4,6131,223.560172,250.603895,27.044,226.7,1536
TCGA-E2-A15G-01Z-00-DX1.BAA5235E-1022-463B-A852-586ED7CA75FF,1,4,13858,208.396044,271.481899,63.086,219.7,1536
TCGA-E2-A15H-01Z-00-DX1.E3A9DFDC-204D-4F03-98D9-97BBBB74E840,2,4,11621,107.016691,158.418344,51.402,226.1,1536
TCGA-E2-A15I-01Z-00-DX1.DFF60A40-B03D-438F-A233-06132A213619,3,4,5012,181.182727,203.182458,22.000,227.8,1536
TCGA-E2-A15J-01Z-00-DX1.BF7901D1-30B1-4A76-B0A5-E9B8B36EF4C9,0,4,15013,250.730686,316.815972,66.085,227.2,1536
TCGA-E2-A15K-01Z-00-DX1.9F424BE2-9BFE-4DFF-8CC9-10D2DADBBEA7,1,4,5719,271.633071,297.588553,25.955,220.3,1536
TCGA-E2-A15L-01Z-00-DX1.626032DC-D396-48E7-B888-DFEBCF7102FF,2,4,15019,158.600330,225.758122,67.158,223.6,1536
TCGA-E2-A15M-01Z-00-DX1.6E4671E5-18EA-4464-BE7C-C94767136E5C,3,4,6296,203.266271,230.692748,27.426,229.6,1536
TCGA-E2-A15O-01Z-00-DX1.4D0F3975-93EA-4DC2-AD0C-A76A24C3AE0C,0,4,8366,316.984363,353.696826,36.712,227.9,1536
