step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.202806,1.514958,1312.153,10.181,1301.865,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
1,ramp,1.526822,2.379636,852.815,1.761,850.974,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
2,ramp,2.391250,3.245517,854.267,1.758,852.440,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
3,ramp,3.258727,4.113602,854.876,1.755,853.061,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
4,ramp,4.126953,4.981801,854.848,1.757,853.034,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
5,ramp,4.994093,5.850476,856.383,1.758,854.569,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
6,ramp,5.861989,6.719349,857.360,1.757,855.541,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
7,ramp,6.731094,7.587842,856.748,1.759,854.920,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
8,ramp,7.599566,8.459164,859.598,1.766,857.763,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
9,ramp,8.471499,9.330611,859.112,1.765,857.284,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
10,steady,9.342515,10.202079,859.565,1.754,857.750,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
11,steady,10.214324,11.075272,860.948,1.756,859.134,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
12,steady,11.087833,11.947979,860.146,1.754,858.331,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
13,steady,11.959503,12.819781,860.278,1.756,858.456,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
14,steady,12.831714,13.694757,863.043,1.762,861.216,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
15,steady,13.707061,14.567639,860.577,1.762,858.753,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
16,steady,14.579520,15.441297,861.777,1.760,859.952,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
17,steady,15.453243,16.316210,862.967,1.756,861.155,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
18,steady,16.328415,17.191737,863.322,1.747,861.519,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
19,steady,17.204053,18.068646,864.594,1.757,862.777,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
20,steady,18.080494,18.944416,863.922,1.757,862.105,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
21,steady,18.959784,19.824581,864.797,1.751,862.989,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
22,steady,19.836855,20.702027,865.173,1.756,863.362,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
23,steady,20.713969,21.580035,866.066,1.755,864.261,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
24,steady,21.592047,22.458679,866.631,1.756,864.825,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
25,steady,22.485996,23.352735,866.739,1.750,864.935,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
26,steady,23.364587,24.232398,867.811,1.786,865.933,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
27,steady,24.244602,25.113344,868.742,1.756,866.921,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
28,steady,25.125646,25.994879,869.233,1.754,867.418,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
29,steady,26.006697,26.876208,869.511,1.761,867.688,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
30,steady,26.888850,27.758684,869.835,1.757,868.017,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
31,steady,27.770981,28.641952,870.971,1.772,869.137,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
32,steady,28.653979,29.525500,871.520,1.750,869.708,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
33,steady,29.537678,30.409344,871.666,1.755,869.855,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
34,steady,30.421618,31.294609,872.991,1.760,871.176,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
35,steady,31.306532,32.179355,872.823,1.754,871.009,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
36,steady,32.191781,33.065413,873.632,1.758,871.813,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
37,steady,33.077633,33.950766,873.133,1.752,871.318,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
38,steady,33.962705,34.837395,874.689,1.756,872.875,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
39,steady,34.849552,35.719675,870.123,1.753,868.309,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
40,steady,35.733608,36.602094,868.486,1.749,866.685,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
41,steady,36.614173,37.482562,868.389,1.750,866.585,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
42,steady,37.494505,38.363009,868.504,1.753,866.695,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
43,steady,38.374542,39.243390,868.848,1.752,867.037,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
44,steady,39.255760,40.127041,871.281,1.752,869.475,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
45,steady,40.138884,41.009892,871.008,1.753,869.201,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
46,steady,41.023029,41.895218,872.189,1.751,870.379,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
47,steady,41.907248,42.779566,872.317,1.755,870.506,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
48,steady,42.791359,43.662420,871.061,1.759,869.243,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
49,steady,43.674684,44.547554,872.870,1.767,871.014,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
50,steady,44.559665,45.433929,874.265,1.777,872.407,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
51,steady,45.446067,46.319284,873.217,1.759,871.399,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
52,steady,46.330964,47.205724,874.760,1.755,872.942,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
53,steady,47.217939,48.093300,875.361,1.755,873.549,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
54,steady,48.105042,48.981305,876.263,1.755,874.453,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
55,steady,48.993054,49.870503,877.449,1.753,875.637,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
56,steady,49.883335,50.759623,876.287,1.750,874.474,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
57,steady,50.771518,51.642051,870.534,1.754,868.719,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
58,steady,51.654343,52.526018,871.675,1.762,869.848,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
59,steady,52.538898,53.411692,872.794,1.755,870.975,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
60,steady,53.423222,54.295845,872.624,1.757,870.808,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
61,steady,54.307944,55.181408,873.464,1.755,871.638,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
62,steady,55.193365,56.067773,874.408,1.752,872.602,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
63,steady,56.079420,56.954042,874.623,1.758,872.808,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
64,steady,56.965476,57.841384,875.908,1.749,874.103,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
65,steady,57.853071,58.729254,876.183,1.759,874.371,256,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
66,steady,58.737561,59.245089,507.527,0.567,506.913,116,TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,4
67,steady,59.497368,60.378011,880.643,1.798,878.768,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
68,steady,60.390964,61.272887,881.923,1.761,880.109,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
69,steady,61.284614,62.168733,884.119,1.758,882.307,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
70,steady,62.181575,63.065890,884.315,1.763,882.495,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
71,steady,63.077770,63.962620,884.850,1.753,883.041,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
72,steady,63.974188,64.858203,884.016,1.756,882.205,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
73,steady,64.869927,65.755095,885.168,1.747,883.367,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
74,steady,65.767057,66.650812,883.754,1.755,881.947,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
75,steady,66.662635,67.547888,885.253,1.759,883.437,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
76,steady,67.559594,68.444676,885.082,1.761,883.258,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
77,steady,68.456125,69.340817,884.693,1.754,882.887,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
78,steady,69.352240,70.237577,885.337,1.756,883.522,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
79,steady,70.250680,71.136506,885.826,1.757,884.008,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
80,steady,71.148919,72.032367,883.448,1.764,881.625,256,TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,4
