slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,0,4,10997,0.076441,38.596524,38.520,285.5,1536
TCGA-AR-A255-01Z-00-DX1.E67C081D-50C9-451C-814B-F097B2671300,1,4,2742,0.030783,10.084504,10.054,272.7,1536
TCGA-AR-A256-01Z-00-DX1.950D4546-4BF4-4380-9877-51D86A93D755,2,4,7455,0.057762,26.856495,26.799,278.2,1536
TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,3,4,5213,0.045342,18.929667,18.884,276.0,1536
TCGA-AR-A2LH-01Z-00-DX1.40D4FD67-FB13-46D9-A202-56A5791EA11C,0,4,18166,38.797338,102.616637,63.819,284.6,1536
TCGA-AR-A2LJ-01Z-00-DX1.9D6257FA-2767-4640-9252-9BE18BD9D158,1,4,14360,10.207210,60.827809,50.621,283.7,1536
TCGA-AR-A2LK-01Z-00-DX1.FBD59C38-CD4E-4C22-BC74-A57C192A9BBC,2,4,9610,26.982931,61.142588,34.160,281.3,1536
TCGA-AR-A2LL-01Z-00-DX1.F0AF890C-2B34-4758-A929-58AAFF593EC5,3,4,16928,19.079865,80.172286,61.092,277.1,1536
TCGA-AR-A2LM-01Z-00-DX1.CB64A062-2E35-41F9-97C7-07BB60754799,0,4,16211,102.842226,160.601181,57.759,280.7,1536
TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,1,4,13502,61.002072,109.106816,48.105,280.7,1536
TCGA-AR-A2LO-01Z-00-DX1.A8C81E1E-B224-4CF4-83D4-FFB2F51A7002,2,4,8640,61.268810,92.124742,30.856,280.0,1536
TCGA-AR-A2LQ-01Z-00-DX1.2F579E62-69A8-40F4-A516-542C7C808628,3,4,11350,80.355772,120.652566,40.297,281.7,1536
TCGA-AR-A2LR-01Z-00-DX1.C686A7D6-0361-49EE-B6CA-672B3086243C,0,4,19684,160.829133,231.537249,70.708,278.4,1536
TCGA-AR-A5QM-01Z-00-DX1.A9017CED-FF57-4090-95B9-94DC91854347,1,4,11551,109.277313,151.671269,42.394,272.5,1536
TCGA-AR-A5QN-01Z-00-DX1.BF92AA24-3D44-4FFA-BCC0-CDB934EC3BBC,2,4,10835,92.258416,131.002659,38.744,279.7,1536
TCGA-AR-A5QP-01Z-00-DX1.256FDB13-1F81-42DA-AF6E-8A94835550C1,3,4,11908,120.810164,164.020509,43.210,275.6,1536
TCGA-AR-A5QQ-01Z-00-DX1.4185D6D2-498E-4E71-8CB3-EDB4739C6229,0,4,18851,231.780757,299.758293,67.978,277.3,1536
TCGA-B6-A0I1-01Z-00-DX1.86BEC5E4-A2D1-4039-8D08-0598FA8BCC2B,1,4,16569,151.843072,214.025311,62.182,266.5,1536
TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,2,4,10086,131.149910,168.005879,36.856,273.7,1536
TCGA-B6-A0I5-01Z-00-DX1.47A30509-4BA0-4BA5-AD9B-F2C2DB701159,3,4,10137,164.173180,200.724582,36.551,277.3,1536
TCGA-B6-A0I6-01Z-00-DX1.D597D207-BEB2-4CE5-B315-FE7AD6E9C30B,0,4,21224,300.012728,377.721875,77.709,273.1,1536
TCGA-B6-A0I8-01Z-00-DX1.E576652B-C3F6-4A01-83BC-6DD154C75605,1,4,29007,214.306137,322.763394,108.457,267.5,1536
TCGA-B6-A0I9-01Z-00-DX1.78E1D43A-507E-482E-B988-AF13B12B4497,2,4,26239,168.241653,264.298163,96.057,273.2,1536
TCGA-B6-A0IA-01Z-00-DX1.8A868F0A-6CE2-46A7-AF0C-C5FC5D657D86,3,4,23452,200.926973,285.445663,84.519,277.5,1536
TCGA-B6-A0IB-01Z-00-DX1.BAA1D655-1B80-49E2-B1EB-2ECC83DED989,0,4,12646,377.962258,423.214582,45.252,279.5,1536
TCGA-B6-A0IC-01Z-00-DX1.60ED7BBF-A448-4E4E-80F9-91527A697588,1,4,14361,323.082126,377.680406,54.598,263.0,1536
TCGA-B6-A0IE-01Z-00-DX1.E6C4E5C0-338C-481D-B691-0385E8D090B1,2,4,20606,264.600206,339.590622,74.990,274.8,1536
TCGA-B6-A0IG-01Z-00-DX1.4238CB6E-0561-49FD-9C49-9B8AEAFC4618,3,4,22297,285.737583,366.167084,80.430,277.2,1536
TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,0,4,22889,423.436281,506.553469,83.117,275.4,1536
TCGA-B6-A0IJ-01Z-00-DX1.BF2E062F-06DA-4CA8-86C4-36674C035CAA,1,4,2489,377.834814,387.089742,9.255,268.9,1536
TCGA-B6-A0IK-01Z-00-DX1.1640DB44-4AC0-4A34-9E21-4673C4289A99,2,4,7931,339.815390,369.674404,29.859,265.6,1536
TCGA-B6-A0IM-01Z-00-DX1.E2CBD42F-D933-4446-BE7C-C2F8B5AFB976,3,4,31891,366.511882,481.132500,114.621,278.2,1536
TCGA-B6-A0IN-01Z-00-DX1.5C1CBEF7-0C4A-4B22-A85B-6F6FD9435573,0,4,30190,506.902015,615.501015,108.599,278.0,1536
TCGA-B6-A0IO-01Z-00-DX1.D8898C30-4016-4983-9359-5C1507C01715,1,4,10008,387.160775,423.949763,36.789,272.0,1536
TCGA-B6-A0IP-01Z-00-DX1.3723A250-AA4B-4AFE-A692-C1311E9BA268,2,4,14829,369.819398,423.781535,53.962,274.8,1536
