step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.113132,1.446713,1333.581,24.832,1308.661,256,TCGA-A8-A07P-01Z-00-DX1.2C7C75EF-EEE2-4A42-994C-A1A40850C87A,4
1,ramp,1.459706,2.337891,878.184,1.763,876.328,256,TCGA-A8-A07P-01Z-00-DX1.2C7C75EF-EEE2-4A42-994C-A1A40850C87A,4
2,ramp,2.350706,3.229861,879.156,1.783,877.273,256,TCGA-A8-A07P-01Z-00-DX1.2C7C75EF-EEE2-4A42-994C-A1A40850C87A,4
3,ramp,3.243024,4.123154,880.130,1.767,878.279,256,TCGA-A8-A07P-01Z-00-DX1.2C7C75EF-EEE2-4A42-994C-A1A40850C87A,4
4,ramp,4.136048,5.016211,880.163,1.778,878.300,256,TCGA-A8-A07P-01Z-00-DX1.2C7C75EF-EEE2-4A42-994C-A1A40850C87A,4
5,ramp,5.029794,5.910644,880.850,1.769,878.973,256,TCGA-A8-A07P-01Z-00-DX1.2C7C75EF-EEE2-4A42-994C-A1A40850C87A,4
6,ramp,5.915995,6.301237,385.242,0.386,384.775,89,TCGA-A8-A07P-01Z-00-DX1.2C7C75EF-EEE2-4A42-994C-A1A40850C87A,4
7,ramp,6.596105,7.475457,879.352,1.811,877.429,256,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6,4
8,ramp,7.487138,8.367976,880.838,1.792,878.948,256,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6,4
9,ramp,8.379434,9.260804,881.370,1.812,879.453,256,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6,4
10,steady,9.272363,10.153836,881.474,1.772,879.605,256,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6,4
11,steady,10.165584,11.047442,881.858,1.791,879.973,256,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6,4
12,steady,11.059622,11.942415,882.793,1.775,880.923,256,TCGA-A8-A07W-01Z-00-DX1.5970CF33-D675-4AF4-800F-7182AA1A44A6,4
