slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,0,4,25363,0.727361,91.145616,90.418,280.5,1280
TCGA-BH-A28O-01Z-00-DX1.B37603E3-BC80-4DDA-B44D-B5F794E3398E,1,4,17129,0.506953,61.820976,61.314,279.4,1280
TCGA-BH-A28Q-01Z-00-DX1.C6D1CA93-6B2A-4722-9270-5D56592D833D,2,4,23090,0.604257,84.113391,83.509,276.5,1280
TCGA-BH-A2L8-01Z-00-DX1.ACA51CA9-3C38-48A6-B4A9-C12FFAB9AB56,3,4,24132,0.576444,86.329439,85.753,281.4,1280
TCGA-BH-A42T-01Z-00-DX1.6E4609B9-BE7E-4CA9-A1C0-A77A7DEFBB2B,0,4,12736,91.710973,138.661845,46.951,271.3,1280
TCGA-BH-A42U-01Z-00-DX1.130D060A-3DD8-407E-B8B0-EBBF743491AE,1,4,19653,62.431078,135.566109,73.135,268.7,1280
TCGA-BH-A42V-01Z-00-DX1.B6D78256-05D1-45FA-826A-1B8554D60B7D,2,4,4583,84.412088,101.611524,17.199,266.5,1280
TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2,3,4,16723,87.038144,148.158119,61.120,273.6,1280
TCGA-BH-A5J0-01Z-00-DX1.73CFBC85-8449-48FF-86F8-D4D49A90498B,0,4,14605,139.230196,192.423460,53.193,274.6,1280
TCGA-C8-A12K-01Z-00-DX1.D71C7974-65F7-4EF0-8FFB-9F27CEC85242,1,4,10216,135.879755,174.193640,38.314,266.6,1280
TCGA-C8-A12L-01Z-00-DX1.01863BE4-F4AB-45DE-894A-46544777C519,2,4,11889,101.907278,146.688859,44.782,265.5,1280
TCGA-C8-A12M-01Z-00-DX1.0C5F2DED-873F-4C86-97A2-2AA76A6236DF,3,4,9561,148.463283,183.131659,34.668,275.8,1280
TCGA-C8-A12N-01Z-00-DX1.8E50110E-A6C0-496F-B44E-7190096C113E,0,4,7280,192.746284,219.753078,27.007,269.6,1280
TCGA-C8-A12O-01Z-00-DX1.A77E552B-7B69-45B7-B341-A03571F2A06C,1,4,7514,174.428105,202.598456,28.170,266.7,1280
TCGA-C8-A12P-01Z-00-DX1.670B5DE8-07B0-4E4C-93FA-FA3DFFCCE50D,2,4,6436,146.913897,170.947476,24.034,267.8,1280
TCGA-C8-A12Q-01Z-00-DX1.CE74E5B7-FD30-4CBE-8716-ECCF2213AAC3,3,4,10666,183.433876,222.658583,39.225,271.9,1280
TCGA-C8-A12T-01Z-00-DX1.EF628C26-C570-4D15-A0C0-58B2CC40ABFC,0,4,12701,220.064611,266.869885,46.805,271.4,1280
TCGA-C8-A12U-01Z-00-DX1.8E90FC9F-630E-4611-A5D2-D6F11DBE81EF,1,4,17457,203.016913,268.950733,65.934,264.8,1280
TCGA-C8-A12V-01Z-00-DX1.84B29360-B87B-4648-A697-B6610336C2BB,2,4,15426,171.298908,229.159850,57.861,266.6,1280
TCGA-C8-A12W-01Z-00-DX1.3727E7BB-831E-42DB-B5CB-F2D7C649290F,3,4,10397,223.020216,261.099739,38.080,273.0,1280
TCGA-C8-A12X-01Z-00-DX1.2967579D-40AE-4425-BE81-5109713C16B4,0,4,8621,267.170670,298.839057,31.668,272.2,1280
TCGA-C8-A12Y-01Z-00-DX1.A15CB3E2-E145-4C75-8FEA-1DD503CD7C20,1,4,10151,269.300580,307.328348,38.028,266.9,1280
TCGA-C8-A12Z-01Z-00-DX1.22616420-7C80-42DE-9C44-0F00327681C6,2,4,11845,229.488408,273.711024,44.223,267.8,1280
TCGA-C8-A130-01Z-00-DX1.F6810204-C35A-4461-A18A-0A117739B988,3,4,8172,261.368891,291.147365,29.778,274.4,1280
TCGA-C8-A131-01Z-00-DX1.5CB27A29-9951-40B9-B4DB-26A4D2EA89B8,0,4,8861,299.097555,331.866993,32.769,270.4,1280
