step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.426074,1.963965,1537.891,28.109,1509.668,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
1,ramp,1.981194,2.858740,877.546,1.785,875.666,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
2,ramp,2.873254,3.751004,877.751,1.767,875.925,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
3,ramp,3.763968,4.642255,878.287,1.756,876.484,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
4,ramp,4.655855,5.534710,878.854,1.763,877.038,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
5,ramp,5.547771,6.427569,879.798,1.749,877.995,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
6,ramp,6.440335,7.319356,879.021,1.755,877.215,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
7,ramp,7.332038,8.212181,880.142,1.754,878.337,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
8,ramp,8.225249,9.105729,880.480,1.757,878.671,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
9,ramp,9.118589,9.999486,880.897,1.758,879.085,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
10,steady,10.011938,10.893604,881.667,1.757,879.859,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
11,steady,10.906258,11.788734,882.476,1.752,880.674,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
12,steady,11.801583,12.684068,882.485,1.753,880.682,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
13,steady,12.696955,13.580128,883.173,1.753,881.369,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
14,steady,13.592659,14.476233,883.574,1.756,881.769,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
15,steady,14.488716,15.373036,884.320,1.749,882.520,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
16,steady,15.385618,16.270919,885.301,1.752,883.498,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
17,steady,16.283662,17.169398,885.735,1.744,883.942,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
18,steady,17.182443,18.066918,884.475,1.762,882.660,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
19,steady,18.079781,18.964373,884.592,1.752,882.782,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
20,steady,18.976875,19.860938,884.063,1.759,882.245,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
21,steady,19.873415,20.757109,883.694,1.750,881.891,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
22,steady,20.769483,21.653318,883.835,1.756,882.018,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
23,steady,21.665755,22.550281,884.526,1.747,882.721,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
24,steady,22.562667,23.447546,884.879,1.763,883.058,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
25,steady,23.461033,24.346393,885.361,1.747,883.556,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
26,steady,24.359416,25.244193,884.777,1.770,882.950,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
