chunk_idx,model,n_slides_in_chunk,t_chunk_start_s,t_convert_end_s,t_extract_end_s,t_cleanup_end_s,convert_wallclock_s,extract_wallclock_s,cleanup_wallclock_s,convert_status,extract_status,n_slides_converted_ok,n_slides_extracted_for_model
0,virchow2,200,1787197330.727540020,1787207442.088665626,1787209381.145277238,1787209381.145277238,10111.4,1939.03,0,OK,OK,200,200
0,gigapath,200,1787197330.727540020,1787207442.088665626,1787211682.575313251,1787211682.575313251,10111.4,2301.4,0,OK,OK,200,200
0,uni2-h,200,1787197330.727540020,1787207442.088665626,1787213582.095415067,1787213582.095415067,10111.4,1899.49,0,OK,OK,200,200
1,virchow2,200,1787213582.589806997,1787220643.394398074,1787221866.548149537,1787221866.548149537,7060.8,1223.14,0,OK,OK,200,400
1,gigapath,200,1787213582.589806997,1787220643.394398074,1787223321.854207221,1787223321.854207221,7060.8,1455.27,0,OK,OK,200,400
1,uni2-h,200,1787213582.589806997,1787220643.394398074,1787224523.805447787,1787224523.805447787,7060.8,1201.92,0,OK,OK,200,400
2,virchow2,200,1787224524.278414834,1787237644.055811920,1787240579.938576248,1787240579.938576248,13119.8,2935.87,0,OK,OK,200,600
2,gigapath,200,1787224524.278414834,1787237644.055811920,1787244072.047612891,1787244072.047612891,13119.8,3492.07,0,OK,OK,200,600
2,uni2-h,200,1787224524.278414834,1787237644.055811920,1787246963.323276750,1787246963.323276750,13119.8,2891.24,0,OK,OK,200,600
3,virchow2,200,1787246963.840353025,1787258258.602053727,1787260607.915808914,1787260607.915808914,11294.8,2349.3,0,OK,OK,200,800
3,gigapath,200,1787246963.840353025,1787258258.602053727,1787263402.697447278,1787263402.697447278,11294.8,2794.74,0,OK,OK,200,800
3,uni2-h,200,1787246963.840353025,1787258258.602053727,1787265698.159703843,1787265698.159703843,11294.8,2295.42,0,OK,OK,200,800
4,virchow2,200,1787265698.676614501,1787277657.926994494,1787280107.751602736,1787280107.751602736,11959.3,2449.81,0,OK,OK,200,1000
4,gigapath,200,1787265698.676614501,1787277657.926994494,1787283029.666823179,1787283029.666823179,11959.3,2921.87,0,OK,OK,200,1000
4,uni2-h,200,1787265698.676614501,1787277657.926994494,1787285445.223898766,1787285445.223898766,11959.3,2415.51,0,OK,OK,200,1000
5,virchow2,64,1787285445.767633436,1787288973.587314644,1787289758.019559517,1787289758.019559517,3527.82,784.421,0,OK,OK,64,1064
5,gigapath,64,1787285445.767633436,1787288973.587314644,1787290687.551194295,1787290687.551194295,3527.82,929.493,0,OK,OK,64,1064
5,uni2-h,64,1787285445.767633436,1787288973.587314644,1787291443.679584227,1787291443.679584227,3527.82,756.084,0,OK,OK,64,1064
