step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
0,ramp,0.206183,0.844371,638.188,164.712,566.656,53.161,16.550,1,4,0.404541,4761
1,ramp,0.844930,0.898613,53.684,1.851,0.174,0.627,51.315,1,4,0.494141,4122
2,ramp,0.899003,0.903570,4.566,2.340,0.296,1.583,0.627,1,4,0.551270,5453
3,ramp,0.903877,0.906673,2.796,0.630,0.556,0.955,0.811,1,4,0.451904,1376
4,ramp,0.907403,0.956663,49.260,6.980,28.662,13.154,1.115,1,4,0.645996,16928
5,ramp,0.956924,0.964529,7.605,5.765,0.892,0.697,0.439,1,4,0.575195,14696
6,ramp,0.964862,0.976535,11.673,6.348,3.614,1.504,0.464,1,4,0.629883,16061
7,ramp,0.976805,0.979214,2.409,0.823,0.156,1.151,0.443,1,4,1.013672,1710
8,ramp,0.979680,0.991899,12.219,5.769,0.867,5.137,0.788,1,4,1.060547,14305
9,ramp,0.992164,0.995630,3.466,2.732,0.297,0.249,0.386,1,4,0.524414,6697
10,ramp,0.995890,0.999255,3.364,2.659,0.302,0.232,0.356,1,4,1.490234,6538
11,ramp,0.999501,1.002687,3.186,2.504,0.284,0.214,0.362,1,4,1.166992,6150
12,ramp,1.184451,1.220915,36.464,189.166,26.855,1.599,0.540,1,4,0.551758,19827
13,ramp,1.221249,1.240021,18.772,5.561,0.828,0.672,11.964,1,4,1.360352,13974
14,ramp,1.292790,1.328269,35.480,61.221,24.523,1.953,0.452,1,4,0.702148,22564
15,ramp,1.328525,1.333391,4.866,3.770,0.505,0.372,0.405,1,4,0.980469,9457
16,ramp,1.333705,1.355601,21.896,3.511,0.470,0.352,17.691,1,4,0.430908,8985
17,ramp,1.356015,1.358364,2.349,1.253,0.124,0.724,0.540,1,4,0.861328,2683
18,ramp,1.358622,1.364556,5.933,4.593,0.668,0.487,0.376,1,4,0.386230,11625
19,ramp,1.409564,1.425860,16.295,53.629,1.486,1.130,4.986,1,4,0.991699,23090
20,ramp,1.478070,1.488631,10.561,59.896,1.312,0.999,0.487,1,4,0.743652,20549
21,ramp,1.594899,1.607726,12.826,115.719,1.629,1.238,0.427,1,4,0.577148,25363
22,ramp,1.608048,1.611082,3.034,2.437,0.231,0.212,0.399,1,4,0.565918,5860
23,ramp,1.611340,1.614354,3.013,2.368,0.232,0.212,0.390,1,4,0.961914,5767
24,ramp,1.614637,1.638937,24.300,3.912,0.546,0.388,19.644,1,4,0.813477,9765
25,ramp,1.639485,1.641835,2.349,1.548,0.142,0.569,0.498,1,4,0.702637,3102
26,ramp,1.642061,1.648167,6.106,4.669,0.690,0.504,0.400,1,4,0.718262,11908
27,ramp,1.675035,1.682276,7.241,32.102,0.861,0.672,0.384,1,4,0.307617,14190
28,ramp,1.742624,1.753895,11.271,68.638,1.425,1.078,0.406,1,4,0.877930,22363
29,ramp,1.917468,1.951883,34.415,170.898,25.034,1.329,0.654,1,4,0.753418,19684
30,ramp,1.952159,1.965549,13.390,4.857,0.726,0.517,7.449,1,4,0.942383,12227
31,ramp,1.965962,1.970536,4.574,3.677,0.476,0.353,0.373,1,4,0.867676,9017
32,ramp,1.970818,1.973375,2.557,0.431,0.794,1.066,0.469,1,4,0.925781,642
33,ramp,1.999057,2.006281,7.224,30.902,0.861,0.668,0.408,1,4,0.682617,14133
34,ramp,2.006526,2.011478,4.952,3.852,0.511,0.387,0.368,1,4,0.982422,9719
35,ramp,2.011731,2.015211,3.480,2.732,0.311,0.246,0.367,1,4,0.670410,6755
36,ramp,2.015479,2.019047,3.569,2.839,0.325,0.255,0.350,1,4,0.569824,6981
37,ramp,2.126703,2.141956,15.253,113.857,3.192,1.288,4.479,1,4,0.661133,16689
38,ramp,2.142385,2.144808,2.423,0.910,0.304,1.000,0.505,1,4,0.707520,1730
39,ramp,2.194716,2.203389,8.672,56.243,1.061,0.820,0.386,1,4,0.441162,17061
40,ramp,2.203691,2.208014,4.323,3.425,0.425,0.337,0.365,1,4,1.427734,8449
41,ramp,2.208282,2.233576,25.294,1.130,0.133,23.563,0.663,1,4,0.681641,2489
42,ramp,2.233854,2.241850,7.996,6.086,0.949,0.737,0.424,1,4,1.197266,15520
43,ramp,2.263744,2.270680,6.937,26.908,0.806,0.640,0.406,1,4,0.833496,13417
44,ramp,2.270961,2.273364,2.403,1.025,0.113,0.804,0.599,1,4,0.467773,2199
45,ramp,2.304574,2.311019,6.445,35.859,0.771,0.540,0.392,1,4,0.539551,12673
46,ramp,2.341516,2.349015,7.499,35.932,0.910,0.705,0.377,1,4,0.996094,14788
47,ramp,2.439758,2.447960,8.201,96.602,0.970,0.759,0.534,1,4,0.437744,15827
48,ramp,2.448290,2.452844,4.554,3.551,0.479,0.358,0.398,1,4,0.929688,9039
49,ramp,2.453134,2.476962,23.829,3.960,18.674,0.891,0.520,1,4,0.837402,9902
50,ramp,2.477280,2.499254,21.974,5.893,0.911,0.705,14.635,1,4,0.866211,14911
51,ramp,2.632987,2.645956,12.969,143.154,1.646,1.265,0.394,1,4,0.691406,25506
52,ramp,2.646225,2.649816,3.591,2.833,0.314,0.250,0.391,1,4,0.749512,6970
53,ramp,2.650064,2.652248,2.184,1.005,0.114,0.775,0.470,1,4,0.927246,2205
54,ramp,2.652502,2.657500,4.998,3.885,0.541,0.382,0.378,1,4,0.449463,9706
55,ramp,2.657744,2.659956,2.211,1.695,0.172,0.164,0.356,1,4,0.861816,4027
56,ramp,2.660199,2.665022,4.823,3.760,0.517,0.371,0.351,1,4,0.814453,9462
57,ramp,2.665264,2.669456,4.192,3.284,0.406,0.317,0.359,1,4,0.674316,8225
58,ramp,2.736311,2.747657,11.346,75.100,1.415,1.082,0.525,1,4,0.649902,22051
59,ramp,2.762336,2.766811,4.475,17.813,0.449,0.343,0.436,1,4,0.543457,8723
60,ramp,2.767090,2.769815,2.724,1.509,0.142,0.376,0.903,1,4,0.876953,3463
61,ramp,2.855131,2.863373,8.243,91.217,0.993,0.779,0.494,1,4,0.691406,16035
62,ramp,2.863634,2.866785,3.151,0.872,0.104,1.388,0.967,1,4,0.624512,1850
63,ramp,2.891121,2.898632,7.511,29.797,0.900,0.705,0.379,1,4,0.633789,14816
64,ramp,2.898942,2.912680,13.738,5.056,7.269,1.164,0.486,1,4,0.628418,12709
65,ramp,2.912930,2.916673,3.743,2.951,0.349,0.271,0.352,1,4,1.083984,7320
66,ramp,2.945788,2.953050,7.262,34.406,0.864,0.678,0.361,1,4,0.803711,14248
67,ramp,2.971964,2.977561,5.598,22.962,0.631,0.471,0.378,1,4,0.946289,11029
68,ramp,3.013344,3.020954,7.610,41.256,0.912,0.708,0.409,1,4,0.381104,14876
69,ramp,3.149359,3.170567,21.207,135.957,1.298,0.987,11.233,1,4,0.609375,20267
70,ramp,3.170960,3.177120,6.161,4.886,0.715,0.516,0.352,1,4,0.606445,12118
71,ramp,3.177356,3.192287,14.931,3.429,0.450,0.338,10.878,1,4,0.627930,8619
72,ramp,3.192586,3.198340,5.754,4.472,0.645,0.476,0.382,1,4,0.923340,11232
73,ramp,3.198612,3.203036,4.424,3.488,0.440,0.340,0.359,1,4,0.728516,8681
74,ramp,3.203270,3.206611,3.342,2.613,0.300,0.230,0.365,1,4,0.808105,6465
75,ramp,3.206848,3.211835,4.987,3.832,0.530,0.384,0.409,1,4,1.088867,9660
76,ramp,3.212103,3.214188,2.085,1.122,0.118,0.578,0.465,1,4,0.969238,2475
77,ramp,3.306447,3.312778,6.331,96.857,0.763,0.537,0.367,1,4,0.663086,12643
78,ramp,3.313011,3.329247,16.236,2.240,0.219,12.595,1.346,1,4,0.721680,5505
79,ramp,3.329486,3.333584,4.098,3.206,0.412,0.306,0.343,1,4,0.988281,8029
80,ramp,3.333859,3.336046,2.187,1.475,0.141,0.316,0.463,1,4,0.945312,3359
81,ramp,3.427167,3.433492,6.325,95.713,0.753,0.535,0.376,1,4,0.620605,12451
82,ramp,3.433732,3.440012,6.280,4.839,0.739,0.524,0.348,1,4,0.957031,12315
83,ramp,3.440254,3.446461,6.206,4.735,0.727,0.511,0.400,1,4,1.044922,12046
84,ramp,3.446744,3.451540,4.796,3.761,0.506,0.360,0.383,1,4,0.589355,9377
85,ramp,3.507727,3.523985,16.258,61.223,0.821,0.644,9.627,1,4,0.666016,13539
86,ramp,3.636567,3.653284,16.717,121.453,1.521,1.166,4.866,1,4,0.697754,23928
87,ramp,3.653754,3.663606,9.852,7.567,1.225,0.934,0.474,1,4,0.962891,19078
88,ramp,3.663955,3.669783,5.828,4.518,0.636,0.479,0.457,1,4,0.583496,11253
89,ramp,3.694820,3.697928,3.109,27.214,0.270,0.218,0.355,1,4,0.499512,6047
90,ramp,3.753773,3.767470,13.697,62.363,1.093,0.853,5.100,1,4,0.721191,17607
91,ramp,3.767963,3.894839,126.876,7.181,118.330,1.326,0.398,1,4,0.606445,18142
92,ramp,3.959420,3.989313,29.893,76.156,2.003,1.568,14.661,1,4,0.936035,30713
93,ramp,3.989750,3.992943,3.192,2.689,0.261,0.219,0.380,1,4,0.557617,6236
94,ramp,3.993225,4.000851,7.625,5.150,1.249,0.980,0.461,1,4,0.666016,13020
95,ramp,4.001114,4.007736,6.622,2.472,2.645,1.145,0.555,1,4,1.229492,6031
96,ramp,4.008026,4.010151,2.125,1.527,0.155,0.176,0.488,1,4,0.677734,3480
97,ramp,4.042060,4.049673,7.613,37.439,0.911,0.703,0.400,1,4,0.779785,14798
98,ramp,4.049920,4.052075,2.155,1.210,0.140,0.531,0.451,1,4,0.450439,2748
99,ramp,4.085329,4.094983,9.654,40.315,1.215,0.916,0.391,1,4,0.683594,18851
100,ramp,4.393738,4.418903,25.165,312.654,2.463,8.145,0.586,1,4,0.783691,36906
101,ramp,4.419207,4.421819,2.612,0.801,0.107,0.954,0.912,1,4,0.754883,1724
102,ramp,4.422095,4.429014,6.919,5.302,0.831,0.635,0.359,1,4,0.628906,13704
103,ramp,4.429247,4.439668,10.421,7.920,1.310,0.998,0.359,1,4,0.854492,20438
104,ramp,4.439950,4.445738,5.788,4.528,0.641,0.482,0.351,1,4,0.753906,11385
105,ramp,4.445976,4.448561,2.586,1.983,0.200,0.188,0.384,1,4,0.963867,4806
106,ramp,4.448778,4.455195,6.417,4.916,0.757,0.535,0.359,1,4,0.538574,12525
107,ramp,4.455431,4.466812,11.381,3.309,0.432,0.329,7.459,1,4,0.774414,8329
108,ramp,4.467112,4.470322,3.210,2.574,0.290,0.218,0.349,1,4,0.839355,6236
109,ramp,4.576283,4.582458,6.176,110.442,0.732,0.522,0.370,1,4,0.692871,12250
110,ramp,4.582703,4.602863,20.160,4.342,0.634,0.470,14.884,1,4,0.726074,11007
111,ramp,4.655381,4.663805,8.424,58.629,1.014,0.806,0.390,1,4,0.894531,16528
112,ramp,4.664067,4.682643,18.576,4.320,0.614,0.465,13.331,1,4,0.596191,10892
113,ramp,4.811000,4.823188,12.188,137.369,1.537,1.181,0.369,1,4,0.728516,24132
114,ramp,4.823441,4.845817,22.376,6.801,13.395,1.469,0.893,1,4,0.808594,17443
115,ramp,4.846047,4.851200,5.153,3.980,0.565,0.411,0.358,1,4,0.622070,10078
116,ramp,4.851520,4.869564,18.045,1.717,0.179,0.210,16.138,1,4,0.572754,4279
117,ramp,4.869959,4.879308,9.349,4.682,0.674,0.487,3.727,1,4,0.749023,11595
118,ramp,4.879707,4.888567,8.860,5.333,0.812,0.621,2.391,1,4,0.871094,13375
119,ramp,4.888800,4.895573,6.773,5.200,0.804,0.577,0.355,1,4,0.803223,13278
120,ramp,4.895828,4.897901,2.074,0.956,0.112,0.712,0.480,1,4,0.733887,2065
121,ramp,5.043388,5.066846,23.457,152.640,1.264,0.950,14.023,1,4,0.739258,19501
122,ramp,5.067072,5.069824,2.752,1.663,0.176,0.165,0.902,1,4,0.416504,3995
123,ramp,5.070057,5.076479,6.422,4.943,0.762,0.534,0.350,1,4,0.822754,12593
124,ramp,5.076733,5.078880,2.147,1.486,0.165,0.193,0.490,1,4,0.659180,3447
125,ramp,5.188893,5.204244,15.351,117.308,1.272,0.966,5.704,1,4,1.047852,19743
126,ramp,5.204593,5.206903,2.310,1.600,0.166,0.300,0.478,1,4,0.688965,3647
127,ramp,5.207118,5.212687,5.569,4.272,0.632,0.465,0.347,1,4,0.445068,10879
128,ramp,5.212958,5.228932,15.974,2.043,0.205,13.157,0.770,1,4,0.579590,4880
129,ramp,5.282978,5.294462,11.484,58.450,0.734,0.513,5.743,1,4,0.785645,12073
130,ramp,5.294858,5.300077,5.219,4.107,0.586,0.420,0.348,1,4,0.557617,10206
131,ramp,5.300302,5.303953,3.651,2.493,0.275,0.219,0.761,1,4,0.396729,6167
132,ramp,5.304291,5.309559,5.269,4.114,0.579,0.429,0.361,1,4,0.532227,10294
133,ramp,5.309827,5.312299,2.472,1.881,0.187,0.172,0.427,1,4,0.741211,4475
134,ramp,5.329072,5.334642,5.570,20.803,0.625,0.461,0.378,1,4,0.839355,10880
135,ramp,5.391002,5.398213,7.211,61.596,0.860,0.673,0.371,1,4,0.650879,14155
136,ramp,5.398494,5.403765,5.271,4.101,0.580,0.430,0.347,1,4,0.681641,10342
137,ramp,5.451101,5.466867,15.767,51.966,0.762,0.544,9.671,1,4,0.436035,12780
138,ramp,5.512907,5.521597,8.690,52.224,1.052,0.834,0.494,1,4,0.622559,16945
139,ramp,5.554814,5.563844,9.030,39.782,1.112,0.870,0.397,1,4,0.585449,17953
140,ramp,5.564094,5.581964,17.869,3.494,0.449,13.505,0.600,1,4,0.772949,8753
141,ramp,5.582233,5.585151,2.919,2.275,0.211,0.202,0.420,1,4,0.876953,5522
