step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
0,ramp,1.987317,2.826662,839.345,1858.883,777.451,41.102,10.751,1,16,1.006836,22336
1,ramp,2.827302,2.879040,51.738,10.038,1.580,1.153,39.335,1,16,0.580078,21224
2,ramp,2.879447,2.884802,5.355,3.832,0.497,0.615,0.707,1,16,0.935547,7790
3,ramp,2.885096,2.890690,5.594,4.333,0.613,0.439,0.431,1,16,0.910156,9039
4,ramp,2.890941,2.893656,2.715,2.039,0.196,0.189,0.473,1,16,0.645996,4104
5,ramp,2.893911,2.907159,13.247,9.848,1.592,1.144,0.835,1,16,0.645020,21212
6,ramp,2.907505,2.910989,3.484,2.785,0.252,0.238,0.451,1,16,0.770996,5599
7,ramp,2.911359,2.922127,10.769,8.194,1.305,0.930,0.615,1,16,0.750000,17446
8,ramp,2.922433,2.925836,3.403,1.434,0.542,1.010,0.639,1,16,0.644531,2683
9,ramp,2.926104,2.948617,22.513,7.755,1.252,0.886,12.757,1,16,0.951172,16615
10,ramp,2.949033,2.951369,2.336,1.082,0.127,0.891,0.564,1,16,0.638184,1691
11,ramp,2.952029,2.987950,35.922,13.803,2.238,1.640,18.820,1,16,0.609375,29007
12,ramp,2.988274,2.992255,3.980,3.166,0.374,0.276,0.401,1,16,0.906250,6465
13,ramp,2.992603,3.003446,10.844,6.922,2.377,0.913,0.889,1,16,0.607422,14693
14,ramp,3.003727,3.006553,2.827,1.408,0.150,0.230,1.197,1,16,0.490967,2751
15,ramp,3.006830,3.013385,6.555,5.084,0.735,0.549,0.390,1,16,0.779785,10735
16,ramp,3.013645,3.037756,24.111,4.777,0.683,0.511,18.275,1,16,0.676758,10086
17,ramp,3.038206,3.055613,17.408,5.272,0.731,0.536,0.489,1,16,0.595215,10825
18,ramp,3.056118,3.058595,2.478,1.038,0.272,0.966,0.556,1,16,1.302734,1606
19,ramp,3.058832,3.065773,6.941,5.336,0.775,0.558,0.435,1,16,0.547852,11325
20,ramp,3.066014,3.085155,19.141,6.191,11.451,1.171,0.498,1,16,0.891602,13227
21,ramp,3.085409,3.087618,2.209,1.586,0.150,0.160,0.497,1,16,0.608887,3103
22,ramp,3.087847,3.092901,5.054,3.871,0.538,0.373,0.431,1,16,1.005859,8152
23,ramp,3.093170,3.128229,35.059,10.712,1.748,1.295,21.373,1,16,0.730957,23086
24,ramp,3.128666,3.132428,3.762,3.075,0.353,0.258,0.414,1,16,0.633789,6131
25,ramp,3.139897,3.142149,2.252,7.395,0.776,0.969,0.506,1,16,0.581543,1915
26,ramp,3.142386,3.145310,2.925,0.502,0.796,1.295,0.497,1,16,0.942383,761
27,ramp,3.145584,3.152540,6.955,5.391,0.777,0.595,0.395,1,16,0.802246,11410
28,ramp,3.152799,3.158104,5.305,4.105,0.585,0.402,0.399,1,16,1.064453,8619
29,ramp,3.158354,3.198818,40.464,8.484,1.353,0.973,29.776,1,16,0.533691,18175
30,ramp,3.199193,3.201781,2.589,2.145,0.173,0.184,0.379,1,16,0.661621,4116
31,ramp,3.202055,3.210709,8.655,6.694,1.047,0.745,0.371,1,16,0.500977,14273
32,ramp,3.210963,3.242281,31.318,10.439,1.692,1.230,18.099,1,16,0.348877,22513
33,ramp,3.242742,3.248459,5.718,4.604,0.635,0.473,0.368,1,16,0.570312,9457
34,ramp,3.248773,3.268289,19.516,7.656,1.199,0.859,10.019,1,16,1.087891,16296
35,ramp,3.268745,3.278466,9.720,6.821,1.051,0.751,1.419,1,16,0.621582,14360
36,ramp,3.278899,3.281649,2.750,2.294,0.201,0.202,0.395,1,16,0.253662,4498
37,ramp,3.281929,3.284629,2.700,2.155,0.214,0.187,0.354,1,16,0.368164,4293
38,ramp,3.284968,3.306101,21.133,6.539,1.014,0.730,12.974,1,16,0.416260,13972
39,ramp,3.306573,3.317819,11.246,4.975,0.692,0.512,5.354,1,16,0.415283,10214
40,ramp,3.386046,3.399333,13.287,78.092,1.663,1.192,0.461,1,16,0.918457,21923
41,ramp,3.399596,3.405264,5.667,4.382,0.627,0.462,0.383,1,16,0.571289,9225
42,ramp,3.405522,3.410992,5.470,4.232,0.602,0.424,0.391,1,16,0.745117,8918
