step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
0,ramp,4.503787,5.449774,945.987,4297.101,746.547,165.795,25.932,1,32,0.808594,16853
1,ramp,5.450468,5.532970,82.501,4.424,3.215,7.140,68.066,1,32,0.766602,8856
2,ramp,5.533809,5.663736,129.927,9.743,118.529,1.743,0.617,1,32,0.761230,19895
3,ramp,5.664035,5.675847,11.811,9.057,1.476,1.040,0.451,1,32,0.661621,19406
4,ramp,5.676143,5.681244,5.101,3.958,0.550,0.379,0.431,1,32,0.708008,8225
5,ramp,5.681525,5.736045,54.520,8.352,1.348,0.941,44.006,1,32,0.696777,17893
6,ramp,5.738831,5.752478,13.647,12.918,1.686,1.227,0.479,1,32,0.688477,22521
7,ramp,5.752762,5.755392,2.630,1.434,0.152,0.692,0.541,1,32,0.719727,2748
8,ramp,5.755664,5.786288,30.624,1.122,0.489,28.499,0.708,1,32,0.650391,2053
9,ramp,5.786861,5.826344,39.483,16.389,2.710,20.347,0.531,1,32,0.726074,34887
10,ramp,5.826673,5.843546,16.873,10.988,1.753,1.328,3.060,1,32,0.687500,23561
11,ramp,5.843932,5.850224,6.292,4.945,0.693,0.518,0.439,1,32,0.704102,10206
12,ramp,5.850492,5.867599,17.107,5.703,0.867,0.618,10.100,1,32,0.647461,12073
13,ramp,5.868049,5.870297,2.248,1.192,0.115,0.794,0.520,1,32,0.632324,1901
14,ramp,5.870540,5.877897,7.356,5.647,0.859,0.624,0.400,1,32,0.693359,12125
15,ramp,5.878164,5.880722,2.559,2.034,0.162,0.182,0.380,1,32,0.714844,4043
16,ramp,5.880965,5.914478,33.512,6.867,1.077,0.769,24.962,1,32,0.760742,14696
17,ramp,5.914965,5.937587,22.622,6.651,1.002,0.729,14.510,1,32,0.764648,13974
18,ramp,5.973312,5.976536,3.224,35.600,1.390,1.054,0.760,1,32,0.749023,12548
19,ramp,5.976888,5.982363,5.475,4.242,0.587,0.416,0.485,1,32,0.893555,8766
20,ramp,5.982688,6.004283,21.595,4.016,0.546,15.763,1.512,1,32,0.688477,8301
21,ramp,6.004578,6.012818,8.240,6.387,0.985,0.707,0.378,1,32,0.735840,13558
22,ramp,6.013064,6.049120,36.056,11.686,1.934,1.379,21.133,1,32,0.531250,25271
23,ramp,6.049673,6.057530,7.858,6.298,0.915,0.678,0.364,1,32,0.705566,12980
24,ramp,6.057746,6.060662,2.916,2.296,0.203,0.201,0.366,1,32,0.774902,4817
25,ramp,6.060942,6.085143,24.201,2.257,0.222,0.195,21.689,1,32,0.822754,4513
26,ramp,6.085589,6.103461,17.872,8.865,1.433,0.991,6.881,1,32,0.628906,18750
27,ramp,6.103833,6.119339,15.506,12.016,1.970,1.407,0.408,1,32,0.630859,25734
28,ramp,6.119593,6.146262,26.669,6.836,1.055,0.763,18.185,1,32,0.596191,14605
29,ramp,6.146724,6.156038,9.314,7.309,1.118,0.804,0.423,1,32,0.731934,15332
30,ramp,6.156372,6.160418,4.046,3.167,0.395,0.297,0.428,1,32,0.769043,6697
31,ramp,6.160745,6.163665,2.920,2.342,0.219,0.204,0.406,1,32,0.899414,4614
32,ramp,6.163932,6.169774,5.842,4.466,0.639,0.466,0.465,1,32,0.687988,9377
33,ramp,6.170081,6.205608,35.528,3.433,30.616,1.163,0.532,1,32,0.805176,7071
34,ramp,6.205923,6.213713,7.790,6.009,0.913,0.649,0.448,1,32,0.726074,12688
35,ramp,6.214057,6.241776,27.719,8.977,1.470,1.036,16.479,1,32,0.779785,19168
36,ramp,6.242270,6.248006,5.735,1.543,0.153,3.471,0.827,1,32,0.708984,2751
37,ramp,6.248402,6.251116,2.714,1.069,0.112,1.294,0.486,1,32,0.719727,1828
38,ramp,6.251396,6.269621,18.225,4.832,0.689,0.508,12.346,1,32,0.744629,10123
39,ramp,6.270012,6.277861,7.849,6.141,0.924,0.671,0.415,1,32,0.509766,12842
40,ramp,6.278146,6.307831,29.685,5.789,0.866,0.633,22.545,1,32,0.565918,12250
41,ramp,6.308382,6.311181,2.799,2.009,0.154,0.611,0.486,1,32,0.584473,3551
42,ramp,6.311441,6.324543,13.103,10.025,1.639,1.191,0.428,1,32,0.730957,21608
43,ramp,6.324807,6.363201,38.393,6.168,0.949,30.851,0.615,1,32,0.752930,13127
44,ramp,6.363479,6.370265,6.786,5.263,0.755,0.567,0.400,1,32,0.710938,11123
45,ramp,6.370551,6.376470,5.919,4.592,0.668,0.490,0.384,1,32,0.645508,9848
46,ramp,6.376715,6.428463,51.749,8.792,1.448,1.001,40.619,1,32,0.652832,18932
47,ramp,6.428988,6.431890,2.901,1.781,0.179,0.698,0.572,1,32,0.688965,3310
48,ramp,6.432177,6.444239,12.062,6.765,1.050,0.748,3.631,1,32,0.730957,14408
49,ramp,6.444598,6.448383,3.784,3.058,0.353,0.261,0.378,1,32,0.518555,6150
50,ramp,6.448660,6.467461,18.801,6.008,0.905,0.656,11.358,1,32,0.730957,12718
51,ramp,6.467995,6.488532,20.537,6.070,0.920,0.653,13.231,1,32,0.595215,12721
52,ramp,6.489001,6.491935,2.935,2.519,0.208,0.202,0.387,1,32,0.715820,4807
53,ramp,6.492206,6.509839,17.633,13.492,2.280,1.620,0.440,1,32,0.665527,29176
54,ramp,6.510111,6.514740,4.629,3.634,0.471,0.342,0.380,1,32,0.640137,7570
55,ramp,6.514998,6.520777,5.780,4.486,0.643,0.470,0.367,1,32,0.694336,9457
56,ramp,6.521020,6.552287,31.267,9.800,1.598,1.169,18.865,1,32,0.659180,21236
57,ramp,6.552670,6.562828,10.158,7.666,1.198,0.859,0.709,1,32,0.598633,16239
58,ramp,6.563240,6.565537,2.298,1.846,0.164,0.169,0.435,1,32,0.750977,3507
59,ramp,6.565810,6.578991,13.181,5.319,0.765,0.575,6.668,1,32,0.773438,11294
60,ramp,6.579352,6.587805,8.453,6.622,1.010,0.730,0.367,1,32,0.732422,13982
61,ramp,6.588077,6.590652,2.575,1.156,0.131,1.022,0.470,1,32,0.628418,2118
62,ramp,6.590914,6.614246,23.333,5.920,15.867,1.174,0.563,1,32,0.739258,12588
63,ramp,6.614510,6.630881,16.371,5.781,0.876,0.632,9.241,1,32,0.936035,12284
64,ramp,6.631260,6.634289,3.029,0.404,0.777,1.601,0.509,1,32,0.706055,430
65,ramp,6.634578,6.644068,9.491,7.355,1.149,0.825,0.382,1,32,0.615723,15667
66,ramp,6.644331,6.652658,8.327,6.430,1.001,0.714,0.375,1,32,0.830566,13701
67,ramp,6.652937,6.696459,43.523,3.181,0.388,0.279,39.870,1,32,0.829590,6535
68,ramp,6.696976,6.706004,9.028,7.156,1.090,0.787,0.380,1,32,0.653809,14942
69,ramp,6.725015,6.736950,11.935,22.716,0.545,0.387,7.164,1,32,0.705078,8366
70,ramp,6.737436,6.752317,14.882,7.479,1.149,0.816,5.829,1,32,0.666504,15639
71,ramp,6.752545,6.759008,6.463,4.991,0.717,0.543,0.366,1,32,0.623047,10634
72,ramp,6.759276,6.763857,4.581,3.607,0.460,0.338,0.375,1,32,0.762207,7514
73,ramp,6.764128,6.771927,7.799,5.736,0.867,0.625,0.760,1,32,0.674316,12169
74,ramp,6.772283,6.799165,26.882,8.188,1.286,0.932,16.689,1,32,0.779785,17444
75,ramp,6.799645,6.814483,14.838,11.546,1.887,1.392,0.377,1,32,0.625000,24619
76,ramp,6.814744,6.818324,3.580,2.893,0.276,0.248,0.352,1,32,0.749512,5956
77,ramp,6.818627,6.860837,42.210,4.668,0.668,36.547,0.560,1,32,0.601562,9976
78,ramp,6.861125,6.863898,2.773,2.220,0.224,0.198,0.340,1,32,0.650879,4444
79,ramp,6.864157,6.890864,26.707,6.022,0.928,0.667,19.283,1,32,0.716797,12810
80,ramp,6.891267,6.901407,10.140,7.962,1.247,0.889,0.365,1,32,0.660645,16840
81,ramp,6.901683,6.932177,30.494,6.243,0.973,0.693,22.753,1,32,0.765625,13417
82,ramp,6.932737,6.937282,4.544,3.840,0.453,0.336,0.365,1,32,0.738281,7596
83,ramp,6.937556,6.939652,2.096,0.839,0.104,0.856,0.486,1,32,0.600098,1454
84,ramp,6.939905,6.956681,16.776,0.915,0.104,14.849,1.062,1,32,0.468018,1622
85,ramp,6.957041,6.966676,9.635,7.477,1.180,0.834,0.357,1,32,0.750488,15945
86,ramp,6.966923,6.980644,13.720,10.610,1.709,1.236,0.345,1,32,0.637207,22889
87,ramp,6.980876,6.983806,2.930,2.342,0.213,0.202,0.341,1,32,0.668945,4797
88,ramp,7.041333,7.060547,19.214,71.995,2.486,1.799,0.392,1,32,0.724609,31891
89,ramp,7.060802,7.072428,11.626,4.000,0.540,0.391,6.821,1,32,0.744629,8380
90,ramp,7.072808,7.077278,4.471,3.615,0.453,0.332,0.370,1,32,0.832031,7329
91,ramp,7.077524,7.081222,3.698,2.925,0.357,0.251,0.343,1,32,0.589355,6044
92,ramp,7.081466,7.088040,6.575,5.107,0.724,0.551,0.369,1,32,0.812012,10827
93,ramp,7.088299,7.117027,28.727,2.812,24.541,1.110,0.457,1,32,0.721680,5767
94,ramp,7.117302,7.134681,17.379,9.299,1.529,1.080,5.627,1,32,0.720215,20174
95,ramp,7.135038,7.137410,2.372,1.826,0.180,0.172,0.457,1,32,0.456787,3647
96,ramp,7.137644,7.141523,3.879,3.057,0.372,0.272,0.345,1,32,0.541992,6355
97,ramp,7.141767,7.160412,18.645,3.831,0.524,0.359,14.100,1,32,0.718750,8049
98,ramp,7.160820,7.168200,7.380,5.843,0.874,0.630,0.352,1,32,0.810059,12227
99,ramp,7.168466,7.199354,30.888,6.984,1.083,0.778,22.213,1,32,0.713867,14910
100,ramp,7.199739,7.202136,2.397,1.983,0.168,0.176,0.346,1,32,0.515137,3913
101,ramp,7.202462,7.209043,6.581,5.128,0.735,0.557,0.345,1,32,0.827637,10874
102,ramp,7.209283,7.212277,2.994,2.417,0.212,0.204,0.335,1,32,0.896973,4937
103,ramp,7.212520,7.238921,26.401,4.136,0.582,20.741,1.119,1,32,0.625488,8705
104,ramp,7.239195,7.253286,14.091,6.985,1.092,0.775,5.350,1,32,0.697266,14885
105,ramp,7.253658,7.256774,3.116,2.603,0.227,0.226,0.337,1,32,0.613281,5270
106,ramp,7.257035,7.273290,16.255,6.540,1.002,0.730,8.109,1,32,0.658691,13938
107,ramp,7.273683,7.281516,7.833,6.159,0.939,0.670,0.345,1,32,0.638672,12983
108,ramp,7.281766,7.302731,20.965,3.434,0.423,16.597,0.695,1,32,0.800293,7153
109,ramp,7.302997,7.310679,7.682,2.798,0.276,0.237,4.567,1,32,0.736328,5719
110,ramp,7.311187,7.315714,4.527,3.750,0.475,0.336,0.340,1,32,0.770020,7492
111,ramp,7.346017,7.365192,19.175,35.979,0.919,0.653,11.818,1,32,0.625000,12643
112,ramp,7.365658,7.376822,11.164,4.369,0.596,0.444,6.062,1,32,0.683594,8977
113,ramp,7.454896,7.481010,26.114,86.149,1.398,0.970,15.538,1,32,0.688965,18182
114,ramp,7.481425,7.485538,4.113,3.389,0.412,0.300,0.337,1,32,0.671875,6755
115,ramp,7.485832,7.488910,3.078,2.518,0.240,0.215,0.333,1,32,0.762695,5080
116,ramp,7.489155,7.511638,22.483,3.051,0.366,0.268,18.956,1,32,0.706055,6313
117,ramp,7.512163,7.521685,9.522,5.314,0.735,2.928,0.928,1,32,0.620605,10892
118,ramp,7.521975,7.523949,1.974,1.308,0.144,0.234,0.477,1,32,0.820801,2475
119,ramp,7.524176,7.537347,13.171,5.571,0.810,0.605,6.297,1,32,0.678711,11891
120,ramp,7.537826,7.543993,6.166,4.893,0.682,0.506,0.425,1,32,0.566406,10115
121,ramp,7.544266,7.546763,2.497,1.944,0.185,0.176,0.390,1,32,0.693848,3847
122,ramp,7.698033,7.708953,10.920,159.410,1.354,0.965,0.389,1,32,0.720703,18072
123,ramp,7.709194,7.731605,22.411,7.782,1.235,0.884,12.650,1,32,0.567383,16723
124,ramp,7.731939,7.741463,9.525,7.406,1.162,0.833,0.356,1,32,0.638184,15834
125,ramp,7.741735,7.770233,28.499,6.044,0.940,0.678,21.035,1,32,0.763184,13045
126,ramp,7.770665,7.773923,3.258,2.780,0.208,0.224,0.362,1,32,0.823730,5453
127,ramp,7.774191,7.777297,3.106,0.787,0.395,1.676,0.446,1,32,0.531738,1317
128,ramp,7.777574,7.808117,30.543,6.794,1.061,0.751,22.109,1,32,0.642578,14447
129,ramp,7.920515,7.934097,13.582,122.065,1.634,1.183,0.890,1,32,0.767090,21629
130,ramp,7.934478,7.942105,7.628,5.940,0.908,0.648,0.372,1,32,0.944824,12605
131,ramp,7.942360,7.950075,7.715,5.976,0.915,0.653,0.356,1,32,0.522949,12719
132,ramp,8.023475,8.050322,26.847,82.774,1.567,1.112,14.644,1,32,0.630371,20840
133,ramp,8.145853,8.177044,31.191,105.029,1.588,1.147,18.810,1,32,0.603027,21095
134,ramp,8.177713,8.190735,13.022,4.549,0.606,0.437,7.950,1,32,0.562500,8971
135,ramp,8.191140,8.196865,5.724,4.524,0.638,0.472,0.366,1,32,0.569824,9512
136,ramp,8.197122,8.200223,3.101,2.500,0.240,0.213,0.340,1,32,0.652832,5093
137,ramp,8.200461,8.218319,17.859,5.846,10.551,1.211,0.421,1,32,0.767090,12461
138,ramp,8.218571,8.232412,13.841,6.483,0.997,0.722,5.814,1,32,0.682129,13838
139,ramp,8.232852,8.239009,6.157,4.962,0.681,0.512,0.344,1,32,0.763672,10183
140,ramp,8.239251,8.256046,16.796,5.640,0.821,0.615,9.824,1,32,0.648438,12007
141,ramp,8.256597,8.258738,2.141,1.652,0.145,0.317,0.442,1,32,0.825195,3029
142,ramp,8.259001,8.260981,1.981,0.946,0.108,0.689,0.435,1,32,0.490479,1663
143,ramp,8.261236,8.263306,2.070,1.303,0.137,0.292,0.525,1,32,0.543457,2471
144,ramp,8.263550,8.280684,17.134,1.721,0.163,14.432,0.947,1,32,0.829102,3422
145,ramp,8.281043,8.292766,11.723,4.320,0.600,0.427,6.636,1,32,0.597168,8888
146,ramp,8.293069,8.295998,2.929,2.374,0.230,0.201,0.346,1,32,0.509277,4761
147,ramp,8.301089,8.306399,5.311,8.979,0.583,0.414,0.360,1,32,0.742188,8723
148,ramp,8.306655,8.322297,15.641,2.947,0.352,0.254,12.200,1,32,0.660645,6068
149,ramp,8.406027,8.421314,15.288,93.642,1.647,1.196,2.365,1,32,0.740723,22013
150,ramp,8.421696,8.426817,5.121,4.087,0.535,0.393,0.378,1,32,0.608887,8430
151,ramp,8.522535,8.551491,28.956,107.635,2.036,1.454,13.347,1,32,0.791992,26566
152,ramp,8.551963,8.557869,5.905,2.177,0.169,0.186,0.379,1,32,0.784668,4044
153,ramp,8.558340,8.560761,2.421,1.415,0.154,0.753,0.446,1,32,0.616211,2639
154,ramp,8.560991,8.568953,7.963,6.147,0.951,0.685,0.342,1,32,0.710938,13144
155,ramp,8.660359,8.675022,14.663,102.385,1.881,1.374,0.364,1,32,0.785156,24416
156,ramp,8.675272,8.707977,32.705,3.870,0.510,0.373,28.080,1,32,0.655762,8152
157,ramp,8.708556,8.718356,9.800,3.493,0.417,0.298,5.999,1,32,0.652832,6826
158,ramp,8.718735,8.726089,7.354,5.370,0.769,0.580,0.876,1,32,0.649414,11335
159,ramp,8.726446,8.737593,11.147,8.674,1.411,0.973,0.370,1,32,0.750488,18484
160,ramp,8.737839,8.744504,6.665,5.200,0.748,0.566,0.330,1,32,0.739746,11053
161,ramp,8.744766,8.746903,2.136,1.334,0.146,0.334,0.516,1,32,0.662109,2524
162,ramp,8.747180,8.749187,2.006,1.253,0.124,0.315,0.516,1,32,0.612305,2347
163,ramp,8.749457,8.777035,27.577,0.797,0.102,26.017,0.823,1,32,0.505859,1343
164,ramp,8.777436,8.779697,2.261,1.284,0.119,0.696,0.464,1,32,0.768555,2266
165,ramp,8.779987,8.782922,2.935,2.383,0.232,0.208,0.337,1,32,0.501953,4754
166,ramp,8.946244,8.961857,15.613,175.018,2.009,1.432,0.408,1,32,0.662109,26168
167,ramp,8.962105,8.997663,35.558,6.662,1.012,0.744,27.236,1,32,0.860352,14243
168,ramp,8.998001,9.006044,8.043,6.281,0.962,0.691,0.355,1,32,0.671875,13332
169,ramp,9.006307,9.032816,26.509,5.066,0.726,0.545,20.307,1,32,0.697754,10714
170,ramp,9.033329,9.041549,8.221,6.531,0.989,0.707,0.372,1,32,0.843262,13539
171,ramp,9.041808,9.057323,15.516,9.542,1.544,1.103,3.460,1,32,0.664062,20549
172,ramp,9.057829,9.063779,5.950,1.912,0.182,0.404,3.815,1,32,0.589844,3480
173,ramp,9.064356,9.066620,2.264,1.967,0.168,0.172,0.441,1,32,0.429443,3470
