step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
0,ramp,1.425801,2.197606,771.806,1279.167,707.817,45.487,11.081,1,16,0.971191,19653
1,ramp,2.198217,2.241931,43.715,1.573,0.163,2.319,40.002,1,16,0.569336,3298
2,ramp,2.242334,2.251058,8.725,6.681,1.051,0.810,0.478,1,16,0.426758,16850
3,ramp,2.251327,2.260879,9.551,7.253,1.186,0.899,0.415,1,16,0.960449,18572
4,ramp,2.261127,2.265799,4.671,3.629,0.469,0.354,0.400,1,16,0.620117,9107
5,ramp,2.266075,2.277124,11.049,4.343,0.771,5.053,1.078,1,16,0.716309,10880
6,ramp,2.277378,2.282786,5.408,4.200,0.595,0.432,0.370,1,16,0.487061,10577
7,ramp,2.283068,2.288753,5.685,4.439,0.631,0.478,0.342,1,16,0.556152,11175
8,ramp,2.289039,2.297874,8.835,7.006,1.115,0.845,0.089,1,16,0.860352,17894
9,ramp,2.298134,2.300722,2.588,0.840,0.469,0.975,0.499,1,16,1.327148,1729
10,ramp,2.300964,2.302857,1.893,1.010,0.111,0.480,0.471,1,16,1.352539,2220
11,ramp,2.303159,2.306380,3.221,2.581,0.286,0.234,0.358,1,16,0.557617,6251
12,ramp,2.306605,2.310802,4.198,3.049,0.362,0.289,0.656,1,16,0.545898,7616
13,ramp,2.311029,2.313617,2.589,2.020,0.204,0.191,0.332,1,16,0.344971,4937
14,ramp,2.313888,2.322821,8.933,6.823,1.089,0.828,0.397,1,16,0.421387,17443
15,ramp,2.323118,2.353927,30.809,3.524,0.435,25.487,1.573,1,16,1.166992,8716
16,ramp,2.354302,2.361068,6.766,5.192,0.772,0.557,0.477,1,16,0.442383,12966
17,ramp,2.375345,2.378833,3.488,16.216,0.220,0.564,0.671,1,16,0.391113,5472
18,ramp,2.379201,2.392106,12.905,2.706,0.305,0.239,9.863,1,16,0.486572,6535
19,ramp,2.392475,2.401003,8.528,6.551,1.009,0.791,0.451,1,16,1.171875,16528
20,ramp,2.401272,2.403992,2.720,1.692,0.153,0.580,0.495,1,16,0.849609,3962
21,ramp,2.404520,2.428779,24.259,9.350,13.071,1.874,0.419,1,16,0.381104,23415
22,ramp,2.429063,2.440295,11.232,2.848,0.300,0.269,7.917,1,16,0.598633,7157
23,ramp,2.440734,2.446205,5.472,4.398,0.598,0.443,0.384,1,16,1.069336,10769
24,ramp,2.446448,2.473514,27.066,4.915,0.738,0.541,21.022,1,16,1.060547,12514
25,ramp,2.474194,2.477511,3.317,2.146,0.195,0.731,0.751,1,16,0.327881,4498
26,ramp,2.477852,2.490217,12.365,8.082,1.321,0.997,2.190,1,16,1.316406,20664
27,ramp,2.490617,2.493539,2.922,0.949,0.158,1.347,0.692,1,16,1.160156,1934
28,ramp,2.493833,2.499951,6.118,4.699,0.686,0.506,0.432,1,16,0.362549,11889
29,ramp,2.500250,2.532411,32.161,5.040,0.755,0.548,26.042,1,16,0.874023,12701
30,ramp,2.532691,2.538406,5.715,4.074,0.571,0.413,0.768,1,16,0.324951,10214
31,ramp,2.538705,2.544738,6.033,4.706,0.672,0.507,0.347,1,16,0.743164,11891
32,ramp,2.544977,2.564575,19.598,4.589,0.668,0.493,13.983,1,16,1.189453,11653
33,ramp,2.565113,2.572124,7.010,5.590,0.827,0.651,0.367,1,16,0.345215,13739
34,ramp,2.572431,2.593381,20.950,6.167,0.951,0.752,13.258,1,16,0.351318,15671
35,ramp,2.593756,2.599806,6.050,4.828,0.683,0.499,0.334,1,16,0.938965,11959
36,ramp,2.600080,2.623867,23.786,4.840,0.729,0.515,17.909,1,16,0.539062,12227
37,ramp,2.953353,2.973835,20.482,339.467,1.717,1.336,7.340,1,16,1.439453,26566
38,ramp,2.974224,2.978166,3.942,3.118,0.359,0.292,0.388,1,16,0.414551,7665
39,ramp,2.978421,2.985817,7.396,5.659,0.864,0.684,0.375,1,16,0.561035,14423
40,ramp,2.986078,3.010203,24.125,4.992,0.749,0.543,17.970,1,16,0.803223,12646
41,ramp,3.010628,3.015746,5.118,4.103,0.569,0.412,0.377,1,16,1.023438,10183
42,ramp,3.016006,3.018677,2.670,2.132,0.200,0.196,0.329,1,16,1.073242,5155
43,ramp,3.018948,3.043385,24.436,7.367,1.205,0.927,15.016,1,16,0.466064,18901
44,ramp,3.043663,3.050180,6.517,4.171,0.582,0.428,1.522,1,16,0.519531,10486
45,ramp,3.050516,3.053069,2.554,2.024,0.194,0.195,0.349,1,16,0.590332,4960
46,ramp,3.053340,3.056277,2.937,2.349,0.227,0.205,0.359,1,16,0.917969,5672
47,ramp,3.056531,3.062445,5.913,4.597,0.671,0.495,0.342,1,16,1.155273,11625
48,ramp,3.062670,3.086795,24.125,2.715,0.315,20.176,1.077,1,16,0.522461,6749
