step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
0,ramp,0.368172,1.406483,1038.311,235.704,738.202,215.152,82.417,1,16,0.613770,5431
1,ramp,1.407298,1.494708,87.410,5.348,0.708,0.534,81.280,1,16,0.745117,10716
2,ramp,1.495256,1.498362,3.106,1.791,0.158,0.914,0.674,1,16,0.499268,3218
3,ramp,1.498641,1.502754,4.114,3.173,0.385,0.284,0.480,1,16,0.846191,6535
4,ramp,1.502990,1.523011,20.021,2.012,0.211,0.186,17.773,1,16,0.638184,4071
5,ramp,1.523464,1.595960,72.497,7.450,62.921,1.540,0.838,1,16,0.884766,15831
6,ramp,1.596644,1.634189,37.545,9.011,1.401,0.988,26.660,1,16,0.456299,18540
7,ramp,1.634845,1.644399,9.553,7.601,1.149,0.833,0.521,1,16,0.671387,15639
8,ramp,1.644700,1.650534,5.834,4.438,0.622,0.456,0.541,1,16,0.828125,9278
9,ramp,1.903970,1.971043,67.073,262.789,55.469,1.559,0.603,1,16,0.661133,20825
10,ramp,1.971412,1.978761,7.348,5.682,0.814,0.596,0.524,1,16,0.828125,11889
11,ramp,1.979072,2.014304,35.232,9.255,1.493,1.085,23.623,1,16,0.430420,19827
12,ramp,2.063795,2.075237,11.441,57.892,1.424,0.985,0.485,1,16,1.222656,18851
13,ramp,2.075540,2.097898,22.359,2.785,18.033,1.082,0.677,1,16,1.055664,5634
14,ramp,2.098176,2.109831,11.655,8.902,1.450,1.020,0.473,1,16,0.945312,19121
15,ramp,2.110061,2.140702,30.640,2.541,0.256,0.211,27.779,1,16,0.547363,5339
16,ramp,2.141136,2.275589,134.453,1.933,130.745,1.278,0.779,1,16,0.929688,3745
17,ramp,2.275947,2.284858,8.911,6.875,1.065,0.758,0.480,1,16,0.960449,14522
18,ramp,2.285243,2.290640,5.397,4.270,0.583,0.417,0.431,1,16,0.491455,8746
19,ramp,2.290951,2.345363,54.412,5.900,0.897,0.629,47.069,1,16,0.936523,12451
20,ramp,2.346154,2.361040,14.885,11.893,1.884,1.335,0.459,1,16,0.484863,24619
21,ramp,2.361326,2.367115,5.790,4.492,0.624,0.455,0.426,1,16,0.901855,9377
22,ramp,2.367406,2.407511,40.104,0.979,37.412,1.258,0.670,1,16,0.406250,1703
23,ramp,2.407803,2.411721,3.918,3.056,0.379,0.275,0.424,1,16,0.461914,6467
24,ramp,2.411993,2.446679,34.686,8.206,1.286,0.930,24.461,1,16,0.809082,17578
25,ramp,2.447066,2.453724,6.657,5.260,0.728,0.527,0.448,1,16,0.581055,10892
26,ramp,2.454004,2.457831,3.827,3.021,0.357,0.258,0.397,1,16,0.416504,6196
27,ramp,2.458109,2.467207,9.098,7.011,1.091,0.779,0.425,1,16,0.537109,14939
28,ramp,2.467474,2.520299,52.826,6.740,1.033,0.749,44.496,1,16,1.092773,14377
29,ramp,2.520691,2.529667,8.976,6.970,1.087,0.776,0.415,1,16,0.376465,14910
30,ramp,2.529945,2.568084,38.138,11.056,20.860,5.993,0.431,1,16,0.779785,23824
31,ramp,2.568404,2.571570,3.166,0.746,0.715,1.336,0.589,1,16,0.536133,1187
32,ramp,2.571850,2.598271,26.421,8.736,1.425,0.996,15.461,1,16,0.464600,18750
33,ramp,2.598716,2.606900,8.184,6.466,0.975,0.695,0.381,1,16,0.896973,13545
34,ramp,2.673178,2.687943,14.765,72.938,1.083,0.778,6.088,1,16,0.562988,14942
35,ramp,2.688287,2.695400,7.112,5.545,0.793,0.587,0.438,1,16,0.944824,11690
36,ramp,2.778940,2.790890,11.950,92.297,1.484,1.068,0.561,1,16,0.515625,19501
37,ramp,2.791196,2.816139,24.943,5.694,0.846,17.594,1.001,1,16,0.585449,12046
38,ramp,2.816585,2.823701,7.116,5.592,0.808,0.592,0.459,1,16,0.590332,11759
39,ramp,2.823961,2.831913,7.952,5.854,0.897,0.630,0.707,1,16,0.800781,12455
40,ramp,2.832331,2.835146,2.814,2.326,0.226,0.198,0.406,1,16,0.536133,4498
41,ramp,2.877035,2.886409,9.373,48.806,1.125,0.828,0.431,1,16,0.512207,15374
42,ramp,2.886709,2.889129,2.420,1.116,0.118,0.754,0.647,1,16,0.389648,1998
43,ramp,2.889411,2.891813,2.402,1.523,0.136,0.331,0.610,1,16,0.437012,2925
44,ramp,3.063094,3.194507,131.413,182.626,117.836,1.620,0.522,1,16,0.747559,25271
45,ramp,3.194833,3.203264,8.431,6.550,0.998,0.721,0.409,1,16,0.852539,13841
46,ramp,3.203519,3.212719,9.201,7.081,1.107,0.811,0.386,1,16,0.745117,15156
47,ramp,3.251312,3.266605,15.293,48.687,1.670,1.242,2.195,1,16,0.832520,22432
48,ramp,3.266910,3.278109,11.199,4.579,0.622,0.469,5.751,1,16,0.621094,9610
49,ramp,3.382400,3.392266,9.866,111.485,1.188,0.857,0.536,1,16,0.492188,16098
50,ramp,3.392560,3.430617,38.056,6.834,1.073,0.764,29.549,1,16,0.717773,14743
51,ramp,3.431216,3.442305,11.089,8.632,1.392,0.969,0.426,1,16,0.455566,18358
52,ramp,3.442561,3.445688,3.127,2.438,0.241,0.212,0.419,1,16,0.858887,5080
53,ramp,3.470453,3.478819,8.367,30.886,0.997,0.727,0.446,1,16,0.662109,13838
54,ramp,3.479150,3.481700,2.550,2.033,0.194,0.186,0.392,1,16,0.426025,3926
55,ramp,3.481979,3.504577,22.598,2.649,18.313,1.303,0.525,1,16,1.027344,5410
56,ramp,3.504860,3.507122,2.262,1.271,0.126,0.572,0.504,1,16,1.350586,2350
57,ramp,3.507407,3.526156,18.749,4.618,0.647,0.469,13.224,1,16,0.466309,9667
58,ramp,3.526493,3.528803,2.310,0.773,0.314,1.279,0.193,1,16,1.163086,1255
59,ramp,3.615066,3.625416,10.350,93.845,1.249,0.902,0.545,1,16,0.468506,16850
60,ramp,3.729962,3.744777,14.815,115.538,1.848,1.333,0.544,1,16,0.660645,24416
61,ramp,3.745060,3.749047,3.986,3.087,0.366,0.269,0.460,1,16,0.486816,6355
62,ramp,3.749333,3.785409,36.076,3.857,0.519,31.121,0.780,1,16,0.699219,8044
63,ramp,3.785716,3.797521,11.805,8.889,1.451,1.015,0.651,1,16,1.069336,19168
64,ramp,3.797899,3.803672,5.773,4.515,0.614,0.457,0.477,1,16,0.923340,9373
65,ramp,3.804093,3.806668,2.575,2.142,0.165,0.182,0.400,1,16,0.428711,4027
66,ramp,3.872270,3.885873,13.602,75.647,1.664,1.241,0.576,1,16,1.035156,22297
67,ramp,3.886203,3.917993,31.790,3.442,26.339,1.632,0.623,1,16,0.503418,7023
68,ramp,3.918252,3.920818,2.566,1.990,0.175,0.186,0.396,1,16,0.440430,3996
69,ramp,4.010593,4.022810,12.217,98.736,1.499,1.078,0.596,1,16,0.503906,20007
70,ramp,4.023179,4.049274,26.094,6.028,0.915,18.515,0.908,1,16,0.393555,12709
71,ramp,4.049597,4.051805,2.208,0.994,0.109,0.784,0.562,1,16,0.494141,1691
72,ramp,4.144062,4.171410,27.349,102.800,1.738,1.286,13.692,1,16,0.531250,23415
73,ramp,4.171916,4.185284,13.369,6.147,0.921,0.650,5.984,1,16,0.342773,12719
74,ramp,4.185726,4.194172,8.446,6.029,0.925,0.654,1.161,1,16,0.508301,12780
