step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
0,ramp,1.493182,2.571284,1078.102,1372.060,800.413,258.151,11.165,1,16,0.714355,18358
1,ramp,2.572050,2.664874,92.824,3.528,0.410,0.874,88.321,1,16,0.803711,6898
2,ramp,2.665374,2.673518,8.144,6.391,0.957,0.684,0.486,1,16,0.690918,13332
3,ramp,2.674190,2.725986,51.796,9.482,1.481,9.144,32.288,1,16,0.704590,19501
4,ramp,2.726342,2.754900,28.558,8.299,1.337,0.946,18.174,1,16,0.670410,17953
5,ramp,2.755419,2.791354,35.934,2.577,31.078,1.730,0.970,1,16,0.691406,4752
6,ramp,2.791745,2.809104,17.359,7.405,1.152,0.829,8.196,1,16,0.753418,15667
7,ramp,2.809432,2.812486,3.054,1.114,0.445,1.224,0.493,1,16,0.744629,1998
8,ramp,2.812723,2.825951,13.228,5.281,1.488,5.990,0.624,1,16,0.730469,11256
9,ramp,2.826271,2.830221,3.951,3.123,0.387,0.294,0.400,1,16,0.554199,6589
10,ramp,2.830482,2.862330,31.848,5.149,0.733,0.554,25.565,1,16,0.682129,10892
11,ramp,2.862965,2.870843,7.878,6.214,0.923,0.648,0.589,1,16,0.633789,12709
12,ramp,2.871181,2.876720,5.539,4.232,0.584,0.429,0.542,1,16,0.702637,8753
13,ramp,2.877082,2.903476,26.395,7.646,1.195,16.721,1.099,1,16,0.638672,16190
14,ramp,2.903881,2.922328,18.446,7.046,1.099,0.777,9.745,1,16,0.815918,14829
15,ramp,2.922813,2.933001,10.189,7.956,1.243,0.894,0.474,1,16,0.669434,16734
16,ramp,2.933294,2.954804,21.510,4.713,0.662,15.724,0.623,1,16,0.762695,9902
17,ramp,2.955104,2.957487,2.383,1.465,0.132,0.453,0.555,1,16,0.568359,2718
18,ramp,2.957773,2.963449,5.676,4.408,0.615,0.459,0.402,1,16,0.729980,9225
19,ramp,2.963705,2.971602,7.897,5.882,0.899,0.636,0.655,1,16,0.641113,12519
20,ramp,2.972059,2.978026,5.967,4.610,0.617,0.461,0.643,1,16,0.562500,9312
21,ramp,2.978431,2.983916,5.485,4.221,0.588,0.411,0.564,1,16,0.766602,8616
22,ramp,2.984776,3.013456,28.681,11.247,15.770,1.802,0.593,1,16,0.605469,23086
23,ramp,3.013789,3.020499,6.710,5.159,0.726,0.552,0.508,1,16,0.730469,10835
