Module                  Size  Used by
binfmt_misc            28672  1
mgc                    86016  1
lustre               1105920  13
mdc                   294912  5 lustre
fid                    36864  1 mdc
lov                   356352  11 mdc,lustre
osc                   479232  15 mdc
lmv                   221184  2 lustre
fld                    49152  2 lov,lmv
ptlrpc               1470464  8 fld,osc,fid,mgc,lov,mdc,lmv,lustre
obdclass             3366912  19 fld,osc,fid,ptlrpc,mgc,lov,mdc,lmv,lustre
ksocklnd              192512  1
kefalnd               143360  1
lnet                  802816  9 osc,obdclass,ptlrpc,mgc,ksocklnd,kefalnd,lmv,lustre
libcfs                217088  13 fld,lnet,osc,fid,obdclass,ptlrpc,mgc,ksocklnd,kefalnd,lov,mdc,lmv,lustre
sch_fq_codel           20480  33
nvidia_fs             262144  0
nvidia_uvm           1835008  0
mousedev               24576  0
nls_ascii              16384  1
nls_cp437              20480  1
atkbd                  40960  0
vfat                   24576  1
psmouse               143360  0
vivaldi_fmap           16384  1 atkbd
fat                    86016  1 vfat
libps2                 20480  2 atkbd,psmouse
efa                   131072  2
ib_uverbs             180224  1 efa
ena                   200704  0
ib_core               458752  3 efa,kefalnd,ib_uverbs
ghash_clmulni_intel    16384  0
i2c_piix4              28672  0
sunrpc                700416  2 lnet
i8042                  45056  0
serio                  28672  5 atkbd,psmouse,i8042
raid0                  24576  1
button                 24576  0
nvidia_drm            122880  0
nvidia_modeset       1732608  1 nvidia_drm
video                  69632  1 nvidia_modeset
wmi                    36864  1 video
nvidia              14704640  20 nvidia_uvm,nvidia_fs,nvidia_modeset
fuse                  184320  1
dm_mod                188416  0
loop                   36864  0
configfs               57344  1
dmi_sysfs              20480  0
simpledrm              20480  0
drm_shmem_helper       24576  1 simpledrm
drm_kms_helper        212992  8 nvidia_drm,simpledrm
cfbfillrect            16384  1 drm_kms_helper
syscopyarea            16384  1 drm_kms_helper
cfbimgblt              16384  1 drm_kms_helper
sysfillrect            16384  1 drm_kms_helper
sysimgblt              16384  1 drm_kms_helper
fb_sys_fops            16384  1 drm_kms_helper
cfbcopyarea            16384  1 drm_kms_helper
drm                   602112  6 drm_kms_helper,drm_shmem_helper,nvidia,nvidia_drm,simpledrm
i2c_core              110592  5 drm_kms_helper,nvidia,psmouse,i2c_piix4,drm
drm_panel_orientation_quirks    32768  1 drm
backlight              24576  3 video,drm,nvidia_modeset
crc32_pclmul           16384  0
fb                    110592  71 drm_kms_helper
crc32c_intel           24576  0
fbdev                  16384  1 fb
efivarfs               24576  1
