slide_id,elapsed_seconds,error
normal_108,0.299558,
normal_150,0.303691,
normal_122,0.315794,
normal_102,0.320207,
normal_119,0.319002,
normal_131,0.317442,
normal_116,0.321410,
normal_118,0.322316,
normal_140,0.318650,
normal_103,0.326263,
normal_115,0.325109,
normal_106,0.326876,
test_014,0.314218,
normal_135,0.323197,
normal_125,0.325712,
test_001,0.318966,
test_016,0.317676,
normal_159,0.321302,
normal_113,0.331041,
test_048,0.312023,
normal_130,0.329096,
test_055,0.311734,
normal_156,0.325241,
test_022,0.320452,
test_086,0.306724,
normal_110,0.336043,
normal_141,0.330625,
normal_123,0.334490,
test_094,0.308361,
normal_142,0.333190,
test_062,0.317223,
normal_117,0.339756,
normal_120,0.339637,
test_034,0.325833,
normal_136,0.338331,
normal_112,0.343908,
normal_153,0.336288,
normal_157,0.336166,
normal_149,0.338141,
test_065,0.323927,
normal_147,0.340997,
test_046,0.329294,
normal_148,0.341951,
normal_134,0.345165,
normal_114,0.351733,
normal_109,0.354842,
normal_100,0.357465,
normal_124,0.354175,
normal_137,0.354419,
normal_132,0.355435,
test_037,0.344074,
normal_006,0.375843,
normal_111,0.362015,
normal_026,0.374338,
test_089,0.336887,
normal_127,0.362681,
test_004,0.356091,
normal_151,0.359836,
normal_062,0.376243,
normal_077,0.375143,
normal_043,0.383731,
normal_058,0.383088,
normal_054,0.384521,
normal_013,0.389839,
normal_107,0.377976,
test_018,0.365654,
normal_068,0.386850,
normal_101,0.384334,
normal_104,0.384592,
test_008,0.372506,
normal_129,0.380935,
normal_022,0.398215,
test_012,0.377246,
normal_076,0.396017,
normal_057,0.401049,
normal_059,0.401284,
test_027,0.379008,
normal_030,0.412431,
test_078,0.374986,
normal_028,0.414796,
test_041,0.385654,
test_071,0.379582,
normal_047,0.417441,
normal_096,0.410294,
normal_072,0.416109,
normal_044,0.421038,
test_061,0.390458,
test_031,0.398719,
test_026,0.401211,
test_075,0.390472,
test_095,0.387488,
test_029,0.404156,
test_047,0.401093,
normal_155,0.412859,
test_058,0.400923,
normal_146,0.417753,
test_044,0.406801,
normal_158,0.417215,
test_063,0.404739,
test_042,0.411482,
normal_126,0.428896,
test_092,0.403645,
normal_139,0.429622,
normal_138,0.431853,
normal_152,0.430585,
normal_105,0.441558,
normal_143,0.436023,
test_019,0.430693,
test_073,0.420327,
normal_133,0.443489,
test_080,0.422091,
test_098,0.419887,
test_084,0.424608,
test_066,0.430269,
test_033,0.439813,
normal_121,0.455992,
test_079,0.432761,
test_077,0.435264,
normal_128,0.460293,
test_069,0.440286,
normal_160,0.456776,
test_028,0.453163,
normal_144,0.463129,
normal_001,0.486938,
normal_017,0.485981,
normal_009,0.488618,
normal_016,0.489339,
normal_154,0.469056,
normal_042,0.489236,
normal_049,0.491152,
normal_011,0.497472,
normal_019,0.497315,
normal_031,0.497320,
normal_036,0.497907,
normal_032,0.499753,
normal_053,0.499105,
normal_064,0.498638,
normal_004,0.506392,
normal_015,0.506070,
normal_039,0.505865,
normal_070,0.503939,
normal_002,0.514279,
normal_075,0.506379,
test_030,0.486803,
test_024,0.489614,
normal_008,0.519459,
normal_024,0.519492,
normal_090,0.512870,
normal_035,0.521697,
normal_065,0.519780,
normal_014,0.527399,
normal_038,0.526853,
normal_025,0.529239,
normal_087,0.522566,
normal_003,0.535185,
normal_050,0.531471,
normal_078,0.529479,
test_017,0.512562,
normal_098,0.529089,
normal_045,0.538107,
normal_033,0.540739,
normal_089,0.534714,
test_043,0.512720,
test_035,0.515587,
normal_071,0.540480,
normal_092,0.538230,
normal_010,0.550002,
test_112,0.208518,
test_099,0.238177,
normal_085,0.542366,
normal_079,0.543640,
normal_034,0.550810,
test_054,0.518836,
test_002,0.530348,
test_025,0.526580,
normal_082,0.546460,
normal_007,0.555973,
normal_145,0.536257,
test_023,0.529450,
normal_052,0.553518,
normal_067,0.551768,
test_039,0.527497,
tumor_005,0.200179,
normal_073,0.552057,
normal_046,0.556176,
normal_099,0.548636,
test_091,0.517711,
tumor_027,0.178499,
normal_063,0.555393,
normal_081,0.552946,
normal_074,0.554967,
normal_037,0.560034,
normal_088,0.553419,
test_040,0.532120,
test_020,0.536795,
normal_051,0.560050,
normal_020,0.563587,
normal_056,0.560248,
normal_012,0.565257,
normal_060,0.560283,
test_129,0.211592,
test_003,0.542441,
tumor_091,0.082965,
test_068,0.529174,
normal_066,0.561443,
normal_021,0.566937,
test_007,0.543861,
normal_018,0.567825,
normal_061,0.563419,
test_059,0.533192,
normal_040,0.566636,
test_057,0.534413,
test_010,0.544997,
test_045,0.537747,
normal_094,0.560217,
test_067,0.533464,
test_015,0.545400,
test_051,0.537466,
normal_029,0.570358,
test_096,0.528434,
normal_080,0.564245,
normal_005,0.573903,
test_056,0.537881,
test_074,0.534396,
normal_095,0.563239,
normal_093,0.563881,
