slide_id,elapsed_seconds,error
normal_001,0.021433,
normal_005,0.021306,
normal_006,0.021619,
normal_008,0.021653,
normal_002,0.022998,
normal_004,0.023051,
normal_003,0.025705,
normal_007,0.025642,
normal_009,0.015336,
normal_010,0.016156,
normal_012,0.015861,
normal_013,0.015656,
normal_014,0.016057,
normal_011,0.017730,
normal_016,0.022204,
normal_015,0.023527,
normal_017,0.015420,
normal_018,0.015116,
normal_019,0.015112,
normal_020,0.015082,
normal_021,0.015071,
normal_022,0.016447,
normal_025,0.016377,
normal_027,0.015847,
normal_023,0.021268,
normal_028,0.016177,
normal_026,0.017209,
normal_029,0.016155,
normal_030,0.015982,
normal_024,0.023975,
normal_031,0.016775,
normal_032,0.016283,
normal_036,0.016306,
normal_035,0.017034,
normal_034,0.017602,
normal_037,0.015668,
normal_033,0.022448,
normal_038,0.020101,
normal_039,0.016244,
normal_040,0.016784,
normal_044,0.015496,
normal_043,0.016369,
normal_041,0.017591,
normal_042,0.018221,
normal_045,0.016062,
normal_046,0.015157,
normal_047,0.015459,
normal_048,0.015995,
normal_049,0.015451,
normal_050,0.016297,
normal_051,0.016149,
normal_052,0.017511,
normal_054,0.015414,
normal_053,0.016426,
normal_055,0.015346,
normal_057,0.015228,
normal_056,0.016288,
normal_059,0.015210,
normal_058,0.017227,
normal_060,0.016544,
normal_062,0.015562,
normal_061,0.016155,
normal_063,0.015858,
normal_064,0.017106,
normal_065,0.017930,
normal_066,0.017059,
normal_067,0.017227,
normal_069,0.016152,
normal_070,0.016147,
normal_068,0.017847,
normal_071,0.014527,
normal_072,0.016272,
normal_074,0.018079,
normal_073,0.018681,
normal_075,0.017192,
normal_077,0.016167,
normal_078,0.016035,
normal_076,0.017977,
normal_079,0.016706,
normal_080,0.016030,
normal_082,0.015664,
normal_083,0.015452,
normal_081,0.016604,
normal_084,0.015557,
normal_085,0.015645,
normal_087,0.016327,
normal_088,0.016152,
normal_089,0.016171,
normal_090,0.015212,
normal_092,0.015593,
normal_091,0.016508,
normal_093,0.015857,
normal_094,0.018391,
normal_095,0.019454,
normal_096,0.016885,
normal_101,0.008842,
normal_102,0.007738,
normal_103,0.005902,
normal_097,0.018158,
normal_104,0.006324,
normal_105,0.006993,
normal_098,0.018521,
normal_099,0.018186,
normal_106,0.006559,
normal_100,0.018288,
normal_107,0.006260,
normal_108,0.005447,
normal_109,0.006453,
normal_110,0.006540,
normal_111,0.006732,
normal_112,0.006545,
normal_115,0.005819,
normal_113,0.006757,
normal_116,0.005519,
normal_117,0.006314,
normal_114,0.009879,
normal_118,0.005975,
normal_119,0.006385,
normal_123,0.005444,
normal_122,0.005931,
normal_121,0.006777,
normal_120,0.007386,
normal_125,0.005678,
normal_124,0.006261,
normal_127,0.005788,
normal_126,0.007354,
normal_128,0.006315,
normal_129,0.006334,
normal_130,0.006225,
normal_131,0.006276,
