TIMESTAMP                   CATEGORY  SEVERITY  TYPE               ENTITY                            DESCRIPTION
2026-08-22T21:13:39.259898  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 30 times until "2026-Aug-22 21:13:12.9686716".
2026-08-22T20:38:39.319709  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 210 times until "2026-Aug-22 20:37:13.0280244".
2026-08-22T20:08:39.372001  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 181 times until "2026-Aug-22 20:08:13.0798168".
2026-08-22T19:38:39.422858  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 151 times until "2026-Aug-22 19:38:13.1317657".
2026-08-22T19:08:09.475949  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 120 times until "2026-Aug-22 19:07:13.1844581".
2026-08-22T18:38:09.52709   Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 90 times until "2026-Aug-22 18:37:13.2361495".
2026-08-22T18:07:39.581914  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 60 times until "2026-Aug-22 18:07:13.2890151".
2026-08-22T17:37:39.631424  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 30 times until "2026-Aug-22 17:37:13.3404107".
2026-08-22T17:02:39.69465   Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 46 times until "2026-Aug-22 17:01:13.3997397".
2026-08-22T16:45:39.720468  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 30 times until "2026-Aug-22 16:45:13.4293239".
2026-08-22T16:10:39.780953  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 25 times until "2026-Aug-22 16:09:13.4909618".
2026-08-22T15:35:39.840948  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 25 times until "2026-Aug-22 15:34:13.5510988".
2026-08-22T15:04:39.895885  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 4 times until "2026-Aug-22 15:03:13.6047453".
2026-08-22T14:53:39.913561  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 8 times until "2026-Aug-22 14:52:13.6231989".
2026-08-22T14:39:39.939887  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 11 times until "2026-Aug-22 14:38:13.6459232".
2026-08-22T14:16:39.976813  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 2 times until "2026-Aug-22 14:15:13.6847288".
2026-08-22T14:08:39.990955  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 2 times until "2026-Aug-22 14:07:13.7000614".
2026-08-22T13:56:40.011449  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 10 times until "2026-Aug-22 13:55:13.7225298".
2026-08-22T13:40:40.038863  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 59 times until "2026-Aug-22 13:39:13.7465616".
2026-08-22T13:10:40.091452  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 30 times until "2026-Aug-22 13:10:13.7981921".
2026-08-22T12:34:40.153555  Events    INFO      EventsDedupReport  Backend                           Event "GcTooManyScans" with hash 1338870898 was deduped 4 times until "2026-Aug-22 12:33:13.8627118".
