slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,2,0.000010,9373,256,30.210,33200.416,52.564,1714.430,34997.619,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5555558
1,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,2,34.997896,7989,256,42.756,28445.573,0.569,1257.456,29746.353,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,5882454
2,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,2,64.744383,11161,256,50.710,40053.830,0.721,2813.881,42919.142,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,7403828
3,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,2,107.663677,4797,256,21.218,17503.347,0.713,1105.325,18630.603,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3663629
4,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,2,126.294411,6044,256,22.757,22161.870,0.640,1466.460,23651.727,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,4237365
5,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,2,149.946275,3413,256,16.003,12516.689,0.587,493.636,13026.915,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2551264
6,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,2,162.973321,2205,256,11.168,8039.680,0.611,298.890,8350.349,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1617016
7,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,2,171.323801,3734,256,15.715,13817.628,0.673,514.822,14348.838,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2668503
8,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,2,185.672768,2024,256,9.249,7564.906,0.709,850.866,8425.729,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1775277
9,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,2,194.098616,10735,256,40.541,39604.093,0.720,2544.698,42190.051,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-212700-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,7018965
