slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,2,0.000012,9373,256,32.613,33357.198,52.456,1716.839,35159.105,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5699991
1,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,2,35.159264,7989,256,43.850,28556.951,0.582,1261.205,29862.588,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,5989409
2,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,2,65.021991,11161,256,46.217,40368.537,0.722,2813.738,43229.213,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,7473287
3,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,2,108.251360,4797,256,21.142,17686.429,0.771,1106.039,18814.382,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3397035
4,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,2,127.065882,6044,256,26.109,22057.647,0.653,1468.282,23552.691,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,3805435
5,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,2,150.618716,3413,256,15.721,12445.091,0.558,502.028,12963.397,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2768276
6,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,2,163.582241,2205,256,9.259,7999.246,0.584,304.609,8313.699,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1448499
7,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,2,171.896074,3734,256,14.456,13787.556,0.571,516.809,14319.392,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2410469
8,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,2,186.215591,2024,256,8.720,7545.332,0.652,855.515,8410.218,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1914586
9,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,2,194.625938,10735,256,40.650,39451.246,0.694,2521.846,42014.435,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc0/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,6133545
0,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1,2,0.000006,11520,256,36.573,41480.926,46.231,1653.282,43217.012,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc1/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,7308920
1,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1,2,43.217187,26624,256,146.319,98667.952,1.959,2957.969,101774.199,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc1/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,15186425
2,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,1,2,144.991551,19432,256,75.949,73528.559,1.416,3047.113,76653.036,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc1/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,10806579
3,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,1,2,221.644745,6253,256,27.147,23671.429,2.875,974.439,24675.889,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-22-213553-weka-s7-smoke-concurrent-N2/heatmaps/proc1/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,3903460
