slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000007,9373,256,124.964,34475.020,55.385,1716.311,36371.681,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5722295
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,36.372176,11520,256,68.573,42337.716,1.182,1652.007,44059.478,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,7422375
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,80.431867,7989,256,34.505,30076.218,0.597,1264.324,31375.644,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,6410056
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,111.807734,26624,256,135.867,99843.716,1.917,2942.370,102923.870,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,13856016
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,214.731842,11161,256,43.817,41886.537,0.806,2834.734,44765.894,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,7665070
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,259.498203,19432,256,78.941,73284.335,1.382,3124.184,76488.842,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,11278823
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,335.987270,4797,256,22.853,18250.180,0.768,1115.123,19388.924,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3361031
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,355.376409,6253,256,27.849,23277.499,0.640,959.437,24265.425,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,3499359
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,379.642050,6044,256,25.607,22610.158,0.764,1471.565,24108.094,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,3672287
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,403.750371,2177,256,10.751,8251.254,0.626,1869.174,10131.805,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,1791941
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,413.882393,3413,256,14.748,12770.932,0.644,499.397,13285.721,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2834781
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,427.168314,4311,256,18.759,16180.995,0.955,1360.570,17561.280,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,3017698
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,444.729787,2205,256,11.248,8265.920,0.714,293.714,8571.595,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1475146
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,453.301569,1988,256,10.458,7671.335,0.650,284.536,7966.978,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,1291925
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,461.268729,3734,256,18.422,14145.767,0.651,516.078,14680.918,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2400831
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,475.949835,1606,256,9.408,6257.559,0.626,283.611,6551.205,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,1283088
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,482.501224,2024,256,9.656,7770.714,0.657,848.833,8629.859,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1764012
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,491.131259,4478,256,19.719,17007.265,0.597,820.367,17847.948,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,3346734
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,1,508.979427,10735,256,43.939,40426.468,0.803,2523.032,42994.242,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,6336290
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0,1,551.974127,6236,256,28.036,23785.077,0.623,1599.040,25412.776,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F.tiff,3962085
20,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,0,1,577.387114,18572,256,80.893,71141.981,1.359,3060.282,74284.515,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC.tiff,10645912
21,TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,0,1,651.672024,8980,256,40.710,33603.775,0.600,1454.362,35099.447,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B.tiff,5767407
22,TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,0,1,686.771700,9856,256,41.164,37191.636,0.638,1733.626,38967.064,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD.tiff,6781975
23,TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,0,1,725.738989,14876,256,61.687,56835.107,1.039,2996.920,59894.754,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468.tiff,9867782
24,TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,0,1,785.633972,5213,256,25.591,19656.125,0.657,928.225,20610.598,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9.tiff,3205304
25,TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,0,1,806.245057,13502,256,56.839,51079.453,0.923,3016.055,54153.269,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8.tiff,8824049
26,TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,0,1,860.398551,10086,256,43.854,38645.970,0.706,1666.720,40357.251,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38.tiff,6503304
27,TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,0,1,900.756055,22889,256,97.143,86982.576,1.640,3006.431,90087.790,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF.tiff,12848770
28,TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB,0,1,990.844065,25271,256,108.329,93847.491,1.833,2539.740,96497.392,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB.tiff,13466471
29,TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70,0,1,1087.341675,14377,256,64.011,53848.775,1.007,2492.912,56406.705,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70.tiff,9703958
30,TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E,0,1,1143.748589,5319,256,24.976,20655.285,0.644,2230.872,22911.778,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E.tiff,5836063
31,TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788,0,1,1166.660582,7912,256,35.188,29521.213,0.850,1863.805,31421.056,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788.tiff,6807164
32,TCGA-BH-A0HQ-01Z-00-DX1.0921FCEF-20A2-4D4B-A198-91AF9F6C814C,0,1,1198.081853,12548,256,51.196,46953.988,1.574,1809.978,48816.735,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-BH-A0HQ-01Z-00-DX1.0921FCEF-20A2-4D4B-A198-91AF9F6C814C.tiff,8060386
33,TCGA-BH-A0W5-01Z-00-DX1.84EA3913-667B-4694-A0F0-E629CAC615C8,0,1,1246.898805,13459,256,54.632,50116.150,0.949,2335.449,52507.180,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-BH-A0W5-01Z-00-DX1.84EA3913-667B-4694-A0F0-E629CAC615C8.tiff,9052314
34,TCGA-C8-A26V-01Z-00-DX1.6E86DF74-D575-4969-8142-963D9DF5208F,0,1,1299.406206,9195,256,43.155,34555.258,0.703,1049.631,35648.746,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-C8-A26V-01Z-00-DX1.6E86DF74-D575-4969-8142-963D9DF5208F.tiff,5728517
35,TCGA-C8-A275-01Z-00-DX1.44D27E67-4DD6-4893-B38A-01E48F5A358A,0,1,1335.055160,12354,256,50.261,46603.319,0.862,1296.945,47951.387,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-C8-A275-01Z-00-DX1.44D27E67-4DD6-4893-B38A-01E48F5A358A.tiff,6711130
36,TCGA-C8-A8HR-01Z-00-DX1.8E841CA8-1CE2-4242-AC5A-3247075CF8F4,0,1,1383.006767,5410,256,25.809,20724.043,0.606,616.018,21366.475,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-C8-A8HR-01Z-00-DX1.8E841CA8-1CE2-4242-AC5A-3247075CF8F4.tiff,3079263
37,TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D,0,1,1404.373470,8616,256,36.287,32039.636,0.662,1155.751,33232.337,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D.tiff,5786095
38,TCGA-D8-A1JM-01Z-00-DX1.3CD15BC8-08B3-4BEE-9FD7-A8BEED33268E,0,1,1437.606063,11874,256,51.769,44044.743,0.748,1403.801,45501.061,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-D8-A1JM-01Z-00-DX1.3CD15BC8-08B3-4BEE-9FD7-A8BEED33268E.tiff,6701931
39,TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46,0,1,1483.107354,15831,256,65.507,58513.611,1.141,3889.359,62469.618,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46.tiff,10752452
40,TCGA-D8-A1XV-01Z-00-DX2.D1988E01-5FDC-4F50-8183-F0CCE74D0CB2,0,1,1545.577198,11410,256,48.189,43098.084,0.772,1715.650,44862.696,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-D8-A1XV-01Z-00-DX2.D1988E01-5FDC-4F50-8183-F0CCE74D0CB2.tiff,7342472
41,TCGA-E2-A15E-06Z-00-DX1.D394A007-91A2-4445-9B4A-1629EE684A51,0,1,1590.440134,16165,256,68.782,61546.946,1.144,2865.595,64482.466,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-E2-A15E-06Z-00-DX1.D394A007-91A2-4445-9B4A-1629EE684A51.tiff,11234857
42,TCGA-E2-A15J-01Z-00-DX1.BF7901D1-30B1-4A76-B0A5-E9B8B36EF4C9,0,1,1654.922831,15013,256,62.791,56980.710,1.058,2272.809,59317.369,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-E2-A15J-01Z-00-DX1.BF7901D1-30B1-4A76-B0A5-E9B8B36EF4C9.tiff,10068663
43,TCGA-E2-A15K-01Z-00-DX1.9F424BE2-9BFE-4DFF-8CC9-10D2DADBBEA7,0,1,1714.240425,5719,256,25.477,22129.134,0.645,1505.000,23660.256,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-E2-A15K-01Z-00-DX1.9F424BE2-9BFE-4DFF-8CC9-10D2DADBBEA7.tiff,4999988
44,TCGA-E9-A1N8-01Z-00-DX1.1243AB1C-75A3-4A5E-9674-53992E6DD377,0,1,1737.900901,11469,256,48.050,43399.686,0.771,1627.699,45076.206,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-E9-A1N8-01Z-00-DX1.1243AB1C-75A3-4A5E-9674-53992E6DD377.tiff,7825463
45,TCGA-E9-A1RD-01Z-00-DX1.34083668-cbd2-4610-b857-d50ee9f3e5bd,0,1,1782.977335,8753,256,39.475,32741.936,0.635,1145.908,33927.953,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-E9-A1RD-01Z-00-DX1.34083668-cbd2-4610-b857-d50ee9f3e5bd.tiff,4767453
46,TCGA-GM-A2DN-01Z-00-DX1.593003B0-BA87-486B-B472-D6B85867D54D,0,1,1816.905508,10425,256,42.505,40000.465,0.653,1843.421,41887.045,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-GM-A2DN-01Z-00-DX1.593003B0-BA87-486B-B472-D6B85867D54D.tiff,7509565
47,TCGA-PE-A5DC-01Z-00-DX1.8E6953AD-C14A-43F5-B062-E31AB13C7BDF,0,1,1858.792767,6251,256,28.570,23552.442,0.689,1020.128,24601.829,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-PE-A5DC-01Z-00-DX1.8E6953AD-C14A-43F5-B062-E31AB13C7BDF.tiff,3873309
48,TCGA-S3-AA12-01Z-00-DX1.2A991B9F-E7E6-410B-B0BF-635E3CC40C7E,0,1,1883.394820,19501,256,85.178,73515.667,1.428,2325.359,75927.632,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-S3-AA12-01Z-00-DX1.2A991B9F-E7E6-410B-B0BF-635E3CC40C7E.tiff,10734064
49,TCGA-Z7-A8R6-01Z-00-DX1.CE4ED818-D762-4324-9DEA-2ACB38B9B0B9,0,1,1959.322682,16460,256,69.899,61556.520,1.135,2166.956,63794.509,cucim_batched_cpu,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.a-cucim-virchow2-cold/TCGA-Z7-A8R6-01Z-00-DX1.CE4ED818-D762-4324-9DEA-2ACB38B9B0B9.tiff,9796476
