slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,tiff5x,5552298,34.437582,36.157258,1719.675
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,tiff5x,6481432,78.272241,79.916020,1643.778
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,tiff5x,5667138,109.466533,110.727544,1261.011
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,tiff5x,12127249,210.483773,213.415077,2931.303
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,tiff5x,6706972,254.681873,257.495280,2813.406
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,tiff5x,11231951,330.413834,333.530150,3116.315
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,tiff5x,3226261,351.711079,352.824061,1112.980
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,tiff5x,4051119,376.365473,377.326588,961.115
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,tiff5x,3689604,400.031972,401.505708,1473.736
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,tiff5x,1785274,409.861395,411.730317,1868.921
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,tiff5x,2615841,424.704965,425.203595,498.629
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,tiff5x,3319928,441.497318,442.909428,1412.109
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,tiff5x,1634647,451.284349,451.577529,293.180
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,tiff5x,1423114,459.282718,459.566926,284.207
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,tiff5x,2504949,473.840729,474.361250,520.521
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,tiff5x,1386729,480.639409,480.920451,281.041
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,tiff5x,1835101,488.783704,489.661257,877.553
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,tiff5x,3506987,507.054299,507.869698,815.398
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,tiff5x,6318836,548.775137,551.318173,2543.035
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,tiff5x,3882572,575.042947,576.653168,1610.221
20,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,tiff5x,11082486,646.515859,649.549119,3033.259
21,TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,tiff5x,5050905,684.041025,685.491463,1450.437
22,TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,tiff5x,6678220,723.350604,725.088830,1738.225
23,TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,tiff5x,8571797,782.055417,785.048210,2992.792
24,TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,tiff5x,3253226,804.938051,805.859392,921.340
25,TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,tiff5x,8905233,856.363144,859.376221,3013.076
26,TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,tiff5x,6122917,897.166457,898.816800,1650.343
27,TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,tiff5x,10976972,985.731958,988.746204,3014.245
28,TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB,tiff5x,12545192,1084.479637,1087.046579,2566.941
29,TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70,tiff5x,9432464,1141.217340,1143.708453,2491.112
