slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000012,9373,256,30.656,34352.098,54.813,1719.675,36157.242,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5552298
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,36.157473,11520,256,63.666,42049.937,1.162,1643.778,43758.543,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,6481432
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,79.916448,7989,256,31.665,29517.798,0.620,1261.011,30811.094,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,5667138
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,110.727761,26624,256,138.327,99615.761,1.921,2931.303,102687.312,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,12127249
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,213.415292,11161,256,48.813,41216.982,0.784,2813.406,44079.986,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,6706972
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,257.495496,19432,256,79.184,72837.764,1.388,3116.315,76034.652,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,11231951
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,333.530393,4797,256,22.595,18157.338,0.752,1112.980,19293.666,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3226261
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,352.824270,6253,256,24.862,23515.688,0.651,961.115,24502.316,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,4051119
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,377.326797,6044,256,25.338,22679.097,0.737,1473.736,24178.908,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,3689604
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,401.505926,2177,256,10.119,8344.711,0.638,1868.921,10224.389,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,1785274
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,411.730746,3413,256,14.198,12959.382,0.637,498.629,13472.846,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2615841
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,425.203780,4311,256,21.832,16270.857,0.848,1412.109,17705.646,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,3319928
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,442.909614,2205,256,10.465,8363.584,0.685,293.180,8667.914,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1634647
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,451.577719,1988,256,9.903,7694.382,0.712,284.207,7989.204,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,1423114
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,459.567113,3734,256,18.276,14254.679,0.658,520.521,14794.135,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2504949
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,474.361432,1606,256,9.518,6267.289,1.168,281.041,6559.015,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,1386729
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,480.920648,2024,256,10.832,7851.532,0.690,877.553,8740.607,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1835101
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,489.661446,4478,256,18.244,17374.029,0.579,815.398,18208.250,cucim_batched_cpu,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.b-cucim-virchow2-warm/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,3506987
