slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,tiff5x,5077332,34.314535,36.032817,1718.281
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,tiff5x,7146286,78.485186,80.134286,1649.099
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,tiff5x,5928486,109.992113,111.253768,1261.654
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,tiff5x,15099877,210.528229,213.456643,2928.413
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,tiff5x,7881059,255.329290,258.149854,2820.563
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,tiff5x,11408253,331.362782,334.487724,3124.941
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,tiff5x,3290318,352.385182,353.500340,1115.157
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,tiff5x,4068696,376.682649,377.649214,966.565
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,tiff5x,3741543,400.233094,401.695758,1462.663
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,tiff5x,1944671,409.924851,411.786529,1861.678
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,tiff5x,2498439,424.642105,425.144965,502.860
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,tiff5x,3248676,441.147182,442.523059,1375.876
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,tiff5x,1549891,450.571747,450.873414,301.666
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,tiff5x,1426321,458.275667,458.563976,288.309
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,tiff5x,2555777,472.391712,472.912601,520.889
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,tiff5x,1264151,478.879836,479.165757,285.920
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,tiff5x,1697731,486.656726,487.517939,861.212
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,tiff5x,3105435,504.168338,504.986874,818.536
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,tiff5x,6298860,544.452359,546.977830,2525.470
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,tiff5x,3998398,570.169028,571.762840,1593.811
20,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,tiff5x,11433386,641.340674,644.374170,3033.496
21,TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,tiff5x,5271696,677.277829,678.728561,1450.732
22,TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,tiff5x,6879349,715.176590,716.915156,1738.566
23,TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,tiff5x,10104254,771.863563,774.839847,2976.283
24,TCGA-AR-A2LE-01Z-00-DX1.E8E1FC5C-9A4A-463F-81D7-E9A8AF43EAD9,tiff5x,3556682,794.356670,795.287068,930.398
25,TCGA-AR-A2LN-01Z-00-DX1.3EF43524-28B8-4326-9356-6BCBC63A1DA8,tiff5x,8758361,846.017082,849.018112,3001.029
26,TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,tiff5x,6940926,886.160788,887.813237,1652.448
27,TCGA-B6-A0IH-01Z-00-DX1.3463B12E-D1B0-4FB2-B257-BFD63BA2B6BF,tiff5x,12527896,972.611845,975.624834,3012.988
28,TCGA-B6-A0WW-01Z-00-DX1.64048633-1D1A-4074-8C50-7641159355DB,tiff5x,13372243,1070.429057,1072.960456,2531.397
29,TCGA-BH-A0BS-01Z-00-DX1.FEE32127-4D0B-4560-A39C-4EAA5B189B70,tiff5x,8430097,1127.573614,1130.068414,2494.799
30,TCGA-BH-A0DX-01Z-00-DX1.45C27E71-9A0A-400E-93A9-5CE7780F3C5E,tiff5x,5770196,1149.983542,1152.222454,2238.911
31,TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788,tiff5x,6619120,1182.003921,1183.873397,1869.474
32,TCGA-BH-A0HQ-01Z-00-DX1.0921FCEF-20A2-4D4B-A198-91AF9F6C814C,tiff5x,8377687,1231.650029,1233.467678,1817.648
