slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000006,9373,256,30.485,34231.856,52.185,1718.281,36032.807,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5077332
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,36.032969,11520,256,64.292,42386.927,0.995,1649.099,44101.314,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,7146286
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,80.134453,7989,256,32.238,29824.858,0.562,1261.654,31119.313,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,5928486
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,111.253920,26624,256,134.668,99137.709,1.932,2928.413,102202.721,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,15099877
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,213.456821,11161,256,44.971,41826.752,0.745,2820.563,44693.031,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,7881059
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,258.150016,19432,256,80.778,73130.593,1.392,3124.941,76337.705,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,11408253
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,334.487888,4797,256,23.122,17873.519,0.651,1115.157,19012.450,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3290318
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,353.500497,6253,256,25.820,23155.723,0.607,966.565,24148.715,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,4068696
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,377.649359,6044,256,25.167,22557.919,0.647,1462.663,24046.396,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,3741543
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,401.695899,2177,256,11.925,8216.464,0.560,1861.678,10090.627,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,1944671
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,411.786663,3413,256,16.280,12838.565,0.594,502.860,13358.300,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2498439
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,425.145108,4311,256,18.757,15982.523,0.792,1375.876,17377.948,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,3248676
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,442.523195,2205,256,12.271,8035.695,0.585,301.666,8350.217,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1549891
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,450.873640,1988,256,12.118,7389.323,0.584,288.309,7690.334,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,1426321
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,458.564138,3734,256,19.607,13807.385,0.580,520.889,14348.461,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2555777
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,472.912734,1606,256,8.759,5957.787,0.555,285.920,6253.020,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,1264151
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,479.165896,2024,256,12.023,7478.226,0.579,861.212,8352.040,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1697731
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,487.518079,4478,256,19.064,16630.593,0.600,818.536,17468.793,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,3105435
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,1,504.987011,10735,256,45.890,39418.729,0.727,2525.470,41990.816,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,6298860
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0,1,546.978015,6236,256,28.353,23162.068,0.590,1593.811,24784.822,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F.tiff,3998398
20,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,0,1,571.762986,18572,256,77.514,69498.877,1.293,3033.496,72611.180,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC.tiff,11433386
21,TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,0,1,644.374334,8980,256,40.494,32862.447,0.551,1450.732,34354.224,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B.tiff,5271696
22,TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,0,1,678.728708,9856,256,40.212,36407.024,0.643,1738.566,38186.445,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD.tiff,6879349
23,TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,0,1,716.915317,14876,256,62.234,54884.928,1.082,2976.283,57924.528,kvikio,virchow2,cold,true,tiff5x,/mnt/weka/heatmaps/7.1/7.1.c-kvikio-virchow2-cold/TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468.tiff,10104254
