slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,tiff5x,5993046,34.933496,36.649343,1715.846
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,tiff5x,6818193,79.741083,81.390355,1649.271
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,tiff5x,5425071,111.193229,112.457674,1264.444
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,tiff5x,14604892,212.274795,215.212684,2937.889
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,tiff5x,7403322,256.090355,258.909440,2819.084
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,tiff5x,11794189,330.403720,333.532365,3128.644
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,tiff5x,3451348,351.658334,352.783616,1125.281
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,tiff5x,3706213,376.721168,377.683355,962.186
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,tiff5x,3301144,400.234955,401.709625,1474.670
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,tiff5x,1713465,409.790378,411.654627,1864.249
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,tiff5x,2544895,424.311934,424.810121,498.187
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,tiff5x,3066247,440.822055,442.186221,1364.165
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,tiff5x,1335405,450.304108,450.601808,297.699
