slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000005,9373,256,29.436,34851.913,52.139,1715.846,36649.333,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5993046
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,36.649496,11520,256,62.580,43027.976,1.029,1649.271,44740.856,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,6818193
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,81.390844,7989,256,31.227,29770.573,0.583,1264.444,31066.828,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,5425071
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,112.457816,26624,256,132.742,99682.378,1.858,2937.889,102754.866,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,14604892
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,215.212845,11161,256,44.681,40832.108,0.719,2819.084,43696.592,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,7403322
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,258.909756,19432,256,76.668,71415.879,1.415,3128.644,74622.606,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,11794189
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,333.532522,4797,256,25.966,18099.178,0.666,1125.281,19251.092,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3451348
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,352.783762,6253,256,25.970,23910.819,0.617,962.186,24899.591,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,3706213
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,377.683499,6044,256,28.590,22522.207,0.657,1474.670,24026.124,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,3301144
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,401.709772,2177,256,9.899,8070.164,0.541,1864.249,9944.854,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,1713465
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,411.654768,3413,256,14.209,12642.392,0.563,498.187,13155.350,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2544895
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,424.810262,4311,256,18.045,15993.019,0.727,1364.165,17375.956,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,3066247
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,442.186355,2205,256,10.176,8106.995,0.580,297.699,8415.450,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1335405
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,450.601944,1988,256,10.754,7451.888,0.578,286.577,7749.797,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,1401588
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,458.351880,3734,256,18.940,13873.829,0.582,516.559,14409.909,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2587279
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,472.761934,1606,256,7.689,5984.636,0.552,288.735,6281.611,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,1416078
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,479.043693,2024,256,10.624,7453.455,0.590,857.587,8322.255,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1800078
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,487.366091,4478,256,21.150,16735.259,0.606,829.938,17586.952,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,3538456
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,1,504.953470,10735,256,47.603,40650.017,0.695,2560.541,43258.856,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,6905740
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0,1,548.212501,6236,256,29.921,23001.840,0.580,1615.357,24647.699,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F.tiff,3504384
20,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,0,1,572.860357,18572,256,80.511,68204.292,1.334,3037.704,71323.841,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC.tiff,11649122
21,TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,0,1,644.184356,8980,256,42.559,33657.373,0.581,1457.764,35158.277,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.d-kvikio-virchow2-warm/TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B.tiff,5514205
