slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000006,9373,256,28.618,41744.481,18.670,1718.853,43510.621,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,6349262
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,43.510849,11520,256,40.481,52340.284,1.206,1645.767,54027.737,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,7518902
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,97.538804,7989,256,35.494,36106.850,0.616,1256.801,37399.762,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,6251338
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,134.938786,26624,256,105.371,118710.638,2.257,2929.725,121747.991,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,16127888
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,256.687013,11161,256,46.211,51254.270,0.935,2812.397,54113.814,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,8179813
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,310.801052,19432,256,81.527,89140.561,1.718,3014.470,92238.275,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,12252603
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,403.039548,4797,256,25.338,22265.390,0.847,1114.391,23405.966,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3537521
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,426.445735,6253,256,28.601,28420.495,0.647,999.341,29449.084,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,4282333
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,455.895058,6044,256,28.994,27269.795,0.732,1464.419,28763.940,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,4122848
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,484.659200,2177,256,10.112,9942.375,0.642,1866.478,11819.608,cucim_batched_cpu,gigapath,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.e-cucim-gigapath-warm/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,2026991
