slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000006,9373,256,31.037,33798.132,48.206,1713.113,35590.488,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5718501
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,35.590723,11520,256,65.911,42150.502,1.203,1647.872,43865.489,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,7644692
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,79.456430,7989,256,35.617,30338.844,0.625,1263.681,31638.767,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,6518748
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,111.095427,26624,256,136.901,95513.888,2.236,2950.443,98603.468,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,15285709
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,209.699115,11161,256,49.289,40575.108,0.931,2820.015,43445.343,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,7823672
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,253.144684,19432,256,82.796,73022.660,1.667,3134.130,76241.254,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,12370958
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,329.386167,4797,256,25.952,17594.231,0.824,1115.343,18736.351,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3717650
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,348.122739,6253,256,30.022,22736.012,0.644,958.157,23724.834,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,4181497
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,371.847780,6044,256,25.086,21987.722,0.811,1586.568,23600.186,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,4408689
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,395.448187,2177,256,11.568,8087.402,0.651,1872.432,9972.053,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,2126500
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,405.420434,3413,256,17.372,12535.488,0.635,494.435,13047.931,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,2432605
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,418.468543,4311,256,19.916,15959.637,0.643,1369.457,17349.654,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,3190083
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,435.818380,2205,256,11.846,8194.480,0.689,293.989,8501.004,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.tiff,1603464
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,444.319585,1988,256,11.058,7537.009,0.637,287.216,7835.921,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.tiff,1621294
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,452.155703,3734,256,19.634,13886.206,0.662,517.671,14424.173,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.tiff,2641774
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,466.580063,1606,256,10.174,6059.325,0.634,280.223,6350.356,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.tiff,1235573
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,472.930602,2024,256,11.162,7526.750,0.680,858.585,8397.177,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.tiff,1837468
17,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,0,1,481.327973,4478,256,20.224,16566.866,0.608,818.946,17406.644,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C.tiff,3686343
18,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,0,1,498.734834,10735,256,47.268,39804.079,0.838,2552.549,42404.734,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD.tiff,7173380
19,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,0,1,541.139953,6236,256,24.461,23930.056,0.634,1599.179,25554.331,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F.tiff,4471092
20,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,0,1,566.694502,18572,256,74.723,68917.412,1.662,3030.225,72024.021,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC.tiff,11218411
21,TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B,0,1,638.718738,8980,256,45.390,33166.606,0.714,1467.267,34679.977,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-AR-A0U1-01Z-00-DX1.276433E7-E841-42D2-AF21-762F2FEA3B9B.tiff,6229884
22,TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,0,1,673.398937,9856,256,44.861,35786.530,0.746,1735.152,37567.290,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD.tiff,7594250
23,TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,0,1,710.966450,14876,256,58.711,54814.395,1.342,2967.889,57842.337,cucim_batched_cpu,uni2-h,warm,,tiff5x,/mnt/weka/heatmaps/7.1/7.1.f-cucim-uni2-h-warm/TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468.tiff,11553907
