slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,0,16,0.000011,14193,64,62.260,227201.155,64.497,2188.430,229516.341,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc0/TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291.tiff,8836442
1,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297,0,16,229.516509,19539,64,110.488,312961.145,8.215,2807.557,315887.406,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc0/TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297.tiff,12046372
2,TCGA-A2-A0CL-01Z-00-DX1.5342E971-DCD2-42C4-B4FF-E6942A95829E,0,16,545.404067,15945,64,64.353,254942.430,7.957,2183.456,257198.196,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc0/TCGA-A2-A0CL-01Z-00-DX1.5342E971-DCD2-42C4-B4FF-E6942A95829E.tiff,9177304
3,TCGA-A2-A0D4-01Z-00-DX1.35E43827-DABC-4685-A62A-333672923349,0,16,802.602409,10451,64,41.411,165979.156,7.545,1778.350,167806.462,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc0/TCGA-A2-A0D4-01Z-00-DX1.35E43827-DABC-4685-A62A-333672923349.tiff,7260725
4,TCGA-A2-A0SV-01Z-00-DX1.F5645E47-3540-4753-AF5D-F5709BD8DFC1,0,16,970.409015,18592,64,74.802,294612.493,15.246,2330.606,297033.147,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc0/TCGA-A2-A0SV-01Z-00-DX1.F5645E47-3540-4753-AF5D-F5709BD8DFC1.tiff,10610427
5,TCGA-A2-A0YG-01Z-00-DX1.89A39319-F880-47DE-B311-DA1F6A64B6F3,0,16,1267.442315,8345,64,38.008,134632.896,14.264,1761.390,136446.557,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc0/TCGA-A2-A0YG-01Z-00-DX1.89A39319-F880-47DE-B311-DA1F6A64B6F3.tiff,5840391
6,TCGA-A2-A259-01Z-00-DX1.7289CD72-CB74-41D4-B4AC-4EA5FDFEC666,0,16,1403.889024,23668,64,114.183,376464.739,8.476,4201.524,380788.922,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc0/TCGA-A2-A259-01Z-00-DX1.7289CD72-CB74-41D4-B4AC-4EA5FDFEC666.tiff,13702696
0,TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C,1,16,0.000008,20438,64,82.342,325007.464,71.149,2576.621,327737.575,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc1/TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C.tiff,10613714
1,TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78,1,16,327.737730,11002,64,59.519,176583.003,7.535,2244.204,178894.261,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc1/TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78.tiff,7552781
2,TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828,1,16,506.632140,9356,64,39.674,149191.341,5.190,1826.379,151062.585,kvikio,virchow2,warm,,tiff5x,/home/ec2-user/wsi-cloud/runs/2026-08-23-021809-weka-s7-7.2-concurrent-virchow2-kvikio-warm-N16/heatmaps/proc1/TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828.tiff,6087676
