slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
0,TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,tiff5x,2919184,42.606384,44.607099,2000.714
1,TCGA-A2-A0T3-01Z-00-DX1.5E96BC87-F4FB-4ABA-8D81-FAB7F4A80661,tiff5x,6395617,168.771684,171.195965,2424.280
2,TCGA-A7-A0DB-01Z-00-DX2.6C6A5F9C-294F-4A86-A0F1-B68D4729B535,tiff5x,2445474,211.978374,213.786617,1808.243
3,TCGA-A8-A07O-01Z-00-DX1.3D657129-F2A7-4BC1-A910-805FBDCE2212,tiff5x,1640177,240.834302,241.184525,350.222
4,TCGA-AC-A23G-01Z-00-DX1.2F0326F7-6B77-4B3F-B4FA-59ADB785AA07,tiff5x,519952,248.908509,249.013072,104.562
5,TCGA-AN-A0FW-01Z-00-DX1.5EEDFC71-6ABE-4189-8C45-2127403A8F04,tiff5x,3809839,311.513825,312.157049,643.223
6,TCGA-AR-A24T-01Z-00-DX1.3B325D54-38EC-4E16-BDE1-628894CC15AA,tiff5x,9321507,532.365346,535.625353,3260.006
7,TCGA-B6-A0WY-01Z-00-DX1.FA103E02-3BDC-47DC-BA6E-59FCC58866D1,tiff5x,11167424,759.644705,762.282674,2637.969
8,TCGA-BH-A0E2-01Z-00-DX1.5F6FA19C-D59F-45BE-80CE-F738CAB1EF0B,tiff5x,9572309,929.651175,932.071012,2419.836
9,TCGA-BH-A1F8-01Z-00-DX1.8BB026F7-35CB-483F-B665-4C3A3EF47E1B,tiff5x,17857219,1262.866183,1267.247952,4381.768
10,TCGA-C8-A274-01Z-00-DX1.B667DAB1-C944-4285-A312-5E4DDAE0EE78,tiff5x,5144059,1394.285671,1395.700495,1414.823
11,TCGA-D8-A1XC-01Z-00-DX2.10BA8536-D6AF-460E-9796-EB77FFE3EF5B,tiff5x,9760541,1589.442984,1591.717828,2274.843
12,TCGA-D8-A73X-01Z-00-DX1.5F0DF75C-594C-42DF-BE3F-E00E5E01DCD6,tiff5x,3308953,1648.129716,1648.928639,798.923
13,TCGA-E2-A1IK-01Z-00-DX1.25C554BB-AA90-4FF4-9D68-EEC899B8A27D,tiff5x,7900851,1797.868942,1799.832970,1964.027
0,TCGA-A2-A04R-01Z-00-DX1.BE3661A3-A2A0-4248-B7D5-D8986E529B6C,tiff5x,7103006,124.307008,125.734559,1427.550
1,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,tiff5x,11165260,353.880120,356.906950,3026.829
2,TCGA-A7-A26I-01Z-00-DX1.0077D012-BC14-4E96-84F7-A1A6A3A778DF,tiff5x,1285791,376.566469,377.580432,1013.962
3,TCGA-A8-A08G-01Z-00-DX1.C3BB7FEC-91B7-4B45-8DFC-36CABCC0FD57,tiff5x,2048170,412.875816,413.326919,451.103
4,TCGA-AC-A3HN-01Z-00-DX1.1AA71B9B-1B61-41A9-91CF-B7649DEC189E,tiff5x,3937876,473.271151,474.662544,1391.392
5,TCGA-AQ-A54N-01Z-00-DX1.E53271E9-AFD2-4071-9B1E-CD05F63B8136,tiff5x,5204108,570.657010,572.181768,1524.757
6,TCGA-AR-A2LM-01Z-00-DX1.CB64A062-2E35-41F9-97C7-07BB60754799,tiff5x,9617882,764.812517,768.287654,3475.136
7,TCGA-BH-A0B0-01Z-00-DX1.316D35DB-7F13-4AE5-82A7-5716D2519669,tiff5x,8840752,907.943166,909.716420,1773.252
8,TCGA-BH-A0HB-01Z-00-DX1.F90F7139-B804-4548-9FAF-9B475BF225EB,tiff5x,11682000,1119.729354,1122.869991,3140.637
9,TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,tiff5x,15308907,1417.998546,1422.061827,4063.280
10,TCGA-D8-A141-01Z-00-DX2.DBD0D81E-28FC-4466-BDE3-94753BD6CBEB,tiff5x,5376322,1517.943051,1518.930104,987.053
11,TCGA-D8-A1XU-01Z-00-DX1.769DBC38-6F0D-425B-A904-79EBA1C119EF,tiff5x,5398638,1619.741275,1621.279651,1538.375
