slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000005,9373,256,29.646,34594.103,55.016,1716.190,36394.955,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,5612674
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,36.395117,11520,256,65.957,42292.393,0.996,1650.610,44009.956,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,6871303
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,80.405227,7989,256,31.374,29560.997,0.567,1262.282,30855.220,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,5045270
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,111.260597,26624,256,136.536,98552.870,1.876,2924.595,101615.877,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,14607545
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,212.876641,11161,256,47.151,41397.303,0.731,2823.005,44268.189,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,6846566
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,257.144992,19432,256,80.775,72399.482,1.400,3121.876,75603.532,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,11522370
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,332.748697,4797,256,23.439,17857.606,0.852,1118.814,19000.711,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,3220096
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,351.749559,6253,256,24.844,23343.463,0.624,966.676,24335.608,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,3908905
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,376.085315,6044,256,25.428,22486.903,0.674,1470.667,23983.672,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,3882466
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,400.069126,2177,256,13.968,8190.927,0.601,1870.356,10075.851,kvikio,virchow2,warm,,tiff5x,/mnt/weka/heatmaps/7.3/7.3.a-heatmap-tiff5x-virchow2-brca50/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,1811860
