slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000006,9373,256,29.608,34391.504,56.970,41234.343,75712.424,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.tiff,47263911
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,75.712584,11520,256,44.386,41932.224,1.057,38082.045,80059.712,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.tiff,54552696
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,155.772456,7989,256,32.989,29193.786,0.609,28740.194,57967.578,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.tiff,42145514
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,213.740208,26624,256,113.079,98073.152,1.937,68163.003,166351.172,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.tiff,118348908
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,380.091536,11161,256,54.545,41256.357,0.744,65547.725,106859.371,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.tiff,60345490
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,486.951067,19432,256,82.094,72510.409,1.414,70484.016,143077.933,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.tiff,92218319
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,630.029190,4797,256,26.314,17583.623,0.729,25443.612,43054.278,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.tiff,27070750
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,673.083636,6253,256,29.402,23028.193,0.606,21923.947,44982.149,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.tiff,28965046
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,718.066160,6044,256,29.905,22304.762,0.677,33728.388,56063.732,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.tiff,28700874
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,774.130050,2177,256,15.291,8087.176,0.598,43501.450,51604.516,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.tiff,16352332
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,825.734717,3413,256,18.836,12472.787,0.614,10866.883,23359.119,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.tiff,19151933
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,849.093989,4311,256,23.757,15765.713,0.766,31480.458,47270.694,kvikio,virchow2,warm,,tiff_l0,/mnt/weka/heatmaps/7.3/7.3.b-heatmap-tiff-l0-virchow2-brca50/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.tiff,23707040
