slide_idx,slide_id,process_id,world_size,t_arrived_s,n_tiles,inference_batch_size,t_tissue_ms,t_extract_ms,t_mil_ms,t_heatmap_write_ms,t_total_ms,backend,model,cache_policy_requested,client_page_cache_discarded,heatmap_format,heatmap_path,heatmap_bytes
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0,1,0.000006,9373,256,30.617,34490.498,56.268,79.142,34656.525,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C.png,401463
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,0,1,34.656893,11520,256,53.421,42331.386,1.012,69.061,42454.880,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.png,454243
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,0,1,77.111909,7989,256,28.644,30157.133,0.576,95.791,30282.144,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.png,482186
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,0,1,107.394203,26624,256,132.388,100793.630,1.915,105.091,101033.022,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16.png,773614
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,0,1,208.427372,11161,256,42.581,42627.540,0.751,53.141,42724.014,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797.png,345643
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,0,1,251.151522,19432,256,76.876,73722.338,1.412,76.911,73877.536,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4.png,520804
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,0,1,325.029203,4797,256,20.049,18459.789,0.748,54.482,18535.068,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4.png,314605
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,0,1,343.564397,6253,256,25.925,23785.931,0.622,47.207,23859.685,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950.png,299084
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,0,1,367.424199,6044,256,24.667,22848.003,0.679,22.904,22896.253,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2.png,157603
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,0,1,390.320560,2177,256,10.053,8304.233,0.592,43.996,8358.873,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B.png,127550
10,TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7,0,1,398.679568,3413,256,14.487,12958.151,0.614,72.474,13045.726,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.png,404968
11,TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,0,1,411.725411,4311,256,17.744,16603.771,0.786,38.602,16660.902,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8.png,203325
12,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,0,1,428.386757,2205,256,9.757,8429.634,0.589,100.789,8540.769,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA.png,496385
13,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,0,1,436.927920,1988,256,8.876,7729.615,0.584,65.239,7804.314,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.png,336321
14,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,0,1,444.732356,3734,256,15.485,14317.754,0.611,78.006,14411.855,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621.png,418173
15,TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057,0,1,459.144341,1606,256,7.773,6165.184,0.566,79.465,6252.987,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A8-A090-01Z-00-DX1.01574070-D65E-486F-B69D-0F8E3816D057.png,358590
16,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,0,1,465.397458,2024,256,9.101,7652.544,0.621,16.765,7679.032,kvikio,virchow2,warm,,png,/mnt/weka/heatmaps/7.3/7.3.c-heatmap-png-virchow2-brca50/TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.png,85515
