slide_idx,slide_id,t_arrived_s,t_inference_start_s,t_inference_done_s,t_heatmap_written_s,t_viewer_received_s,queued_s,inference_s,end_to_end_s,status
0,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,0.006418,0.010369,46.407141,45.640257,46.427858,0.003951,46.396772,46.400723,ok
1,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,60.055316,60.060058,114.752014,114.001408,114.770839,0.004742,54.691956,54.696697,ok
2,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,120.333767,120.338197,162.219981,161.462250,162.239156,0.004430,41.881785,41.886214,ok
3,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,180.400676,180.405561,294.459136,293.684535,294.477875,0.004885,114.053575,114.058460,ok
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,294.497895,294.502996,349.855448,349.095515,349.874149,0.005100,55.352452,55.357552,ok
5,TCGA-A2-A1FV-01Z-00-DX1.F70ACD9A-7819-4296-BD28-4D24BBA8AFF4,349.893999,349.898279,437.247172,436.477024,437.266750,0.004280,87.348893,87.353173,ok
6,TCGA-A2-A1G1-01Z-00-DX1.E52A474F-DE13-41CF-94D4-D00BAC46ECF4,437.288940,437.293441,467.094903,466.337538,467.114047,0.004501,29.801462,29.805962,ok
7,TCGA-A7-A13F-01Z-00-DX1.AB4ADDD3-8E1C-4AB9-813E-D137A2CFB950,467.136759,467.141793,502.003473,501.238142,502.020679,0.005034,34.861680,34.866714,ok
8,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,502.043714,502.048024,536.791797,536.028733,536.809945,0.004310,34.743773,34.748083,ok
9,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,540.355208,540.360049,561.224291,560.469140,561.242532,0.004841,20.864243,20.869083,ok
