slide_id,t_write_complete_s,t_first_visible_s,t_first_read_complete_s,consistency_latency_ms,first_read_latency_ms,bytes_written,write_ms
raw-slide-0000,0.146747,0.147602,0.148117,0.855,0.515,341824,29.791
raw-slide-0001,0.293376,0.294166,0.294655,0.789,0.490,341927,31.513
raw-slide-0002,0.439401,0.440300,0.440827,0.898,0.527,341726,32.492
raw-slide-0003,0.583955,0.584110,0.584631,0.155,0.521,341984,31.454
raw-slide-0004,0.728396,0.728617,0.729061,0.222,0.444,341860,31.177
raw-slide-0005,0.873690,0.873852,0.874425,0.163,0.573,342052,31.351
raw-slide-0006,1.019394,1.020099,1.020563,0.706,0.464,341826,31.823
raw-slide-0007,1.165436,1.165573,1.166087,0.138,0.513,341837,31.574
raw-slide-0008,1.309393,1.309881,1.310364,0.489,0.483,341709,30.803
raw-slide-0009,1.454213,1.454969,1.455454,0.757,0.484,341759,31.711
raw-slide-0010,1.598706,1.598848,1.599379,0.142,0.531,341805,31.557
raw-slide-0011,1.744080,1.744213,1.744711,0.133,0.498,341957,32.023
raw-slide-0012,1.889439,1.889616,1.890102,0.177,0.486,341800,32.500
raw-slide-0013,2.035605,2.036123,2.036627,0.517,0.504,341894,32.464
raw-slide-0014,2.180531,2.180746,2.181204,0.215,0.458,342171,32.234
raw-slide-0015,2.326150,2.326801,2.327287,0.651,0.486,341747,32.369
raw-slide-0016,2.469584,2.470169,2.470642,0.585,0.473,341915,32.369
raw-slide-0017,2.615977,2.616909,2.617433,0.933,0.523,341906,32.071
raw-slide-0018,2.761653,2.761907,2.762406,0.254,0.499,341809,32.276
raw-slide-0019,2.907185,2.907456,2.907945,0.270,0.489,341828,32.035
