slide_id,t_write_complete_s,t_first_visible_s,t_first_read_complete_s,consistency_latency_ms,first_read_latency_ms,bytes_written,write_ms
raw-slide-0000,0.105442,0.106505,0.108366,1.063,1.861,6882112,12.620
raw-slide-0001,0.206844,0.207719,0.209336,0.875,1.616,6882112,11.943
raw-slide-0002,0.302764,0.303021,0.304554,0.257,1.532,6882112,15.321
raw-slide-0003,0.397461,0.398241,0.399686,0.780,1.445,6882112,13.316
raw-slide-0004,0.491101,0.491681,0.493204,0.580,1.522,6882112,11.959
raw-slide-0005,0.586500,0.587384,0.588811,0.884,1.427,6882112,13.316
raw-slide-0006,0.679792,0.680228,0.681646,0.436,1.418,6882112,12.456
raw-slide-0007,0.772643,0.773063,0.774580,0.420,1.517,6882112,12.813
raw-slide-0008,0.865392,0.866466,0.868033,1.074,1.568,6882112,12.741
raw-slide-0009,0.959407,0.959552,0.960989,0.145,1.438,6882112,12.495
raw-slide-0010,1.052733,1.052909,1.054724,0.176,1.814,6882112,13.836
raw-slide-0011,1.146174,1.146725,1.148310,0.551,1.585,6882112,13.275
raw-slide-0012,1.240035,1.240975,1.242439,0.940,1.464,6882112,12.507
raw-slide-0013,1.333954,1.335002,1.336549,1.049,1.546,6882112,12.988
raw-slide-0014,1.428295,1.428867,1.430327,0.572,1.460,6882112,13.071
raw-slide-0015,1.520527,1.520695,1.522310,0.167,1.615,6882112,12.366
raw-slide-0016,1.614522,1.615068,1.616398,0.545,1.330,6882112,12.912
raw-slide-0017,1.709503,1.710428,1.711770,0.925,1.342,6882112,13.768
raw-slide-0018,1.803955,1.804542,1.806109,0.587,1.567,6882112,13.082
raw-slide-0019,1.899130,1.899294,1.900766,0.164,1.472,6882112,12.771
