slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
0,normal_004,tiff5x,1273221,5.611876,6.314978,703.100
1,normal_017,tiff5x,340838,7.683561,7.750203,66.641
2,normal_050,tiff5x,6528817,42.038412,44.616488,2578.076
3,normal_080,tiff5x,12107278,103.522790,106.688939,3166.149
4,normal_113,tiff5x,10269402,169.863708,172.704335,2840.626
5,normal_127,tiff5x,14877861,248.950057,252.484353,3534.295
6,test_014,tiff5x,13868510,349.582091,352.822104,3240.013
7,test_036,tiff5x,5191120,376.522019,378.394630,1872.610
8,test_101,tiff5x,12602249,460.636209,463.782141,3145.931
9,tumor_015,tiff5x,13927530,550.439498,553.829371,3389.872
10,tumor_045,tiff5x,5835237,584.975821,586.716782,1740.961
11,tumor_079,tiff5x,10283220,648.174751,652.838160,4663.408
12,tumor_101,tiff5x,7203926,696.689491,699.103082,2413.591
13,normal_004,tiff5x,1273221,704.310966,705.011225,700.258
14,normal_017,tiff5x,340838,706.321486,706.381082,59.596
15,normal_050,tiff5x,6528817,741.158783,743.453955,2295.171
16,normal_080,tiff5x,12107278,802.833189,806.085212,3252.022
17,normal_113,tiff5x,10269402,870.171668,873.015630,2843.962
18,normal_127,tiff5x,14877861,950.050864,953.560290,3509.424
19,test_014,tiff5x,13868510,1051.859548,1055.023399,3163.850
20,test_036,tiff5x,5191120,1078.953927,1080.828751,1874.824
21,test_101,tiff5x,12602249,1163.369053,1166.489478,3120.424
22,tumor_015,tiff5x,13927530,1253.848802,1257.358430,3509.627
23,tumor_045,tiff5x,5835237,1288.913030,1290.654041,1741.011
24,tumor_079,tiff5x,10283220,1352.169596,1358.774830,6605.233
25,tumor_101,tiff5x,7203926,1403.642364,1406.055928,2413.564
26,normal_004,tiff5x,1273221,1411.377584,1412.068651,691.067
27,normal_017,tiff5x,340838,1413.388170,1413.444590,56.419
28,normal_050,tiff5x,6528817,1448.533025,1450.774091,2241.066
29,normal_080,tiff5x,12107278,1509.240261,1512.384015,3143.753
30,normal_113,tiff5x,10269402,1576.873333,1579.731124,2857.790
31,normal_127,tiff5x,14877861,1657.606479,1661.291863,3685.383
32,test_014,tiff5x,13868510,1758.801419,1761.923960,3122.541
33,test_036,tiff5x,5191120,1785.718657,1787.607950,1889.292
0,normal_013,tiff5x,1399363,6.158934,6.447448,288.513
1,normal_023,tiff5x,811965,9.931942,10.483310,551.367
2,normal_053,tiff5x,8805946,57.122059,59.326880,2204.821
3,normal_082,tiff5x,7891546,94.572948,96.980816,2407.868
4,normal_114,tiff5x,15296212,198.194206,201.569361,3375.154
5,normal_137,tiff5x,14876823,291.878300,295.902430,4024.129
6,test_016,tiff5x,13481257,387.862351,390.775115,2912.764
7,test_057,tiff5x,2531303,403.583615,404.505701,922.086
8,test_122,tiff5x,5533053,436.333516,438.324796,1991.280
9,tumor_021,tiff5x,9733933,492.999388,495.559619,2560.230
10,tumor_059,tiff5x,2908706,508.061614,511.394858,3333.244
11,tumor_086,tiff5x,16387339,610.018910,614.956686,4937.775
12,tumor_103,tiff5x,10674068,669.008400,673.062632,4054.231
13,normal_013,tiff5x,1399363,678.926483,679.188963,262.479
14,normal_023,tiff5x,811965,682.666034,683.237532,571.497
15,normal_053,tiff5x,8805946,730.326413,732.525452,2199.038
16,normal_082,tiff5x,7891546,767.485043,769.930305,2445.261
17,normal_114,tiff5x,15296212,875.200103,878.620665,3420.562
18,normal_137,tiff5x,14876823,969.990093,973.867786,3877.693
19,test_016,tiff5x,13481257,1067.404841,1070.323122,2918.281
20,test_057,tiff5x,2531303,1083.078008,1083.994020,916.011
21,test_122,tiff5x,5533053,1115.930682,1117.925305,1994.622
22,tumor_021,tiff5x,9733933,1174.166065,1176.747783,2581.718
23,tumor_059,tiff5x,2908706,1189.301430,1192.781811,3480.380
24,tumor_086,tiff5x,16387339,1292.681809,1297.719606,5037.796
25,tumor_103,tiff5x,10674068,1352.941580,1358.748967,5807.387
26,normal_013,tiff5x,1399363,1364.721968,1364.976838,254.869
27,normal_023,tiff5x,811965,1368.527966,1369.091189,563.222
28,normal_053,tiff5x,8805946,1418.128699,1420.335340,2206.640
29,normal_082,tiff5x,7891546,1455.207121,1457.621186,2414.065
30,normal_114,tiff5x,15296212,1561.763596,1565.151323,3387.727
31,normal_137,tiff5x,14876823,1657.783483,1661.785188,4001.704
32,test_016,tiff5x,13481257,1754.825732,1757.715185,2889.452
33,test_057,tiff5x,2531303,1770.454919,1771.369715,914.796
0,normal_014,tiff5x,1842808,8.480638,9.160108,679.469
1,normal_045,tiff5x,566955,10.658897,11.121116,462.219
2,normal_058,tiff5x,3409316,30.855876,31.775853,919.976
3,normal_103,tiff5x,8019947,74.511778,76.073642,1561.863
4,normal_116,tiff5x,7255742,115.759566,117.105925,1346.358
5,normal_142,tiff5x,12430175,188.706670,193.779248,5072.577
6,test_018,tiff5x,6316854,229.672043,231.419166,1747.122
7,test_059,tiff5x,5235865,258.443641,260.218899,1775.257
8,test_130,tiff5x,4453687,282.963453,284.436080,1472.627
9,tumor_022,tiff5x,7268037,316.317474,318.211058,1893.583
10,tumor_070,tiff5x,5364049,341.517026,343.228842,1711.815
11,tumor_090,tiff5x,14853263,447.794152,451.741791,3947.638
12,normal_014,tiff5x,1842808,459.985420,460.667765,682.345
13,normal_045,tiff5x,566955,462.111019,462.585929,474.910
14,normal_058,tiff5x,3409316,482.808147,483.712173,904.025
15,normal_103,tiff5x,8019947,526.725080,528.311643,1586.562
16,normal_116,tiff5x,7255742,567.638366,568.982624,1344.257
17,normal_142,tiff5x,12430175,641.796998,646.531197,4734.199
18,test_018,tiff5x,6316854,682.483155,684.238938,1755.783
19,test_059,tiff5x,5235865,711.141438,712.916062,1774.623
20,test_130,tiff5x,4453687,735.341491,736.933752,1592.261
21,tumor_022,tiff5x,7268037,767.924745,769.711209,1786.463
22,tumor_070,tiff5x,5364049,793.160323,794.873252,1712.928
23,tumor_090,tiff5x,14853263,899.619168,903.572833,3953.664
24,normal_014,tiff5x,1842808,911.870805,912.555618,684.812
25,normal_045,tiff5x,566955,913.997636,914.469269,471.632
26,normal_058,tiff5x,3409316,934.549169,935.464150,914.980
27,normal_103,tiff5x,8019947,978.870348,980.460387,1590.039
28,normal_116,tiff5x,7255742,1020.108884,1021.482526,1373.641
29,normal_142,tiff5x,12430175,1094.904728,1099.619271,4714.542
30,test_018,tiff5x,6316854,1136.160888,1137.890896,1730.007
31,test_059,tiff5x,5235865,1165.181188,1166.991659,1810.471
32,test_130,tiff5x,4453687,1189.641049,1191.232076,1591.026
33,tumor_022,tiff5x,7268037,1222.959042,1224.725386,1766.343
34,tumor_070,tiff5x,5364049,1248.309944,1250.021631,1711.686
35,tumor_090,tiff5x,14853263,1354.675968,1360.088343,5412.375
36,normal_014,tiff5x,1842808,1368.419599,1369.111304,691.704
37,normal_045,tiff5x,566955,1370.567809,1371.038273,470.463
38,normal_058,tiff5x,3409316,1391.477481,1392.378241,900.760
39,normal_103,tiff5x,8019947,1435.523442,1437.111133,1587.690
40,normal_116,tiff5x,7255742,1475.789007,1477.145034,1356.026
41,normal_142,tiff5x,12430175,1550.232770,1554.853674,4620.904
42,test_018,tiff5x,6316854,1591.048924,1592.799207,1750.283
43,test_059,tiff5x,5235865,1620.148141,1621.919936,1771.794
44,test_130,tiff5x,4453687,1644.514450,1646.005770,1491.319
45,tumor_022,tiff5x,7268037,1677.267095,1679.052625,1785.529
46,tumor_070,tiff5x,5364049,1702.422417,1704.264501,1842.084
0,normal_016,tiff5x,762186,2.567142,3.300999,733.855
1,normal_048,tiff5x,1878348,12.745151,13.293258,548.106
2,normal_072,tiff5x,6753464,41.384523,44.408795,3024.272
3,normal_112,tiff5x,12078579,117.232978,120.550154,3317.175
4,normal_121,tiff5x,14521665,205.234910,208.794643,3559.733
5,normal_144,tiff5x,8086489,245.975362,248.201829,2226.466
6,test_025,tiff5x,1897547,255.251507,255.747964,496.457
7,test_072,tiff5x,3306301,267.950797,269.504404,1553.605
8,tumor_014,tiff5x,6490283,306.960313,309.170618,2210.305
